glyph_id,token,display,type,width,status,source
0x118,THAI_KO_KAI,ก,base,14,final,installed-font
0x119,THAI_KHO_KHAI,ข,base,14,final,installed-font
0x11A,THAI_KHO_KHWAI,ค,base,14,final,installed-font
0x11B,THAI_NGO_NGU,ง,base,13,final,installed-font
0x11C,THAI_SARA_AA,า,vowel,10,final,installed-font
0x11D,THAI_CHO_CHAN,จ,base,14,final,installed-font
0x11E,THAI_CHO_CHING,ฉ,base,15,final,installed-font
0x11F,THAI_CHO_CHANG,ช,base,14,final,installed-font
0x120,THAI_SO_SO,ซ,base,15,final,installed-font
0x121,THAI_CHO_CHOE,ฌ,base,16,final,installed-font
0x122,THAI_YO_YING,ญ,base,14,final,installed-font
0x123,THAI_DO_CHADA,ฎ,base,13,final,installed-font
0x124,THAI_TO_PATAK,ฏ,base,13,final,installed-font
0x125,THAI_THO_THAN,ฐ,base,13,final,installed-font
0x126,THAI_THO_NANGMONTHO,ฑ,base,16,final,installed-font
0x127,THAI_THO_PHUTHAO,ฒ,base,16,final,installed-font
0x128,THAI_NO_NEN,ณ,base,16,final,installed-font
0x129,THAI_DO_DEK,ด,base,14,final,installed-font
0x12A,THAI_TO_TAO,ต,base,14,final,installed-font
0x12B,THAI_THO_THUNG,ถ,base,14,final,installed-font
0x12C,THAI_THO_THAHAN,ท,base,15,final,installed-font
0x12D,THAI_THO_THONG,ธ,base,14,final,installed-font
0x12E,THAI_NO_NU,น,base,15,final,installed-font
0x12F,THAI_BO_BAIMAI,บ,base,14,final,installed-font
0x130,THAI_PO_PLA,ป,base,13,final,installed-font
0x131,THAI_PHO_PHUENG,ผ,base,14,final,installed-font
0x132,THAI_FO_FA,ฝ,base,13,final,installed-font
0x133,THAI_PHO_PHAN,พ,base,15,final,installed-font
0x134,THAI_FO_FAN,ฟ,base,14,final,installed-font
0x135,THAI_PHO_SAMPHAO,ภ,base,15,final,installed-font
0x136,THAI_MO_MA,ม,base,14,final,installed-font
0x137,THAI_YO_YAK,ย,base,14,final,installed-font
0x138,THAI_RO_RUEA,ร,base,14,final,installed-font
0x139,THAI_LO_LING,ล,base,14,final,installed-font
0x13A,THAI_WO_WAEN,ว,base,14,final,installed-font
0x13B,THAI_SO_SALA,ศ,base,14,final,installed-font
0x13C,THAI_SO_RUESI,ษ,base,15,final,installed-font
0x13D,THAI_SO_SUEA,ส,base,14,final,installed-font
0x13E,THAI_HO_HIP,ห,base,15,final,installed-font
0x13F,THAI_LO_CHULA,ฬ,base,15,final,installed-font
0x140,THAI_O_ANG,อ,base,14,final,installed-font
0x141,THAI_HO_NOKHUK,ฮ,base,14,final,installed-font
0x142,THAI_KHO_RAKHANG,ฆ,base,15,final,installed-font
0x145,THAI_SARA_E,เ,vowel,7,draft,prototype-precomposed
0x146,THAI_RO_RUEA_SARA_I_MAI_EK,ริ่,cluster,14,draft,prototype-precomposed
0x147,THAI_SO_SUEA_THANTHAKHAT,ส์,cluster,14,draft,prototype-precomposed
