glyph_id,advance,upper_x,upper_y,lower_x,lower_y,tone_x,tone_y,shape_group
0x118,14,5,3,5,12,7,2,normal
0x119,14,5,3,5,12,7,2,tall
0x11A,14,5,3,5,12,7,2,normal
0x11B,13,4,3,4,12,6,2,normal
0x11D,14,5,3,5,12,7,2,normal
0x11E,15,5,3,5,12,7,2,tall
0x11F,14,5,3,5,12,7,2,tall
0x120,15,5,3,5,12,7,2,tall
0x121,16,6,3,6,12,8,2,wide
0x122,14,5,3,5,11,7,2,descender
0x123,13,4,3,4,11,6,2,descender
0x124,13,4,3,4,11,6,2,descender
0x125,13,4,3,4,11,6,2,special
0x126,16,6,3,6,12,8,2,wide
0x127,16,6,3,6,12,8,2,wide
0x128,16,6,3,6,11,8,2,descender
0x129,14,5,3,5,12,7,2,normal
0x12A,14,5,3,5,12,7,2,normal
0x12B,14,5,3,5,12,7,2,tall
0x12C,15,5,3,5,12,7,2,normal
0x12D,14,5,3,5,12,7,2,normal
0x12E,15,5,3,5,12,7,2,normal
0x12F,14,5,3,5,12,7,2,normal
0x130,13,4,3,4,12,6,2,tall
0x131,14,5,3,5,12,7,2,tall
0x132,13,4,3,4,12,6,2,tall
0x133,15,5,3,5,12,7,2,wide
0x134,14,5,3,5,12,7,2,tall
0x135,15,5,3,5,12,7,2,normal
0x136,14,5,3,5,12,7,2,normal
0x137,14,5,3,5,12,7,2,normal
0x138,14,5,3,5,12,7,2,normal
0x139,14,5,3,5,12,7,2,normal
0x13A,14,5,3,5,12,7,2,normal
0x13B,14,5,3,5,12,7,2,tall
0x13C,15,5,3,5,12,7,2,wide
0x13D,14,5,3,5,12,7,2,tall
0x13E,15,5,3,5,12,7,2,tall
0x13F,15,5,3,5,12,7,2,wide
0x140,14,5,3,5,12,7,2,normal
0x141,14,5,3,5,12,7,2,tall
0x142,15,5,3,5,12,7,2,special
