glyph_id,char,class,advance,mark_x,mark_y,second_level_y,component_id
0x118,ก,BASE,14,0,0,0,
0x119,ข,BASE,14,0,0,0,
0x11A,ค,BASE,14,0,0,0,
0x11B,ง,BASE,13,0,0,0,
0x11C,า,SPACING_VOWEL,10,0,0,0,
0x11D,จ,BASE,14,0,0,0,
0x11E,ฉ,BASE,15,0,0,0,
0x11F,ช,BASE,14,0,0,0,
0x120,ซ,BASE,15,0,0,0,
0x121,ฌ,BASE,16,0,0,0,
0x122,ญ,BASE,14,0,0,0,
0x123,ฎ,BASE,13,0,0,0,
0x124,ฏ,BASE,13,0,0,0,
0x125,ฐ,BASE,13,0,0,0,
0x126,ฑ,BASE,16,0,0,0,
0x127,ฒ,BASE,16,0,0,0,
0x128,ณ,BASE,16,0,0,0,
0x129,ด,BASE,14,0,0,0,
0x12A,ต,BASE,14,0,0,0,
0x12B,ถ,BASE,14,0,0,0,
0x12C,ท,BASE,15,0,0,0,
0x12D,ธ,BASE,14,0,0,0,
0x12E,น,BASE,15,0,0,0,
0x12F,บ,BASE,14,0,0,0,
0x130,ป,BASE,13,0,0,0,
0x131,ผ,BASE,14,0,0,0,
0x132,ฝ,BASE,13,0,0,0,
0x133,พ,BASE,15,0,0,0,
0x134,ฟ,BASE,14,0,0,0,
0x135,ภ,BASE,15,0,0,0,
0x136,ม,BASE,14,0,0,0,
0x137,ย,BASE,14,0,0,0,
0x138,ร,BASE,14,0,0,0,
0x139,ล,BASE,14,0,0,0,
0x13A,ว,BASE,14,0,0,0,
0x13B,ศ,BASE,14,0,0,0,
0x13C,ษ,BASE,15,0,0,0,
0x13D,ส,BASE,14,0,0,0,
0x13E,ห,BASE,15,0,0,0,
0x13F,ฬ,BASE,15,0,0,0,
0x140,อ,BASE,14,0,0,0,
0x141,ฮ,BASE,14,0,0,0,
0x142,ฆ,BASE,15,0,0,0,
0x143,ิ,UPPER_VOWEL,0,0,0,0,
0x144,่,TONE,0,0,0,-2,
0x145,เ,LEADING_VOWEL,7,0,0,0,
0x146,ี,UPPER_VOWEL,0,0,0,0,
0x147,ึ,UPPER_VOWEL,0,0,0,0,
0x148,ื,UPPER_VOWEL,0,0,0,0,
0x149,ุ,LOWER_VOWEL,0,0,0,0,
0x14A,ู,LOWER_VOWEL,0,0,0,0,
0x14B,ั,UPPER_VOWEL,0,0,0,0,
0x14C,ำ,SARA_AM,10,0,0,0,0x156
0x14D,แ,LEADING_VOWEL,12,0,0,0,
0x14E,โ,LEADING_VOWEL,8,0,0,0,
0x14F,ใ,LEADING_VOWEL,9,0,0,0,
0x150,ไ,LEADING_VOWEL,9,0,0,0,
0x151,็,UPPER_VOWEL,0,0,-1,0,
0x152,้,TONE,0,0,0,-2,
0x153,๊,TONE,0,0,0,-2,
0x154,๋,TONE,0,0,0,-2,
0x155,์,THAN_THAKHAT,0,0,0,-2,
0x156,ํ,NIKHAHIT,0,0,0,-2,
0x157,ๆ,PUNCTUATION,10,0,0,0,
0x158,ฯ,PUNCTUATION,7,0,0,0,
0x159,฿,PUNCTUATION,10,0,0,0,
0x15A,ะ,SPACING_VOWEL,8,0,0,0,
