unicode,character,glyph_name,class,source_advance,target_advance,source_anchor_x,source_anchor_y,target_anchor_x,target_anchor_y,bbox_left,bbox_top,bbox_right,bbox_bottom,evidence,status
U+0E01,ก,uni0E01,base,600,8.4,520,0,8.28,12.0,66,558,519,0,GPOS,evidenced
U+0E02,ข,uni0E02,base,547,7.658,445,0,7.23,12.0,54,554,466,-10,GPOS,evidenced
U+0E04,ค,uni0E04,base,614,8.596,533,0,8.462,12.0,81,558,533,0,GPOS,evidenced
U+0E06,ฆ,uni0E06,base,598,8.372,498,0,7.972,12.0,44,548,517,-10,GPOS,evidenced
U+0E07,ง,uni0E07,base,537,7.518,395,0,6.53,12.0,0,553,483,0,GPOS,evidenced
U+0E08,จ,uni0E08,base,532,7.448,427,0,6.978,12.0,38,558,471,0,GPOS,evidenced
U+0E09,ฉ,uni0E09,base,604,8.456,523,0,8.322,12.0,81,558,523,-10,GPOS,evidenced
U+0E0A,ช,uni0E0A,base,550,7.7,445,0,7.23,12.0,54,554,477,-10,GPOS,evidenced
U+0E0B,ซ,uni0E0B,base,556,7.784,452,0,7.328,12.0,44,548,483,-10,GPOS,evidenced
U+0E0C,ฌ,uni0E0C,base,906,12.684,804,0,12.256,12.0,66,558,825,-10,GPOS,evidenced
U+0E0D,ญ,uni0E0D,base,909,12.726,768,-161,11.752,14.254,66,558,821,-174,GPOS,evidenced
U+0E0E,ฎ,uni0E0E,base,603,8.442,522,-189,8.308,14.646,19,558,522,-201,GPOS,evidenced
U+0E0F,ฏ,uni0E0F,base,603,8.442,522,-189,8.308,14.646,19,558,522,-201,GPOS,evidenced
U+0E10,ฐ,uni0E10,base,547,7.658,461,-189,7.454,14.646,34,584,510,-201,GPOS,evidenced
U+0E11,ฑ,uni0E11,base,626,8.764,547,0,8.658,12.0,44,558,545,0,GPOS,evidenced
U+0E12,ฒ,uni0E12,base,903,12.642,831,0,12.634,12.0,63,558,851,-10,GPOS,evidenced
U+0E13,ณ,uni0E13,base,909,12.726,820,0,12.48,12.0,66,558,821,-10,GPOS,evidenced
U+0E14,ด,uni0E14,base,616,8.624,535,0,8.49,12.0,60,558,535,-10,GPOS,evidenced
U+0E15,ต,uni0E15,base,636,8.904,555,0,8.77,12.0,63,558,555,-10,GPOS,evidenced
U+0E16,ถ,uni0E16,base,602,8.428,521,0,8.294,12.0,66,558,521,-10,GPOS,evidenced
U+0E17,ท,uni0E17,base,609,8.526,528,0,8.392,12.0,84,558,528,0,GPOS,evidenced
U+0E18,ธ,uni0E18,base,544,7.616,446,0,7.244,12.0,63,558,496,-10,GPOS,evidenced
U+0E19,น,uni0E19,base,613,8.582,524,0,8.336,12.0,81,548,525,-10,GPOS,evidenced
U+0E1A,บ,uni0E1A,base,604,8.456,502,0,8.028,12.0,81,548,523,-10,GPOS,evidenced
U+0E1B,ป,uni0E1B,base,605,8.47,502,0,8.028,12.0,81,745,523,-10,GPOS,evidenced
U+0E1C,ผ,uni0E1C,base,648,9.072,560,0,8.84,12.0,86,558,560,0,GPOS,evidenced
U+0E1D,ฝ,uni0E1D,base,652,9.128,560,0,8.84,12.0,86,745,561,0,GPOS,evidenced
U+0E1E,พ,uni0E1E,base,695,9.73,555,0,8.77,12.0,41,548,654,0,GPOS,evidenced
U+0E1F,ฟ,uni0E1F,base,682,9.548,551,0,8.714,12.0,41,745,661,0,GPOS,evidenced
U+0E20,ภ,uni0E20,base,603,8.442,522,0,8.308,12.0,19,558,522,-10,GPOS,evidenced
U+0E21,ม,uni0E21,base,614,8.596,511,0,8.154,12.0,89,548,533,-10,GPOS,evidenced
U+0E22,ย,uni0E22,base,594,8.316,491,0,7.874,12.0,68,555,513,-9,GPOS,evidenced
U+0E23,ร,uni0E23,base,488,6.832,399,0,6.586,12.0,40,558,449,-10,GPOS,evidenced
U+0E25,ล,uni0E25,base,571,7.994,490,0,7.86,12.0,49,558,490,-10,GPOS,evidenced
U+0E27,ว,uni0E27,base,492,6.888,361,0,6.054,12.0,38,558,429,-10,GPOS,evidenced
U+0E28,ศ,uni0E28,base,628,8.792,523,0,8.322,12.0,81,584,575,0,GPOS,evidenced
U+0E29,ษ,uni0E29,base,640,8.96,506,0,8.084,12.0,81,548,601,-10,GPOS,evidenced
U+0E2A,ส,uni0E2A,base,572,8.008,490,0,7.86,12.0,49,584,534,-10,GPOS,evidenced
U+0E2B,ห,uni0E2B,base,587,8.218,518,0,8.252,12.0,89,548,518,0,GPOS,evidenced
U+0E2C,ฬ,uni0E2C,base,668,9.352,538,0,8.532,12.0,41,714,661,0,GPOS,evidenced
U+0E2D,อ,uni0E2D,base,574,8.036,439,0,7.146,12.0,60,558,511,-10,GPOS,evidenced
U+0E2E,ฮ,uni0E2E,base,560,7.84,454,0,7.356,12.0,60,584,535,-10,GPOS,evidenced
U+0E30,ะ,uni0E30,spacing,338,4.732,,,,,39,488,299,64,none,missing-anchor-evidence
U+0E31,ั,uni0E31,upper,0,0.0,-89,536,9.754,6.496,-331,779,42,635,GPOS,evidenced
U+0E32,า,uni0E32,spacing,406,5.684,,,,,10,558,325,0,none,missing-anchor-evidence
U+0E33,ำ,uni0E33,spacing,406,5.684,,,,,-268,791,325,0,none,missing-anchor-evidence
U+0E34,ิ,uni0E34,upper,0,0.0,-89,536,9.754,6.496,-514,706,-89,635,GPOS,evidenced
U+0E35,ี,uni0E35,upper,0,0.0,-89,536,9.754,6.496,-514,787,-88,635,GPOS,evidenced
U+0E36,ึ,uni0E36,upper,0,0.0,-89,536,9.754,6.496,-514,800,-76,635,GPOS,evidenced
U+0E37,ื,uni0E37,upper,0,0.0,-89,536,9.754,6.496,-514,787,-89,635,GPOS,evidenced
U+0E38,ุ,uni0E38,lower,0,0.0,-89,0,9.754,7.0,-219,-64,-90,-261,GPOS,evidenced
U+0E39,ู,uni0E39,lower,0,0.0,-89,0,9.754,7.0,-388,-64,-89,-265,GPOS,evidenced
U+0E40,เ,uni0E40,leading,295,4.13,,,,,96,548,277,-10,none,missing-anchor-evidence
U+0E41,แ,uni0E41,leading,568,7.952,,,,,96,548,550,-10,none,missing-anchor-evidence
U+0E42,โ,uni0E42,leading,308,4.312,,,,,9,826,350,-10,none,missing-anchor-evidence
U+0E43,ใ,uni0E43,leading,289,4.046,,,,,19,834,276,-10,none,missing-anchor-evidence
U+0E44,ไ,uni0E44,leading,304,4.256,,,,,-13,826,292,-10,none,missing-anchor-evidence
U+0E47,็,uni0E47,upper,0,0.0,-89,536,9.754,6.496,-447,846,-99,620,GPOS,evidenced
U+0E48,่,uni0E48,tone,0,0.0,-89,536,9.754,9.496,-178,846,-90,635,GPOS,evidenced
U+0E49,้,uni0E49,tone,0,0.0,-89,536,9.754,9.496,-368,840,-58,635,GPOS,evidenced
U+0E4A,๊,uni0E4A,tone,0,0.0,-89,536,9.754,9.496,-421,838,-37,630,GPOS,evidenced
U+0E4B,๋,uni0E4B,tone,0,0.0,-89,536,9.754,9.496,-316,846,-88,635,GPOS,evidenced
U+0E4C,์,uni0E4C,tone,0,0.0,-89,536,9.754,9.496,-269,751,-27,606,GPOS,evidenced
U+0E4D,ํ,uni0E4D,upper,0,0.0,-89,536,9.754,6.496,-268,791,-50,611,GPOS,evidenced
U+0E46,ๆ,uni0E46,punctuation,595,8.33,,,,,78,558,514,-201,none,missing-anchor-evidence
U+0E2F,ฯ,uni0E2F,punctuation,519,7.266,,,,,18,558,421,0,none,missing-anchor-evidence
U+0E3F,฿,uni0E3F,punctuation,584,8.176,,,,,79,760,536,-58,none,missing-anchor-evidence
