move_id,move_constant,english_name,english_length,english_storage_bytes,source_file,source_line,japanese_name,thai_name,thai_cluster_count,thai_encoded_bytes,fixed_slot_bytes,fits_current_fixed_slot,translation_style,review_status,notes
0,MOVE_NONE,-,1,2,src/data/text/move_names.h,3,,,,,13,,,untranslated,
1,MOVE_POUND,POUND,5,6,src/data/text/move_names.h,4,,,,,13,,,untranslated,
2,MOVE_KARATE_CHOP,KARATE CHOP,11,12,src/data/text/move_names.h,5,,,,,13,,,untranslated,
3,MOVE_DOUBLE_SLAP,DOUBLESLAP,10,11,src/data/text/move_names.h,6,,,,,13,,,untranslated,
4,MOVE_COMET_PUNCH,COMET PUNCH,11,12,src/data/text/move_names.h,7,,,,,13,,,untranslated,
5,MOVE_MEGA_PUNCH,MEGA PUNCH,10,11,src/data/text/move_names.h,8,,,,,13,,,untranslated,
6,MOVE_PAY_DAY,PAY DAY,7,8,src/data/text/move_names.h,9,,,,,13,,,untranslated,
7,MOVE_FIRE_PUNCH,FIRE PUNCH,10,11,src/data/text/move_names.h,10,,,,,13,,,untranslated,
8,MOVE_ICE_PUNCH,ICE PUNCH,9,10,src/data/text/move_names.h,11,,,,,13,,,untranslated,
9,MOVE_THUNDER_PUNCH,THUNDERPUNCH,12,13,src/data/text/move_names.h,12,,,,,13,,,untranslated,
10,MOVE_SCRATCH,SCRATCH,7,8,src/data/text/move_names.h,13,,,,,13,,,untranslated,
11,MOVE_VICE_GRIP,VICEGRIP,8,9,src/data/text/move_names.h,14,,,,,13,,,untranslated,
12,MOVE_GUILLOTINE,GUILLOTINE,10,11,src/data/text/move_names.h,15,,,,,13,,,untranslated,
13,MOVE_RAZOR_WIND,RAZOR WIND,10,11,src/data/text/move_names.h,16,,,,,13,,,untranslated,
14,MOVE_SWORDS_DANCE,SWORDS DANCE,12,13,src/data/text/move_names.h,17,,,,,13,,,untranslated,
15,MOVE_CUT,CUT,3,4,src/data/text/move_names.h,18,,,,,13,,,untranslated,
16,MOVE_GUST,GUST,4,5,src/data/text/move_names.h,19,,,,,13,,,untranslated,
17,MOVE_WING_ATTACK,WING ATTACK,11,12,src/data/text/move_names.h,20,,,,,13,,,untranslated,
18,MOVE_WHIRLWIND,WHIRLWIND,9,10,src/data/text/move_names.h,21,,,,,13,,,untranslated,
19,MOVE_FLY,FLY,3,4,src/data/text/move_names.h,22,,,,,13,,,untranslated,
20,MOVE_BIND,BIND,4,5,src/data/text/move_names.h,23,,,,,13,,,untranslated,
21,MOVE_SLAM,SLAM,4,5,src/data/text/move_names.h,24,,,,,13,,,untranslated,
22,MOVE_VINE_WHIP,VINE WHIP,9,10,src/data/text/move_names.h,25,,,,,13,,,untranslated,
23,MOVE_STOMP,STOMP,5,6,src/data/text/move_names.h,26,,,,,13,,,untranslated,
24,MOVE_DOUBLE_KICK,DOUBLE KICK,11,12,src/data/text/move_names.h,27,,,,,13,,,untranslated,
25,MOVE_MEGA_KICK,MEGA KICK,9,10,src/data/text/move_names.h,28,,,,,13,,,untranslated,
26,MOVE_JUMP_KICK,JUMP KICK,9,10,src/data/text/move_names.h,29,,,,,13,,,untranslated,
27,MOVE_ROLLING_KICK,ROLLING KICK,12,13,src/data/text/move_names.h,30,,,,,13,,,untranslated,
28,MOVE_SAND_ATTACK,SAND-ATTACK,11,12,src/data/text/move_names.h,31,,,,,13,,,untranslated,
29,MOVE_HEADBUTT,HEADBUTT,8,9,src/data/text/move_names.h,32,,,,,13,,,untranslated,
30,MOVE_HORN_ATTACK,HORN ATTACK,11,12,src/data/text/move_names.h,33,,,,,13,,,untranslated,
31,MOVE_FURY_ATTACK,FURY ATTACK,11,12,src/data/text/move_names.h,34,,,,,13,,,untranslated,
32,MOVE_HORN_DRILL,HORN DRILL,10,11,src/data/text/move_names.h,35,,,,,13,,,untranslated,
33,MOVE_TACKLE,TACKLE,6,7,src/data/text/move_names.h,36,,พุ่งชน,4,33,13,NO,meaning_based,draft,ตัวอย่างคำแปลจากชื่ออังกฤษ
34,MOVE_BODY_SLAM,BODY SLAM,9,10,src/data/text/move_names.h,37,,,,,13,,,untranslated,
35,MOVE_WRAP,WRAP,4,5,src/data/text/move_names.h,38,,,,,13,,,untranslated,
36,MOVE_TAKE_DOWN,TAKE DOWN,9,10,src/data/text/move_names.h,39,,,,,13,,,untranslated,
37,MOVE_THRASH,THRASH,6,7,src/data/text/move_names.h,40,,,,,13,,,untranslated,
38,MOVE_DOUBLE_EDGE,DOUBLE-EDGE,11,12,src/data/text/move_names.h,41,,,,,13,,,untranslated,
39,MOVE_TAIL_WHIP,TAIL WHIP,9,10,src/data/text/move_names.h,42,,,,,13,,,untranslated,
40,MOVE_POISON_STING,POISON STING,12,13,src/data/text/move_names.h,43,,,,,13,,,untranslated,
41,MOVE_TWINEEDLE,TWINEEDLE,9,10,src/data/text/move_names.h,44,,,,,13,,,untranslated,
42,MOVE_PIN_MISSILE,PIN MISSILE,11,12,src/data/text/move_names.h,45,,,,,13,,,untranslated,
43,MOVE_LEER,LEER,4,5,src/data/text/move_names.h,46,,,,,13,,,untranslated,
44,MOVE_BITE,BITE,4,5,src/data/text/move_names.h,47,,,,,13,,,untranslated,
45,MOVE_GROWL,GROWL,5,6,src/data/text/move_names.h,48,,,,,13,,,untranslated,
46,MOVE_ROAR,ROAR,4,5,src/data/text/move_names.h,49,,,,,13,,,untranslated,
47,MOVE_SING,SING,4,5,src/data/text/move_names.h,50,,,,,13,,,untranslated,
48,MOVE_SUPERSONIC,SUPERSONIC,10,11,src/data/text/move_names.h,51,,,,,13,,,untranslated,
49,MOVE_SONIC_BOOM,SONICBOOM,9,10,src/data/text/move_names.h,52,,,,,13,,,untranslated,
50,MOVE_DISABLE,DISABLE,7,8,src/data/text/move_names.h,53,,,,,13,,,untranslated,
51,MOVE_ACID,ACID,4,5,src/data/text/move_names.h,54,,,,,13,,,untranslated,
52,MOVE_EMBER,EMBER,5,6,src/data/text/move_names.h,55,,สะเก็ดไฟ,7,57,13,NO,meaning_based,draft,ตัวอย่างคำแปลจากชื่ออังกฤษ
53,MOVE_FLAMETHROWER,FLAMETHROWER,12,13,src/data/text/move_names.h,56,,,,,13,,,untranslated,
54,MOVE_MIST,MIST,4,5,src/data/text/move_names.h,57,,,,,13,,,untranslated,
