sample_text,cluster_number,unicode_sequence,base_character,hb_glyph_id,glyph_name,original_compact_index,selected_compact_index,selected_variant,upper_mark_count,upper_mark_characters,normal_combined_top,normal_combined_bottom,final_combined_top,final_combined_bottom,base_shift_y,mark_adjust_x,mark_adjust_y,x_advance,x_offset,y_offset,palette_index_1_count,palette_index_2_count,fit_result
เรม,0,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,4,1,-8,17,9,fit
เรม,1,U+0E23,ร,81,uni0E23,16,16,normal,0,,4,13,4,13,0,0,0,7,1,-8,30,16,fit
เรม,2,U+0E21,ม,56,uni0E21,10,10,normal,0,,4,12,4,12,0,0,0,8,1,-8,34,19,fit
เริ่ม,0,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,4,1,-8,17,9,fit
เริ่ม,1,U+0E23 U+0E34 U+0E48,ร,81,uni0E23,16,16,normal,2,ิ่,-1,13,0,13,0,0,0,7,1,-8,30,16,fit
เริ่ม,1,U+0E23 U+0E34 U+0E48,ร,92,uni0E34,20,20,normal,2,ิ่,-1,13,0,13,0,0,0,0,-7,-10,14,8,fit
เริ่ม,1,U+0E23 U+0E34 U+0E48,ร,44,uni0E48.small,6,35,compact_tone,2,ิ่,-1,13,0,13,0,0,1,0,-2,-13,4,3,fit
เริ่ม,2,U+0E21,ม,56,uni0E21,10,10,normal,0,,4,12,4,12,0,0,0,8,1,-8,34,19,fit
เกมส์,0,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,4,1,-8,17,9,fit
เกมส์,1,U+0E01,ก,29,uni0E01,2,2,normal,0,,4,12,4,12,0,0,0,9,1,-8,33,19,fit
เกมส์,2,U+0E21,ม,56,uni0E21,10,10,normal,0,,4,12,4,12,0,0,0,8,1,-8,34,19,fit
เกมส์,3,U+0E2A U+0E4C,ส,110,uni0E2A,25,25,normal,1,์,1,13,1,13,0,0,0,8,1,-8,35,21,fit
เกมส์,3,U+0E2A U+0E4C,ส,112,uni0E4C,27,27,normal,1,์,1,13,1,13,0,0,0,0,-4,-11,10,6,fit
เริ่มเกมส์,0,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,4,1,-8,17,9,fit
เริ่มเกมส์,1,U+0E23 U+0E34 U+0E48,ร,81,uni0E23,16,16,normal,2,ิ่,-1,13,0,13,0,0,0,7,1,-8,30,16,fit
เริ่มเกมส์,1,U+0E23 U+0E34 U+0E48,ร,92,uni0E34,20,20,normal,2,ิ่,-1,13,0,13,0,0,0,0,-7,-10,14,8,fit
เริ่มเกมส์,1,U+0E23 U+0E34 U+0E48,ร,44,uni0E48.small,6,35,compact_tone,2,ิ่,-1,13,0,13,0,0,1,0,-2,-13,4,3,fit
เริ่มเกมส์,2,U+0E21,ม,56,uni0E21,10,10,normal,0,,4,12,4,12,0,0,0,8,1,-8,34,19,fit
เริ่มเกมส์,3,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,5,1,-8,17,9,fit
เริ่มเกมส์,4,U+0E01,ก,29,uni0E01,2,2,normal,0,,4,12,4,12,0,0,0,8,1,-8,33,19,fit
เริ่มเกมส์,5,U+0E21,ม,56,uni0E21,10,10,normal,0,,4,12,4,12,0,0,0,9,1,-8,34,19,fit
เริ่มเกมส์,6,U+0E2A U+0E4C,ส,110,uni0E2A,25,25,normal,1,์,1,13,1,13,0,0,0,8,1,-8,35,21,fit
เริ่มเกมส์,6,U+0E2A U+0E4C,ส,112,uni0E4C,27,27,normal,1,์,1,13,1,13,0,0,0,0,-4,-11,10,6,fit
โปเกมอน,0,U+0E42,,96,uni0E42,22,22,normal,0,,0,12,0,12,0,0,0,4,0,-12,27,14,fit
โปเกมอน,1,U+0E1B,ป,80,uni0E1B,15,15,normal,0,,1,12,1,12,0,0,0,9,1,-11,40,22,fit
โปเกมอน,2,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,4,1,-8,17,9,fit
โปเกมอน,3,U+0E01,ก,29,uni0E01,2,2,normal,0,,4,12,4,12,0,0,0,8,1,-8,33,19,fit
โปเกมอน,4,U+0E21,ม,56,uni0E21,10,10,normal,0,,4,12,4,12,0,0,0,9,1,-8,34,19,fit
โปเกมอน,5,U+0E2D,อ,72,uni0E2D,13,13,normal,0,,4,13,4,13,0,0,0,8,1,-8,34,19,fit
โปเกมอน,6,U+0E19,น,71,uni0E19,12,12,normal,0,,4,12,4,12,0,0,0,8,1,-8,34,19,fit
ผู้เล่น,0,U+0E1C U+0E39 U+0E49,ผ,78,uni0E1C,14,14,normal,1,้,0,15,0,15,0,0,0,9,1,-8,31,21,fit
ผู้เล่น,0,U+0E1C U+0E39 U+0E49,ผ,103,uni0E39,24,24,normal,1,้,0,15,0,15,0,0,-1,0,-5,1,11,7,fit
ผู้เล่น,0,U+0E1C U+0E39 U+0E49,ผ,47,uni0E49,7,7,normal,1,้,0,15,0,15,0,0,0,0,-5,-12,10,6,fit
ผู้เล่น,1,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,4,1,-8,17,9,fit
ผู้เล่น,2,U+0E25 U+0E48,ล,33,uni0E25,3,3,normal,1,่,0,13,0,13,0,0,0,8,1,-8,38,18,fit
ผู้เล่น,2,U+0E25 U+0E48,ล,42,uni0E48,4,4,normal,1,่,0,13,0,13,0,0,0,0,-3,-12,6,4,fit
ผู้เล่น,3,U+0E19,น,71,uni0E19,12,12,normal,0,,4,12,4,12,0,0,0,9,1,-8,34,19,fit
น้ำ เก็บไว้,0,U+0E19 U+0E49 U+0E33,น,71,uni0E19,12,31,upper_clearance_2,1,้,-2,12,0,14,0,0,0,9,1,-8,34,19,fit
น้ำ เก็บไว้,0,U+0E19 U+0E49 U+0E33,น,59,uni0E4D,11,11,normal,1,้,-2,12,0,14,0,0,0,0,-4,-11,10,8,fit
น้ำ เก็บไว้,0,U+0E19 U+0E49 U+0E33,น,49,uni0E49.small,8,37,compact_tone_high,1,้,-2,12,0,14,0,0,2,0,-4,-14,1,5,fit
น้ำ เก็บไว้,0,U+0E19 U+0E49 U+0E33,น,86,uni0E32,17,17,normal,1,้,-2,12,0,14,0,0,0,5,0,-8,19,11,fit
น้ำ เก็บไว้,1,U+0020,,111,space,26,26,normal,0,,0,0,0,0,0,0,0,4,0,0,0,0,fit
น้ำ เก็บไว้,2,U+0E40,,91,uni0E40,19,19,normal,0,,4,12,4,12,0,0,0,4,1,-8,17,9,fit
น้ำ เก็บไว้,3,U+0E01 U+0E47,ก,29,uni0E01,2,2,normal,1,็,0,12,0,12,0,0,0,8,1,-8,33,19,fit
น้ำ เก็บไว้,3,U+0E01 U+0E47,ก,53,uni0E47,9,9,normal,1,็,0,12,0,12,0,0,0,0,-6,-12,14,10,fit
น้ำ เก็บไว้,4,U+0E1A,บ,5,uni0E1A,0,0,normal,0,,4,12,4,12,0,0,0,9,1,-8,34,19,fit
น้ำ เก็บไว้,5,U+0E44,,88,uni0E44,18,18,normal,0,,0,12,0,12,0,0,0,4,0,-12,28,15,fit
น้ำ เก็บไว้,6,U+0E27 U+0E49,ว,134,uni0E27,29,29,normal,1,้,0,13,0,13,0,0,0,7,1,-8,26,15,fit
น้ำ เก็บไว้,6,U+0E27 U+0E49,ว,47,uni0E49,7,7,normal,1,้,0,13,0,13,0,0,0,0,-5,-12,10,6,fit
ญี่ปุ่น,0,U+0E0D U+0E35 U+0E48,ญ,137,uni0E0D,30,33,upper_clearance_2,2,ี่,-2,15,0,15,0,0,0,13,1,-8,48,30,fit
ญี่ปุ่น,0,U+0E0D U+0E35 U+0E48,ญ,94,uni0E35,21,34,compact_upper_mark_high,2,ี่,-2,15,0,15,0,0,2,0,-7,-11,2,8,fit
ญี่ปุ่น,0,U+0E0D U+0E35 U+0E48,ญ,44,uni0E48.small,6,36,compact_tone_high,2,ี่,-2,15,0,15,0,0,2,0,-3,-14,2,3,fit
ญี่ปุ่น,1,U+0E1B U+0E38 U+0E48,ป,80,uni0E1B,15,15,normal,1,่,0,15,0,15,0,0,0,8,1,-11,40,22,fit
