line,input_text,cluster,glyph_id,glyph_name,font_x_advance,font_y_advance,font_x_offset,font_y_offset,pixel_x_advance,pixel_x_offset,pixel_y_offset,bitmap_left,bitmap_top,bitmap_width,bitmap_height,final_draw_x,final_draw_y
1,เริ่มเกมส์,0,91,uni0E40,285,0,0,0,3.99,0.0,0.0,1.25,7.75,2.75,8.0,25.25,34.25
1,เริ่มเกมส์,1,81,uni0E23,488,0,0,0,6.832,0.0,0.0,0.5,7.875,5.875,8.125,28.490000000000002,34.125
1,เริ่มเกมส์,1,92,uni0E34,0,0,49,0,0.0,0.686,0.0,-7.25,10.0,6.125,1.125,28.258000000000003,32.0
1,เริ่มเกมส์,1,44,uni0E48.small,0,0,49,-59,0.0,0.686,-0.8260000000000001,-2.5,14.25,1.375,2.5,33.008,28.576
1,เริ่มเกมส์,4,56,uni0E21,614,0,0,0,8.596,0.0,0.0,1.125,7.75,6.375,8.0,35.947,34.25
1,เริ่มเกมส์,5,91,uni0E40,295,0,0,0,4.13,0.0,0.0,1.25,7.75,2.75,8.0,44.668,34.25
1,เริ่มเกมส์,6,29,uni0E01,600,0,0,0,8.4,0.0,0.0,0.875,7.875,6.5,7.875,48.423,34.125
1,เริ่มเกมส์,7,56,uni0E21,614,0,0,0,8.596,0.0,0.0,1.125,7.75,6.375,8.0,57.073,34.25
1,เริ่มเกมส์,8,110,uni0E2A,572,0,0,0,8.008000000000001,0.0,0.0,0.625,8.25,6.875,8.5,65.16900000000001,33.75
1,เริ่มเกมส์,8,112,uni0E4C,0,0,7,0,0.0,0.098,0.0,-3.875,10.625,3.5,2.25,68.775,31.375
2,โปเกมอน,0,96,uni0E42,297,0,0,0,4.158,0.0,0.0,0.125,11.625,4.875,11.875,24.125,30.375
2,โปเกมอน,1,80,uni0E1B,605,0,0,0,8.47,0.0,0.0,1.125,10.5,6.25,10.75,29.283,31.5
2,โปเกมอน,2,91,uni0E40,295,0,0,0,4.13,0.0,0.0,1.25,7.75,2.75,8.0,37.878,34.25
2,โปเกมอน,3,29,uni0E01,600,0,0,0,8.4,0.0,0.0,0.875,7.875,6.5,7.875,41.632999999999996,34.125
2,โปเกมอน,4,56,uni0E21,614,0,0,0,8.596,0.0,0.0,1.125,7.75,6.375,8.0,50.283,34.25
2,โปเกมอน,5,72,uni0E2D,574,0,0,0,8.036,0.0,0.0,0.75,7.875,6.5,8.125,58.504,34.125
2,โปเกมอน,6,71,uni0E19,613,0,0,0,8.582,0.0,0.0,1.125,7.75,6.25,8.0,66.91499999999999,34.25
3,ผู้เล่น,0,78,uni0E1C,648,0,0,0,9.072000000000001,0.0,0.0,1.125,7.875,6.75,7.875,25.125,34.125
3,ผู้เล่น,0,103,uni0E39,0,0,1,0,0.0,0.014,0.0,-5.5,-0.875,4.375,2.875,27.586,42.875
3,ผู้เล่น,0,47,uni0E49,0,0,1,0,0.0,0.014,0.0,-5.25,11.875,4.5,3.0,27.836,30.125
3,ผู้เล่น,3,91,uni0E40,285,0,0,0,3.99,0.0,0.0,1.25,7.75,2.75,8.0,34.322,34.25
3,ผู้เล่น,4,33,uni0E25,571,0,0,0,7.994,0.0,0.0,0.625,7.875,6.25,8.125,37.687,34.125
3,ผู้เล่น,4,42,uni0E48,0,0,-7,0,0.0,-0.098,0.0,-2.5,11.875,1.25,3.0,42.458,30.125
