duplicate_group,english_raw,occurrence_count,source_labels,source_files
dup_00001, BERRY,3,sText_BerrySuffix | sText_SpaceBerry | gText_Berry2,src/battle_message.c | src/berry_blender.c | src/strings.c
dup_00002, min. ,2,sText_Min | gText_SpaceMin,src/berry_blender.c | src/strings.c
dup_00003, points,3,gText_Points | gText_SpacePoints | gText_SpacePoints2,src/strings.c | src/strings.c | src/strings.c
dup_00004, sec.,2,sText_Sec | gText_SpaceSec,src/berry_blender.c | src/strings.c
dup_00005, time(s),3,gText_SpaceTimes | gText_SpaceTimes2 | gText_SpaceTimes3,src/strings.c | src/strings.c | src/strings.c
dup_00006,01234,2,gText_UnionRoomChatKeyboard_01234Upper | gText_UnionRoomChatKeyboard_01234Lower,src/text_input_strings.c | src/text_input_strings.c
dup_00007,1F,2,gText_1F | gText_TrainerHill1F,src/strings.c | src/strings.c
dup_00008,2$,2,gTrickHouse_Mechadoll_Two | gTrickHouse_Mechadoll_Two2,data/text/trick_house_mechadolls.inc | data/text/trick_house_mechadolls.inc
dup_00009,2F,2,gText_2F | gText_TrainerHill2F,src/strings.c | src/strings.c
dup_00010,3F,2,gText_3F | gText_TrainerHill3F,src/strings.c | src/strings.c
dup_00011,4F,2,gText_4F | gText_TrainerHill4F,src/strings.c | src/strings.c
dup_00012,56789,2,gText_UnionRoomChatKeyboard_56789Upper | gText_UnionRoomChatKeyboard_56789Lower,src/text_input_strings.c | src/text_input_strings.c
dup_00013,6$,2,gTrickHouse_Mechadoll_Six | gTrickHouse_Mechadoll_Six2,data/text/trick_house_mechadolls.inc | data/text/trick_house_mechadolls.inc
dup_00014,7$,2,gTrickHouse_Mechadoll_Seven | gTrickHouse_Mechadoll_Seven2,data/text/trick_house_mechadolls.inc | data/text/trick_house_mechadolls.inc
dup_00015,8$,2,gTrickHouse_Mechadoll_Eight | gTrickHouse_Mechadoll_Eight2,data/text/trick_house_mechadolls.inc | data/text/trick_house_mechadolls.inc
dup_00016,A POKéMON that grows steadily is one\nyou can count on.$,2,Route120_Text_RobertPostBattle | Route120_Text_RobertRematchIntro,data/text/trainers.inc | data/text/trainers.inc
dup_00017,A large doll.\nPlace it on a mat\nor a desk.,10,DecorDesc_SNORLAX_DOLL | DecorDesc_RHYDON_DOLL | DecorDesc_LAPRAS_DOLL | DecorDesc_VENUSAUR_DOLL | DecorDesc_CHARIZARD_DOLL | DecorDesc_BLASTOISE_DOLL | DecorDesc_WAILMER_DOLL | DecorDesc_REGIROCK_DOLL | DecorDesc_REGICE_DOLL | DecorDesc_REGISTEEL_DOLL,src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h | src/data/decoration/description.h
