id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes
dlg_f05a5b388b38ad28,main_story,required_event,001.001,,,Professor Birch,data/text/birch_speech.inc,1,gText_Birch_Welcome,Hi! Sorry to keep you waiting!\pWelcome to the world of POKéMON!\pMy name is BIRCH.\pBut everyone calls me the POKéMON\nPROFESSOR.\p$,"Hi! Sorry to keep you waiting!
[PAGE]
Welcome to the world of POKéMON!
[PAGE]
My name is BIRCH.
[PAGE]
But everyone calls me the POKéMON
PROFESSOR.
[PAGE]
",,untranslated,\p | \p | \p | \n | \p,,,Source path or label explicitly identifies progression.
dlg_a0a50d7092ef23e5,main_story,required_event,001.002,,,Professor Birch,data/text/birch_speech.inc,8,gText_Birch_Pokemon,This is what we call a “POKéMON.”\p\n$,"This is what we call a “POKéMON.”
[PAGE]

",,untranslated,\p | \n,,,Source path or label explicitly identifies progression.
dlg_8413e20c18110096,main_story,required_event,001.003,,,Professor Birch,data/text/birch_speech.inc,13,gText_Birch_MainSpeech,"This world is widely inhabited by\ncreatures known as POKéMON.\pWe humans live alongside POKéMON,\nat times as friendly playmates, and\lat times as cooperative workmates.\pAnd sometimes, we band together\nand battle others like us.\pBut despite our closeness, we don't\nknow everything about POKéMON.\pIn fact, there are many, many\nsecrets surrounding POKéMON.\pTo unravel POKéMON mysteries,\nI've been undertaking research.\lThat's what I do.\p$","This world is widely inhabited by
creatures known as POKéMON.
[PAGE]
We humans live alongside POKéMON,
at times as friendly playmates, and
at times as cooperative workmates.
[PAGE]
And sometimes, we band together
and battle others like us.
[PAGE]
But despite our closeness, we don't
know everything about POKéMON.
[PAGE]
In fact, there are many, many
secrets surrounding POKéMON.
[PAGE]
To unravel POKéMON mysteries,
I've been undertaking research.
That's what I do.
[PAGE]
",,untranslated,\n | \p | \n | \l | \p | \n | \p | \n | \p | \n | \p | \n | \l | \p,,,Source path or label explicitly identifies progression.
dlg_412f32d24928ff84,main_story,required_event,001.004,,,Professor Birch,data/text/birch_speech.inc,30,gText_Birch_AndYouAre,And you are?$,And you are?,,untranslated,,,,Source path or label explicitly identifies progression.
dlg_008b1eacc20d2fa0,main_story,required_event,001.005,,,Professor Birch,data/text/birch_speech.inc,33,gText_Birch_BoyOrGirl,{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{29}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{15}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}?\n{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{21}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{58}{0}{0}{244}{8}{1}{252}{25}{12}{0}{0}{244}{4}{1}?$,"{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{29}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{15}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}?
{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{21}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{58}{0}{0}{244}{8}{1}{252}{25}{12}{0}{0}{244}{4}{1}?",,untranslated,{252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {29} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {48} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {8} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {30} | {0} | {0} | {244} | {8} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {3} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {8} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {15} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {6} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {39} | {0} | {0} | {244} | {6} | {1} | \n | {252} | {25} | {46} | {0} | {0} | {244} | {7} | {1} | {252} | {25} | {21} | {1} | {0} | {244} | {6} | {1} | {252} | {25} | {48} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {8} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {30} | {0} | {0} | {244} | {8} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {3} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {8} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {46} | {0} | {0} | {244} | {7} | {1} | {252} | {25} | {58} | {0} | {0} | {244} | {8} | {1} | {252} | {25} | {12} | {0} | {0} | {244} | {4} | {1},,,Source path or label explicitly identifies progression.
dlg_9ef890e3b20a3ebf,main_story,required_event,001.006,,,Professor Birch,data/text/birch_speech.inc,37,gText_Birch_WhatsYourName,All right.\nWhat's your name?$,"All right.
What's your name?",,untranslated,\n,,,Source path or label explicitly identifies progression.
dlg_531e30048ab5cfb4,main_story,required_event,001.007,,,Professor Birch,data/text/birch_speech.inc,41,gText_Birch_SoItsPlayer,So it's {PLAYER}{KUN}?$,So it's {PLAYER}{KUN}?,,untranslated,{PLAYER} | {KUN},{PLAYER},,Source path or label explicitly identifies progression.
dlg_3d03c87c21475304,main_story,required_event,001.008,,,Professor Birch,data/text/birch_speech.inc,44,gText_Birch_YourePlayer,"Ah, okay!\pYou're {PLAYER}{KUN} who's moving to my\nhometown of LITTLEROOT.\lI get it now!\p$","Ah, okay!
[PAGE]
You're {PLAYER}{KUN} who's moving to my
hometown of LITTLEROOT.
I get it now!
[PAGE]
",,untranslated,\p | {PLAYER} | {KUN} | \n | \l | \p,{PLAYER},,Source path or label explicitly identifies progression.
dlg_745792a288a31bbd,main_story,required_event,001.009,,,Professor Birch,data/text/birch_speech.inc,51,gText_Birch_AreYouReady,"All right, are you ready?\pYour very own adventure is about\nto unfold.\pTake courage, and leap into the\nworld of POKéMON where dreams,\ladventure, and friendships await!\pWell, I'll be expecting you later.\nCome see me in my POKéMON LAB.\p$","All right, are you ready?
[PAGE]
Your very own adventure is about
to unfold.
[PAGE]
Take courage, and leap into the
world of POKéMON where dreams,
adventure, and friendships await!
[PAGE]
Well, I'll be expecting you later.
Come see me in my POKéMON LAB.
[PAGE]
",,untranslated,\p | \n | \p | \n | \l | \p | \n | \p,,,Source path or label explicitly identifies progression.
dlg_cf65dad55510cbb0,main_story,required_event,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,90,AquaHideout_1F_Text_TeamMagmaAtMtChimney,What? What?\nAre you a TEAM MAGMA grunt?\pI hear that TEAM MAGMA is after\nan awesome POKéMON at MT. CHIMNEY.\pBut what is that POKéMON like?$,"What? What?
Are you a TEAM MAGMA grunt?
[PAGE]
I hear that TEAM MAGMA is after
an awesome POKéMON at MT. CHIMNEY.
[PAGE]
But what is that POKéMON like?",,untranslated,\n | \p | \n | \p,,,Map path or label explicitly identifies progression.
