id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes
dlg_c939fd14c944ce60,battle,,,AbandonedShip_Corridors_1F,AbandonedShip Corridors 1F,,data/maps/AbandonedShip_Corridors_1F/scripts.inc,19,AbandonedShip_Corridors_1F_Text_CharliePostBattle,It's not easy throwing POKé BALLS\nwhile hanging on to an inner tube!$,"It's not easy throwing POKé BALLS
while hanging on to an inner tube!",,untranslated,\n,,,
dlg_2f9156914c1c5042,battle,,,AbandonedShip_Corridors_B1F,AbandonedShip Corridors B1F,,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,63,AbandonedShip_Corridors_B1F_Text_DuncanPostBattle,"The ship's bottom has sunk into the\ndepths.\pIf a POKéMON knew how to go underwater,\nwe might make some progress…$","The ship's bottom has sunk into the
depths.
[PAGE]
If a POKéMON knew how to go underwater,
we might make some progress…",,untranslated,\n | \p | \n,,,
dlg_b1b78ab67d465aad,battle,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,59,AbandonedShip_Rooms2_1F_Text_DanPostBattle,DAN: We can't find any treasures…\nI wonder if someone got them already?$,"DAN: We can't find any treasures…
I wonder if someone got them already?",,untranslated,\n,,,
dlg_8ef80f4d4739c5e8,battle,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,75,AbandonedShip_Rooms2_1F_Text_KiraPostBattle,KIRA: Where could the treasures be?\pI've already decided what I'm buying\nwhen we find the treasures!$,"KIRA: Where could the treasures be?
[PAGE]
I've already decided what I'm buying
when we find the treasures!",,untranslated,\p | \n,,,
dlg_a95bc3dab153f9ed,battle,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,134,AbandonedShip_Rooms2_1F_Text_JaniPostBattle,Walking around barefoot in this ship\nis kind of gross.$,"Walking around barefoot in this ship
is kind of gross.",,untranslated,\n,,,
dlg_410c905e70aba7af,battle,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,146,AbandonedShip_Rooms2_1F_Text_GarrisonPostBattle,"In a cabin somewhere on board,\nI saw something sparkle.$","In a cabin somewhere on board,
I saw something sparkle.",,untranslated,\n,,,
dlg_00b0a4af1de4c25f,battle,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,46,AbandonedShip_Rooms_1F_Text_ThaliaPostBattle,"The man next door…\pHe says he's just sightseeing,\nbut I don't know about that.$","The man next door…
[PAGE]
He says he's just sightseeing,
but I don't know about that.",,untranslated,\p | \n,,,
dlg_9848116b0c4e11ae,battle,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,73,AbandonedShip_Rooms_1F_Text_DemetriusPostBattle,"I'm in trouble with my mom, so I ran.\nKeep it a secret where I am!$","I'm in trouble with my mom, so I ran.
Keep it a secret where I am!",,untranslated,\n,,,
dlg_071fd9fd0855f071,battle,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,115,AquaHideout_1F_Text_Grunt1PostBattle,"I took the loss for the TEAM,\nbut I did my job…$","I took the loss for the TEAM,
but I did my job…",,untranslated,\n,,,
dlg_ebc2e18b473a5976,battle,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,115,AquaHideout_B1F_Text_Grunt2PostBattle,"Our HIDEOUT's secret?\pWell, let's just say…\nThere's a submarine at the far end!\pBut, by now…\nKekekeke…$","Our HIDEOUT's secret?
[PAGE]
Well, let's just say…
There's a submarine at the far end!
[PAGE]
But, by now…
Kekekeke…",,untranslated,\p | \n | \p | \n,,,
dlg_d86ee7fb78d04186,battle,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,131,AquaHideout_B1F_Text_Grunt3PostBattle,Humph!\nThis was supposed to happen!\pMy mission was to just hold you up!$,"Humph!
This was supposed to happen!
[PAGE]
My mission was to just hold you up!",,untranslated,\n | \p,,,
dlg_af290f764e8fd63a,battle,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,144,AquaHideout_B1F_Text_Grunt5PostBattle,"If you scurry too much, other TEAM\nAQUA members might get you.$","If you scurry too much, other TEAM
AQUA members might get you.",,untranslated,\n,,,
dlg_75b1199d8b87b167,battle,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,157,AquaHideout_B1F_Text_Grunt7PostBattle,"If you have a cool uniform, you look\ngood even in a loss, don't you think?$","If you have a cool uniform, you look
good even in a loss, don't you think?",,untranslated,\n,,,
dlg_b13c4d9e2a1feba7,battle,,,AquaHideout_B2F,AquaHideout B2F,,data/maps/AquaHideout_B2F/scripts.inc,107,AquaHideout_B2F_Text_MattPostBattle,"Hehehe!\pOur BOSS has already gone on his way to\nsome cave under the sea!\pIf you're going to give chase, you'd\nbetter search the big, wide sea beyond\lLILYCOVE.\pBut will you find it then?\nHehehe!$","Hehehe!
[PAGE]
Our BOSS has already gone on his way to
some cave under the sea!
[PAGE]
If you're going to give chase, you'd
better search the big, wide sea beyond
LILYCOVE.
[PAGE]
But will you find it then?
Hehehe!",,untranslated,\p | \n | \p | \n | \l | \p | \n,,,
