description_symbol,source_text,target_text_th,status,usage_count,source_file,source_line
sDummyDesc,?????,,not_applicable,68,src/data/text/item_descriptions.h,1
sMasterBallDesc,"The best BALL that
catches a POKéMON
without fail.",,pending,1,src/data/text/item_descriptions.h,5
sUltraBallDesc,"A better BALL with
a higher catch rate
than a GREAT BALL.",,pending,1,src/data/text/item_descriptions.h,10
sGreatBallDesc,"A good BALL with a
higher catch rate
than a POKé BALL.",,pending,1,src/data/text/item_descriptions.h,15
sPokeBallDesc,"A tool used for
catching wild
POKéMON.",,pending,1,src/data/text/item_descriptions.h,20
sSafariBallDesc,"A special BALL that
is used only in the
SAFARI ZONE.",,pending,1,src/data/text/item_descriptions.h,25
sNetBallDesc,"A BALL that works
well on WATER- and
BUG-type POKéMON.",,pending,1,src/data/text/item_descriptions.h,30
sDiveBallDesc,"A BALL that works
better on POKéMON
on the ocean floor.",,pending,1,src/data/text/item_descriptions.h,35
sNestBallDesc,"A BALL that works
better on weaker
POKéMON.",,pending,1,src/data/text/item_descriptions.h,40
sRepeatBallDesc,"A BALL that works
better on POKéMON
caught before.",,pending,1,src/data/text/item_descriptions.h,45
sTimerBallDesc,"A BALL that gains
power in battles
taking many turns.",,pending,1,src/data/text/item_descriptions.h,50
sLuxuryBallDesc,"A cozy BALL that
makes POKéMON
more friendly.",,pending,1,src/data/text/item_descriptions.h,55
sPremierBallDesc,"A rare BALL made
in commemoration
of some event.",,pending,1,src/data/text/item_descriptions.h,60
sPotionDesc,"Restores the HP of
a POKéMON by
20 points.",,pending,1,src/data/text/item_descriptions.h,66
sAntidoteDesc,"Heals a poisoned
POKéMON.",,pending,1,src/data/text/item_descriptions.h,71
sBurnHealDesc,"Heals POKéMON
of a burn.",,pending,1,src/data/text/item_descriptions.h,75
sIceHealDesc,"Defrosts a frozen
POKéMON.",,pending,1,src/data/text/item_descriptions.h,79
sAwakeningDesc,"Awakens a sleeping
POKéMON.",,pending,1,src/data/text/item_descriptions.h,83
sParalyzeHealDesc,"Heals a paralyzed
POKéMON.",,pending,1,src/data/text/item_descriptions.h,87
sFullRestoreDesc,"Fully restores the
HP and status of a
POKéMON.",,pending,1,src/data/text/item_descriptions.h,91
sMaxPotionDesc,"Fully restores the
HP of a POKéMON.",,pending,1,src/data/text/item_descriptions.h,96
sHyperPotionDesc,"Restores the HP of
a POKéMON by
200 points.",,pending,1,src/data/text/item_descriptions.h,100
sSuperPotionDesc,"Restores the HP of
a POKéMON by
50 points.",,pending,1,src/data/text/item_descriptions.h,105
sFullHealDesc,"Heals all the
status problems of
one POKéMON.",,pending,1,src/data/text/item_descriptions.h,110
sReviveDesc,"Revives a fainted
POKéMON with half
its HP.",,pending,1,src/data/text/item_descriptions.h,115
sMaxReviveDesc,"Revives a fainted
POKéMON with all
its HP.",,pending,1,src/data/text/item_descriptions.h,120
sFreshWaterDesc,"A mineral water
that restores HP
by 50 points.",,pending,1,src/data/text/item_descriptions.h,125
sSodaPopDesc,"A fizzy soda drink
that restores HP
by 60 points.",,pending,1,src/data/text/item_descriptions.h,130
sLemonadeDesc,"A very sweet drink
that restores HP
by 80 points.",,pending,1,src/data/text/item_descriptions.h,135
sMoomooMilkDesc,"A nutritious milk
that restores HP
by 100 points.",,pending,1,src/data/text/item_descriptions.h,140
sEnergyPowderDesc,"A bitter powder
that restores HP
by 50 points.",,pending,1,src/data/text/item_descriptions.h,145
sEnergyRootDesc,"A bitter root
that restores HP
by 200 points.",,pending,1,src/data/text/item_descriptions.h,150
sHealPowderDesc,"A bitter powder
that heals all
status problems.",,pending,1,src/data/text/item_descriptions.h,155
sRevivalHerbDesc,"A very bitter herb
that revives a
fainted POKéMON.",,pending,1,src/data/text/item_descriptions.h,160
sEtherDesc,"Restores the PP
of a selected move
by 10.",,pending,1,src/data/text/item_descriptions.h,165
sMaxEtherDesc,"Fully restores the
PP of a selected
move.",,pending,1,src/data/text/item_descriptions.h,170
sElixirDesc,"Restores the PP
of all moves by 10.",,pending,1,src/data/text/item_descriptions.h,175
sMaxElixirDesc,"Fully restores the
PP of a POKéMON's
moves.",,pending,1,src/data/text/item_descriptions.h,179
sLavaCookieDesc,"A local specialty
that heals all
status problems.",,pending,1,src/data/text/item_descriptions.h,184
sBlueFluteDesc,"A glass flute that
awakens sleeping
POKéMON.",,pending,1,src/data/text/item_descriptions.h,189
sYellowFluteDesc,"A glass flute that
snaps POKéMON
out of confusion.",,pending,1,src/data/text/item_descriptions.h,194
sRedFluteDesc,"A glass flute that
snaps POKéMON
out of attraction.",,pending,1,src/data/text/item_descriptions.h,199
sBlackFluteDesc,"A glass flute that
keeps away wild
POKéMON.",,pending,1,src/data/text/item_descriptions.h,204
sWhiteFluteDesc,"A glass flute that
lures wild POKéMON.",,pending,1,src/data/text/item_descriptions.h,209
sBerryJuiceDesc,"A 100% pure juice
that restores HP
by 20 points.",,pending,1,src/data/text/item_descriptions.h,213
sSacredAshDesc,"Fully revives and
restores all
fainted POKéMON.",,pending,1,src/data/text/item_descriptions.h,218
sShoalSaltDesc,"Salt obtained from
deep inside the
SHOAL CAVE.",,pending,1,src/data/text/item_descriptions.h,224
sShoalShellDesc,"A seashell found
deep inside the
SHOAL CAVE.",,pending,1,src/data/text/item_descriptions.h,229
sRedShardDesc,"A shard from an
ancient item. Can
be sold cheaply.",,pending,1,src/data/text/item_descriptions.h,234
sBlueShardDesc,"A shard from an
ancient item. Can
be sold cheaply.",,pending,1,src/data/text/item_descriptions.h,239
sYellowShardDesc,"A shard from an
ancient item. Can
be sold cheaply.",,pending,1,src/data/text/item_descriptions.h,244
sGreenShardDesc,"A shard from an
ancient item. Can
be sold cheaply.",,pending,1,src/data/text/item_descriptions.h,249
sHPUpDesc,"Raises the base HP
of one POKéMON.",,pending,1,src/data/text/item_descriptions.h,255
sProteinDesc,"Raises the base
ATTACK stat of one
POKéMON.",,pending,1,src/data/text/item_descriptions.h,259
sIronDesc,"Raises the base
DEFENSE stat of
one POKéMON.",,pending,1,src/data/text/item_descriptions.h,264
sCarbosDesc,"Raises the base
SPEED stat of one
POKéMON.",,pending,1,src/data/text/item_descriptions.h,269
sCalciumDesc,"Raises the base
SP. ATK stat of one
POKéMON.",,pending,1,src/data/text/item_descriptions.h,274
sRareCandyDesc,"Raises the level
of a POKéMON by
one.",,pending,1,src/data/text/item_descriptions.h,279
sPPUpDesc,"Raises the maximum
PP of a selected
move.",,pending,1,src/data/text/item_descriptions.h,284
sZincDesc,"Raises the base
SP. DEF stat of one
POKéMON.",,pending,1,src/data/text/item_descriptions.h,289
sPPMaxDesc,"Raises the PP of a
move to its maximum
points.",,pending,1,src/data/text/item_descriptions.h,294
sGuardSpecDesc,"Prevents stat
reduction when
used in battle.",,pending,1,src/data/text/item_descriptions.h,300
sDireHitDesc,"Raises the
critical-hit ratio
during one battle.",,pending,1,src/data/text/item_descriptions.h,305
sXAttackDesc,"Raises the stat
ATTACK during one
battle.",,pending,1,src/data/text/item_descriptions.h,310
sXDefendDesc,"Raises the stat
DEFENSE during one
battle.",,pending,1,src/data/text/item_descriptions.h,315
sXSpeedDesc,"Raises the stat
SPEED during one
battle.",,pending,1,src/data/text/item_descriptions.h,320
sXAccuracyDesc,"Raises accuracy
of attack moves
during one battle.",,pending,1,src/data/text/item_descriptions.h,325
sXSpecialDesc,"Raises the stat
SP. ATK during one
battle.",,pending,1,src/data/text/item_descriptions.h,330
sPokeDollDesc,"Use to flee from
any battle with
a wild POKéMON.",,pending,1,src/data/text/item_descriptions.h,335
sFluffyTailDesc,"Use to flee from
any battle with
a wild POKéMON.",,pending,1,src/data/text/item_descriptions.h,340
sSuperRepelDesc,"Repels weak wild
POKéMON for 200
steps.",,pending,1,src/data/text/item_descriptions.h,346
sMaxRepelDesc,"Repels weak wild
POKéMON for 250
steps.",,pending,1,src/data/text/item_descriptions.h,351
sEscapeRopeDesc,"Use to escape
instantly from a
cave or a dungeon.",,pending,1,src/data/text/item_descriptions.h,356
sRepelDesc,"Repels weak wild
POKéMON for 100
steps.",,pending,1,src/data/text/item_descriptions.h,361
sSunStoneDesc,"Makes certain
species of POKéMON
evolve.",,pending,1,src/data/text/item_descriptions.h,367
sMoonStoneDesc,"Makes certain
species of POKéMON
evolve.",,pending,1,src/data/text/item_descriptions.h,372
sFireStoneDesc,"Makes certain
species of POKéMON
evolve.",,pending,1,src/data/text/item_descriptions.h,377
sThunderStoneDesc,"Makes certain
species of POKéMON
evolve.",,pending,1,src/data/text/item_descriptions.h,382
