item_id,item_name_en,name_status,description_symbol,description_status,source_file,source_line
ITEM_NONE,????????,not_applicable,sDummyDesc,not_applicable,src/data/items.h,3
ITEM_MASTER_BALL,MASTER BALL,keep_english,sMasterBallDesc,translated_pending_qa,src/data/items.h,16
ITEM_ULTRA_BALL,ULTRA BALL,keep_english,sUltraBallDesc,translated_pending_qa,src/data/items.h,29
ITEM_GREAT_BALL,GREAT BALL,keep_english,sGreatBallDesc,translated_pending_qa,src/data/items.h,42
ITEM_POKE_BALL,POKé BALL,keep_english,sPokeBallDesc,translated_pending_qa,src/data/items.h,55
ITEM_SAFARI_BALL,SAFARI BALL,keep_english,sSafariBallDesc,translated_pending_qa,src/data/items.h,68
ITEM_NET_BALL,NET BALL,keep_english,sNetBallDesc,translated_pending_qa,src/data/items.h,81
ITEM_DIVE_BALL,DIVE BALL,keep_english,sDiveBallDesc,translated_pending_qa,src/data/items.h,94
ITEM_NEST_BALL,NEST BALL,keep_english,sNestBallDesc,translated_pending_qa,src/data/items.h,107
ITEM_REPEAT_BALL,REPEAT BALL,keep_english,sRepeatBallDesc,translated_pending_qa,src/data/items.h,120
ITEM_TIMER_BALL,TIMER BALL,keep_english,sTimerBallDesc,translated_pending_qa,src/data/items.h,133
ITEM_LUXURY_BALL,LUXURY BALL,keep_english,sLuxuryBallDesc,translated_pending_qa,src/data/items.h,146
ITEM_PREMIER_BALL,PREMIER BALL,keep_english,sPremierBallDesc,translated_pending_qa,src/data/items.h,159
ITEM_POTION,POTION,keep_english,sPotionDesc,proof_passed,src/data/items.h,174
ITEM_ANTIDOTE,ANTIDOTE,keep_english,sAntidoteDesc,translated_pending_qa,src/data/items.h,188
ITEM_BURN_HEAL,BURN HEAL,keep_english,sBurnHealDesc,translated_pending_qa,src/data/items.h,201
ITEM_ICE_HEAL,ICE HEAL,keep_english,sIceHealDesc,translated_pending_qa,src/data/items.h,214
ITEM_AWAKENING,AWAKENING,keep_english,sAwakeningDesc,translated_pending_qa,src/data/items.h,227
ITEM_PARALYZE_HEAL,PARLYZ HEAL,keep_english,sParalyzeHealDesc,translated_pending_qa,src/data/items.h,240
ITEM_FULL_RESTORE,FULL RESTORE,keep_english,sFullRestoreDesc,translated_pending_qa,src/data/items.h,253
ITEM_MAX_POTION,MAX POTION,keep_english,sMaxPotionDesc,translated_pending_qa,src/data/items.h,267
