ui_key,symbol,ui_area,usage_file,usage_line,function_or_scope,context_kind,font_direct,alignment_direct,window_and_position_status,source_context,usage_status
local:src/battle_message.c:sText_Trainer1LoseText,sText_Trainer1LoseText,BATTLE_SYSTEM,src/battle_message.c,519,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_TRAINER1LOSETEXT - BATTLESTRINGS_TABLE_START] = sText_Trainer1LoseText,",active_reference
local:src/battle_message.c:sText_PkmnGainedEXP,sText_PkmnGainedEXP,BATTLE_SYSTEM,src/battle_message.c,520,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_PKMNGAINEDEXP - BATTLESTRINGS_TABLE_START] = sText_PkmnGainedEXP,",active_reference
local:src/battle_message.c:sText_PkmnGrewToLv,sText_PkmnGrewToLv,BATTLE_SYSTEM,src/battle_message.c,521,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_PKMNGREWTOLV - BATTLESTRINGS_TABLE_START] = sText_PkmnGrewToLv,",active_reference
local:src/battle_message.c:sText_PkmnLearnedMove,sText_PkmnLearnedMove,BATTLE_SYSTEM,src/battle_message.c,522,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_PKMNLEARNEDMOVE - BATTLESTRINGS_TABLE_START] = sText_PkmnLearnedMove,",active_reference
local:src/battle_message.c:sText_TryToLearnMove1,sText_TryToLearnMove1,BATTLE_SYSTEM,src/battle_message.c,523,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_TRYTOLEARNMOVE1 - BATTLESTRINGS_TABLE_START] = sText_TryToLearnMove1,",active_reference
local:src/battle_message.c:sText_TryToLearnMove2,sText_TryToLearnMove2,BATTLE_SYSTEM,src/battle_message.c,524,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_TRYTOLEARNMOVE2 - BATTLESTRINGS_TABLE_START] = sText_TryToLearnMove2,",active_reference
local:src/battle_message.c:sText_TryToLearnMove3,sText_TryToLearnMove3,BATTLE_SYSTEM,src/battle_message.c,525,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_TRYTOLEARNMOVE3 - BATTLESTRINGS_TABLE_START] = sText_TryToLearnMove3,",active_reference
local:src/battle_message.c:sText_PkmnForgotMove,sText_PkmnForgotMove,BATTLE_SYSTEM,src/battle_message.c,526,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_PKMNFORGOTMOVE - BATTLESTRINGS_TABLE_START] = sText_PkmnForgotMove,",active_reference
local:src/battle_message.c:sText_StopLearningMove,sText_StopLearningMove,BATTLE_SYSTEM,src/battle_message.c,527,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_STOPLEARNINGMOVE - BATTLESTRINGS_TABLE_START] = sText_StopLearningMove,",active_reference
local:src/battle_message.c:sText_DidNotLearnMove,sText_DidNotLearnMove,BATTLE_SYSTEM,src/battle_message.c,528,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_DIDNOTLEARNMOVE - BATTLESTRINGS_TABLE_START] = sText_DidNotLearnMove,",active_reference
local:src/battle_message.c:sText_PkmnLearnedMove2,sText_PkmnLearnedMove2,BATTLE_SYSTEM,src/battle_message.c,529,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_PKMNLEARNEDMOVE2 - BATTLESTRINGS_TABLE_START] = sText_PkmnLearnedMove2,",active_reference
local:src/battle_message.c:sText_AttackMissed,sText_AttackMissed,BATTLE_SYSTEM,src/battle_message.c,530,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_ATTACKMISSED - BATTLESTRINGS_TABLE_START] = sText_AttackMissed,",active_reference
local:src/battle_message.c:sText_PkmnProtectedItself,sText_PkmnProtectedItself,BATTLE_SYSTEM,src/battle_message.c,531,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_PKMNPROTECTEDITSELF - BATTLESTRINGS_TABLE_START] = sText_PkmnProtectedItself,",active_reference
local:src/battle_message.c:sText_StatsWontIncrease2,sText_StatsWontIncrease2,BATTLE_SYSTEM,src/battle_message.c,532,gBattleStringsTable,pointer_table_entry,,left_or_dynamic,pending_call_flow_mapping,"[STRINGID_STATSWONTINCREASE2 - BATTLESTRINGS_TABLE_START] = sText_StatsWontIncrease2,",active_reference
