ui_id,ui_key,symbol,current_text,target_text_th,translation_status,scope_class,current_language,ui_areas,usage_count,definition_kind,source_file,source_line,line_count,control_codes,has_placeholders,width_constraint_status,visual_qa_status,translator_note
UI0001,global:gText_12PoofForgotMove,gText_12PoofForgotMove,"1, {PAUSE 15}2, and{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}Poof!\p{STR_VAR_1} forgot how to
use {STR_VAR_2}.\pAnd…{PAUSE_UNTIL_PRESS}",,pending,system_message,english,PARTY_MENU,1,c_u8,src/strings.c,410,2,\p;{PAUSE 15};{PAUSE_UNTIL_PRESS};{PLAY_SE SE_BALL_BOUNCE_1};{STR_VAR_1};{STR_VAR_2},yes,pending_usage_to_window_mapping,pending,
UI0002,global:gText_5MarksPokemon,gText_5MarksPokemon,????? POKéMON,,pending,core_ui_label,english,POKEDEX,1,c_u8,src/strings.c,107,1,,no,pending_usage_to_window_mapping,pending,
UI0003,global:gText_Able,gText_Able,ABLE,,pending,core_ui_label,english,PARTY_MENU,1,c_u8,src/strings.c,459,1,,no,pending_usage_to_window_mapping,pending,
UI0004,global:gText_Able2,gText_Able2,ABLE,,pending,core_ui_label,english,PARTY_MENU,1,c_u8,src/strings.c,463,1,,no,pending_usage_to_window_mapping,pending,
UI0005,global:gText_Able3,gText_Able3,ABLE!,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,465,1,,no,pending_usage_to_window_mapping,pending,
UI0006,global:gText_Accuracy2,gText_Accuracy2,ACCURACY,,pending,core_ui_label,english,SUMMARY,1,c_u8,src/strings.c,508,1,,no,pending_usage_to_window_mapping,pending,
UI0007,global:gText_AlreadyHoldingOne,gText_AlreadyHoldingOne,"{STR_VAR_1} is already holding
one {STR_VAR_2}.",,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,457,2,{STR_VAR_1};{STR_VAR_2},yes,pending_usage_to_window_mapping,pending,
UI0008,global:gText_AlreadySavedFile,gText_AlreadySavedFile,"There is already a saved file.
Is it okay to overwrite it?","มีไฟล์บันทึกอยู่แล้ว
ต้องการเขียนทับหรือไม่?",proof_passed,core_ui_prompt,english,START_SAVE,1,asm_string,data/text/save.inc,5,2,,no,pass,proof_passed,Runtime screenshot reviewed: rendering and translation passed.
UI0009,global:gText_AlreadySurfing,gText_AlreadySurfing,You're already SURFING.,,pending,core_ui_prompt,english,PARTY_MENU,1,c_u8,src/strings.c,440,1,,no,pending_usage_to_window_mapping,pending,
UI0010,global:gText_AnythingElseICanHelp,gText_AnythingElseICanHelp,"Is there anything else I can help
you with?",,pending,core_ui_prompt,english,SHOP,1,c_u8,src/strings.c,359,2,,no,pending_usage_to_window_mapping,pending,
UI0011,global:gText_Appeal,gText_Appeal,APPEAL,,pending,core_ui_label,english,SUMMARY,1,c_u8,src/strings.c,509,1,,no,pending_usage_to_window_mapping,pending,
UI0012,global:gText_Attack3,gText_Attack3,ATTACK,,pending,core_ui_label,english,PARTY_MENU;SUMMARY,5,c_u8,src/strings.c,497,1,,no,pending_usage_to_window_mapping,pending,
UI0013,global:gText_BagFullCouldNotRemoveItem,gText_BagFullCouldNotRemoveItem,"The BAG is full. The POKéMON's
item could not be removed.{PAUSE_UNTIL_PRESS}",,pending,system_message,english,PARTY_MENU,1,c_u8,src/strings.c,403,2,{PAUSE_UNTIL_PRESS},yes,pending_usage_to_window_mapping,pending,
UI0014,global:gText_BagIsFull,gText_BagIsFull,The BAG is full.{PAUSE_UNTIL_PRESS},,pending,system_message,english,PC_STORAGE,1,c_u8,src/strings.c,605,1,{PAUSE_UNTIL_PRESS},yes,pending_usage_to_window_mapping,pending,
