ui_key,symbol,ui_area,usage_file,usage_line,function_or_scope,context_kind,font_direct,alignment_direct,window_and_position_status,source_context,usage_status
global:gText_Cancel2,gText_Cancel2,BAG,src/item_menu.c,271,GLOBAL,menu_action_or_table,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"[ACTION_CANCEL]            = {gText_Cancel2,      {ItemMenu_Cancel}},",active_reference
global:gText_EmptyString2,gText_EmptyString2,BAG,src/item_menu.c,281,GLOBAL,menu_action_or_table,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"[ACTION_DUMMY]             = {gText_EmptyString2, {NULL}}",active_reference
global:gText_CloseBag,gText_CloseBag,BAG,src/item_menu.c,875,LoadBagItemListBuffers,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringCopy(sListBuffer2->name[i], gText_CloseBag);",active_reference
global:gText_NumberItem_HM,gText_NumberItem_HM,BAG,src/item_menu.c,906,GetItemNameFromPocket,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(dest, gText_NumberItem_HM);",active_reference
global:gText_NumberItem_TMBerry,gText_NumberItem_TMBerry,BAG,src/item_menu.c,912,GetItemNameFromPocket,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(dest, gText_NumberItem_TMBerry);",active_reference
global:gText_NumberItem_TMBerry,gText_NumberItem_TMBerry,BAG,src/item_menu.c,918,GetItemNameFromPocket,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(dest, gText_NumberItem_TMBerry);",active_reference
global:gText_xVar1,gText_xVar1,BAG,src/item_menu.c,974,BagMenu_ItemPrintCallback,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_xVar1);",active_reference
global:gText_xVar1,gText_xVar1,BAG,src/item_menu.c,982,BagMenu_ItemPrintCallback,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_xVar1);",active_reference
global:gText_ReturnToVar1,gText_ReturnToVar1,BAG,src/item_menu.c,1006,PrintItemDescription,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ReturnToVar1);",active_reference
global:gText_SelectorArrow2,gText_SelectorArrow2,BAG,src/item_menu.c,1023,BagMenu_PrintCursorAtPos,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"BagMenu_Print(WIN_ITEM_LIST, FONT_NORMAL, gText_SelectorArrow2, 0, y, 0, 0, 0, colorIndex);",active_reference
global:gText_xVar1,gText_xVar1,BAG,src/item_menu.c,1196,PrintItemQuantity,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_xVar1);",active_reference
global:gText_xVar1,gText_xVar1,BAG,src/item_menu.c,1205,PrintItemSoldAmount,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_xVar1);",active_reference
global:gText_MoveVar1Where,gText_MoveVar1Where,BAG,src/item_menu.c,1438,StartItemSwap,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_MoveVar1Where);",active_reference
global:gText_Var1IsSelected,gText_Var1IsSelected,BAG,src/item_menu.c,1653,OpenContextMenu,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_Var1IsSelected);",active_reference
global:gText_TossHowManyVar1s,gText_TossHowManyVar1s,BAG,src/item_menu.c,1819,ItemMenu_Toss,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_TossHowManyVar1s);",active_reference
global:gText_ConfirmTossItems,gText_ConfirmTossItems,BAG,src/item_menu.c,1833,AskTossItems,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ConfirmTossItems);",active_reference
global:gText_ThrewAwayVar2Var1s,gText_ThrewAwayVar2Var1s,BAG,src/item_menu.c,1876,ConfirmToss,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ThrewAwayVar2Var1s);",active_reference
global:gText_CantWriteMail,gText_CantWriteMail,BAG,src/item_menu.c,1926,ItemMenu_Give,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DisplayItemMessage(taskId, FONT_NORMAL, gText_CantWriteMail, HandleErrorMessage);",active_reference
global:gText_NoPokemon,gText_NoPokemon,BAG,src/item_menu.c,1948,PrintThereIsNoPokemon,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DisplayItemMessage(taskId, FONT_NORMAL, gText_NoPokemon, HandleErrorMessage);",active_reference
global:gText_Var1CantBeHeld,gText_Var1CantBeHeld,BAG,src/item_menu.c,1954,PrintItemCantBeHeld,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_Var1CantBeHeld);",active_reference
global:gText_CantWriteMail,gText_CantWriteMail,BAG,src/item_menu.c,2003,Task_ItemContext_GiveToParty,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DisplayItemMessage(taskId, FONT_NORMAL, gText_CantWriteMail, HandleErrorMessage);",active_reference
global:gText_Var1CantBeHeldHere,gText_Var1CantBeHeldHere,BAG,src/item_menu.c,2008,Task_ItemContext_GiveToParty,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_Var1CantBeHeldHere);",active_reference
global:gText_CantWriteMail,gText_CantWriteMail,BAG,src/item_menu.c,2025,Task_ItemContext_GiveToPC,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DisplayItemMessage(taskId, FONT_NORMAL, gText_CantWriteMail, HandleErrorMessage);",active_reference
global:gText_CantBuyKeyItem,gText_CantBuyKeyItem,BAG,src/item_menu.c,2073,Task_ItemContext_Sell,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_CantBuyKeyItem);",active_reference
global:gText_HowManyToSell,gText_HowManyToSell,BAG,src/item_menu.c,2087,Task_ItemContext_Sell,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_HowManyToSell);",active_reference
global:gText_ICanPayVar1,gText_ICanPayVar1,BAG,src/item_menu.c,2098,DisplaySellItemPriceAndConfirm,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ICanPayVar1);",active_reference
