move_id,move_constant,english_name,thai_name,status,translation_source,qa_notes
0,MOVE_NONE,-,,pending,,
1,MOVE_POUND,POUND,,pending,,
2,MOVE_KARATE_CHOP,KARATE CHOP,,pending,,
3,MOVE_DOUBLE_SLAP,DOUBLESLAP,,pending,,
4,MOVE_COMET_PUNCH,COMET PUNCH,,pending,,
5,MOVE_MEGA_PUNCH,MEGA PUNCH,,pending,,
6,MOVE_PAY_DAY,PAY DAY,,pending,,
7,MOVE_FIRE_PUNCH,FIRE PUNCH,หมัดไฟ,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
8,MOVE_ICE_PUNCH,ICE PUNCH,,pending,,
9,MOVE_THUNDER_PUNCH,THUNDERPUNCH,,pending,,
10,MOVE_SCRATCH,SCRATCH,ข่วน,proof_passed,torchic_runtime_proof,"ผ่าน Battle Menu, Battle Message, Battle Moves และ Contest Moves"
11,MOVE_VICE_GRIP,VICEGRIP,,pending,,
12,MOVE_GUILLOTINE,GUILLOTINE,,pending,,
13,MOVE_RAZOR_WIND,RAZOR WIND,,pending,,
14,MOVE_SWORDS_DANCE,SWORDS DANCE,,pending,,
15,MOVE_CUT,CUT,,pending,,
16,MOVE_GUST,GUST,,pending,,
17,MOVE_WING_ATTACK,WING ATTACK,,pending,,
18,MOVE_WHIRLWIND,WHIRLWIND,,pending,,
19,MOVE_FLY,FLY,,pending,,
20,MOVE_BIND,BIND,,pending,,
21,MOVE_SLAM,SLAM,,pending,,
22,MOVE_VINE_WHIP,VINE WHIP,,pending,,
23,MOVE_STOMP,STOMP,,pending,,
24,MOVE_DOUBLE_KICK,DOUBLE KICK,เตะคู่,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
25,MOVE_MEGA_KICK,MEGA KICK,,pending,,
26,MOVE_JUMP_KICK,JUMP KICK,,pending,,
27,MOVE_ROLLING_KICK,ROLLING KICK,,pending,,
28,MOVE_SAND_ATTACK,SAND-ATTACK,สาดทราย,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
29,MOVE_HEADBUTT,HEADBUTT,,pending,,
30,MOVE_HORN_ATTACK,HORN ATTACK,,pending,,
31,MOVE_FURY_ATTACK,FURY ATTACK,,pending,,
32,MOVE_HORN_DRILL,HORN DRILL,,pending,,
33,MOVE_TACKLE,TACKLE,,pending,,
34,MOVE_BODY_SLAM,BODY SLAM,,pending,,
35,MOVE_WRAP,WRAP,,pending,,
36,MOVE_TAKE_DOWN,TAKE DOWN,,pending,,
37,MOVE_THRASH,THRASH,,pending,,
38,MOVE_DOUBLE_EDGE,DOUBLE-EDGE,,pending,,
39,MOVE_TAIL_WHIP,TAIL WHIP,,pending,,
40,MOVE_POISON_STING,POISON STING,,pending,,
41,MOVE_TWINEEDLE,TWINEEDLE,,pending,,
42,MOVE_PIN_MISSILE,PIN MISSILE,,pending,,
43,MOVE_LEER,LEER,,pending,,
44,MOVE_BITE,BITE,,pending,,
45,MOVE_GROWL,GROWL,คำราม,proof_passed,torchic_runtime_proof,"ผ่าน Battle Menu, Battle Moves และ Contest Moves"
46,MOVE_ROAR,ROAR,,pending,,
47,MOVE_SING,SING,,pending,,
48,MOVE_SUPERSONIC,SUPERSONIC,,pending,,
49,MOVE_SONIC_BOOM,SONICBOOM,,pending,,
50,MOVE_DISABLE,DISABLE,,pending,,
51,MOVE_ACID,ACID,,pending,,
52,MOVE_EMBER,EMBER,สะเก็ดไฟ,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
53,MOVE_FLAMETHROWER,FLAMETHROWER,พ่นไฟ,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
54,MOVE_MIST,MIST,,pending,,
55,MOVE_WATER_GUN,WATER GUN,,pending,,
56,MOVE_HYDRO_PUMP,HYDRO PUMP,,pending,,
57,MOVE_SURF,SURF,,pending,,
58,MOVE_ICE_BEAM,ICE BEAM,,pending,,
59,MOVE_BLIZZARD,BLIZZARD,,pending,,
60,MOVE_PSYBEAM,PSYBEAM,,pending,,
61,MOVE_BUBBLE_BEAM,BUBBLEBEAM,,pending,,
62,MOVE_AURORA_BEAM,AURORA BEAM,,pending,,
63,MOVE_HYPER_BEAM,HYPER BEAM,,pending,,
64,MOVE_PECK,PECK,จิก,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
65,MOVE_DRILL_PECK,DRILL PECK,,pending,,
66,MOVE_SUBMISSION,SUBMISSION,,pending,,
67,MOVE_LOW_KICK,LOW KICK,,pending,,
68,MOVE_COUNTER,COUNTER,,pending,,
69,MOVE_SEISMIC_TOSS,SEISMIC TOSS,,pending,,
70,MOVE_STRENGTH,STRENGTH,,pending,,
71,MOVE_ABSORB,ABSORB,,pending,,
72,MOVE_MEGA_DRAIN,MEGA DRAIN,,pending,,
73,MOVE_LEECH_SEED,LEECH SEED,,pending,,
74,MOVE_GROWTH,GROWTH,,pending,,
75,MOVE_RAZOR_LEAF,RAZOR LEAF,,pending,,
76,MOVE_SOLAR_BEAM,SOLARBEAM,,pending,,
77,MOVE_POISON_POWDER,POISONPOWDER,,pending,,
78,MOVE_STUN_SPORE,STUN SPORE,,pending,,
79,MOVE_SLEEP_POWDER,SLEEP POWDER,,pending,,
80,MOVE_PETAL_DANCE,PETAL DANCE,,pending,,
81,MOVE_STRING_SHOT,STRING SHOT,,pending,,
82,MOVE_DRAGON_RAGE,DRAGON RAGE,,pending,,
83,MOVE_FIRE_SPIN,FIRE SPIN,วังวนไฟ,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
84,MOVE_THUNDER_SHOCK,THUNDERSHOCK,,pending,,
85,MOVE_THUNDERBOLT,THUNDERBOLT,,pending,,
86,MOVE_THUNDER_WAVE,THUNDER WAVE,,pending,,
87,MOVE_THUNDER,THUNDER,,pending,,
88,MOVE_ROCK_THROW,ROCK THROW,,pending,,
89,MOVE_EARTHQUAKE,EARTHQUAKE,,pending,,
90,MOVE_FISSURE,FISSURE,,pending,,
91,MOVE_DIG,DIG,,pending,,
92,MOVE_TOXIC,TOXIC,,pending,,
93,MOVE_CONFUSION,CONFUSION,,pending,,
94,MOVE_PSYCHIC,PSYCHIC,,pending,,
95,MOVE_HYPNOSIS,HYPNOSIS,,pending,,
96,MOVE_MEDITATE,MEDITATE,,pending,,
97,MOVE_AGILITY,AGILITY,,pending,,
98,MOVE_QUICK_ATTACK,QUICK ATTACK,จู่โจมเร็ว,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
99,MOVE_RAGE,RAGE,,pending,,
100,MOVE_TELEPORT,TELEPORT,,pending,,
101,MOVE_NIGHT_SHADE,NIGHT SHADE,,pending,,
102,MOVE_MIMIC,MIMIC,,pending,,
103,MOVE_SCREECH,SCREECH,,pending,,
104,MOVE_DOUBLE_TEAM,DOUBLE TEAM,,pending,,
105,MOVE_RECOVER,RECOVER,,pending,,
106,MOVE_HARDEN,HARDEN,,pending,,
107,MOVE_MINIMIZE,MINIMIZE,,pending,,
108,MOVE_SMOKESCREEN,SMOKESCREEN,,pending,,
109,MOVE_CONFUSE_RAY,CONFUSE RAY,,pending,,
110,MOVE_WITHDRAW,WITHDRAW,,pending,,
111,MOVE_DEFENSE_CURL,DEFENSE CURL,,pending,,
112,MOVE_BARRIER,BARRIER,,pending,,
113,MOVE_LIGHT_SCREEN,LIGHT SCREEN,,pending,,
114,MOVE_HAZE,HAZE,,pending,,
115,MOVE_REFLECT,REFLECT,,pending,,
116,MOVE_FOCUS_ENERGY,FOCUS ENERGY,รวมพลัง,proof_passed,torchic_runtime_proof,"ผ่าน Battle Menu, Battle Moves และ Contest Moves"
117,MOVE_BIDE,BIDE,,pending,,
118,MOVE_METRONOME,METRONOME,,pending,,
119,MOVE_MIRROR_MOVE,MIRROR MOVE,สะท้อนท่า,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
120,MOVE_SELF_DESTRUCT,SELFDESTRUCT,,pending,,
121,MOVE_EGG_BOMB,EGG BOMB,,pending,,
122,MOVE_LICK,LICK,,pending,,
123,MOVE_SMOG,SMOG,,pending,,
124,MOVE_SLUDGE,SLUDGE,,pending,,
125,MOVE_BONE_CLUB,BONE CLUB,,pending,,
126,MOVE_FIRE_BLAST,FIRE BLAST,,pending,,
127,MOVE_WATERFALL,WATERFALL,,pending,,
128,MOVE_CLAMP,CLAMP,,pending,,
129,MOVE_SWIFT,SWIFT,,pending,,
130,MOVE_SKULL_BASH,SKULL BASH,,pending,,
131,MOVE_SPIKE_CANNON,SPIKE CANNON,,pending,,
132,MOVE_CONSTRICT,CONSTRICT,,pending,,
133,MOVE_AMNESIA,AMNESIA,,pending,,
134,MOVE_KINESIS,KINESIS,,pending,,
135,MOVE_SOFT_BOILED,SOFTBOILED,,pending,,
136,MOVE_HI_JUMP_KICK,HI JUMP KICK,,pending,,
137,MOVE_GLARE,GLARE,,pending,,
138,MOVE_DREAM_EATER,DREAM EATER,,pending,,
139,MOVE_POISON_GAS,POISON GAS,,pending,,
140,MOVE_BARRAGE,BARRAGE,,pending,,
141,MOVE_LEECH_LIFE,LEECH LIFE,,pending,,
142,MOVE_LOVELY_KISS,LOVELY KISS,,pending,,
143,MOVE_SKY_ATTACK,SKY ATTACK,,pending,,
144,MOVE_TRANSFORM,TRANSFORM,,pending,,
145,MOVE_BUBBLE,BUBBLE,,pending,,
146,MOVE_DIZZY_PUNCH,DIZZY PUNCH,,pending,,
147,MOVE_SPORE,SPORE,,pending,,
148,MOVE_FLASH,FLASH,,pending,,
149,MOVE_PSYWAVE,PSYWAVE,,pending,,
150,MOVE_SPLASH,SPLASH,,pending,,
151,MOVE_ACID_ARMOR,ACID ARMOR,,pending,,
152,MOVE_CRABHAMMER,CRABHAMMER,,pending,,
153,MOVE_EXPLOSION,EXPLOSION,,pending,,
154,MOVE_FURY_SWIPES,FURY SWIPES,,pending,,
155,MOVE_BONEMERANG,BONEMERANG,,pending,,
156,MOVE_REST,REST,,pending,,
157,MOVE_ROCK_SLIDE,ROCK SLIDE,,pending,,
158,MOVE_HYPER_FANG,HYPER FANG,,pending,,
159,MOVE_SHARPEN,SHARPEN,,pending,,
160,MOVE_CONVERSION,CONVERSION,,pending,,
161,MOVE_TRI_ATTACK,TRI ATTACK,,pending,,
162,MOVE_SUPER_FANG,SUPER FANG,,pending,,
163,MOVE_SLASH,SLASH,ฟาดฟัน,translated_pending_qa,torchic-line-level-up-01,"คำแปล Batch 1; รอ Coverage, Build และ Visual QA"
164,MOVE_SUBSTITUTE,SUBSTITUTE,,pending,,
165,MOVE_STRUGGLE,STRUGGLE,,pending,,
166,MOVE_SKETCH,SKETCH,,pending,,
167,MOVE_TRIPLE_KICK,TRIPLE KICK,,pending,,
168,MOVE_THIEF,THIEF,,pending,,
169,MOVE_SPIDER_WEB,SPIDER WEB,,pending,,
170,MOVE_MIND_READER,MIND READER,,pending,,
171,MOVE_NIGHTMARE,NIGHTMARE,,pending,,
172,MOVE_FLAME_WHEEL,FLAME WHEEL,,pending,,
173,MOVE_SNORE,SNORE,,pending,,
174,MOVE_CURSE,CURSE,,pending,,
175,MOVE_FLAIL,FLAIL,,pending,,
176,MOVE_CONVERSION_2,CONVERSION 2,,pending,,
177,MOVE_AEROBLAST,AEROBLAST,,pending,,
178,MOVE_COTTON_SPORE,COTTON SPORE,,pending,,
179,MOVE_REVERSAL,REVERSAL,,pending,,
180,MOVE_SPITE,SPITE,,pending,,
181,MOVE_POWDER_SNOW,POWDER SNOW,,pending,,
182,MOVE_PROTECT,PROTECT,,pending,,
183,MOVE_MACH_PUNCH,MACH PUNCH,,pending,,
184,MOVE_SCARY_FACE,SCARY FACE,,pending,,
185,MOVE_FAINT_ATTACK,FAINT ATTACK,,pending,,
186,MOVE_SWEET_KISS,SWEET KISS,,pending,,
187,MOVE_BELLY_DRUM,BELLY DRUM,,pending,,
188,MOVE_SLUDGE_BOMB,SLUDGE BOMB,,pending,,
189,MOVE_MUD_SLAP,MUD-SLAP,,pending,,
190,MOVE_OCTAZOOKA,OCTAZOOKA,,pending,,
191,MOVE_SPIKES,SPIKES,,pending,,
192,MOVE_ZAP_CANNON,ZAP CANNON,,pending,,
193,MOVE_FORESIGHT,FORESIGHT,,pending,,
194,MOVE_DESTINY_BOND,DESTINY BOND,,pending,,
195,MOVE_PERISH_SONG,PERISH SONG,,pending,,
196,MOVE_ICY_WIND,ICY WIND,,pending,,
197,MOVE_DETECT,DETECT,,pending,,
198,MOVE_BONE_RUSH,BONE RUSH,,pending,,
199,MOVE_LOCK_ON,LOCK-ON,,pending,,
200,MOVE_OUTRAGE,OUTRAGE,,pending,,
201,MOVE_SANDSTORM,SANDSTORM,,pending,,
202,MOVE_GIGA_DRAIN,GIGA DRAIN,,pending,,
203,MOVE_ENDURE,ENDURE,,pending,,
204,MOVE_CHARM,CHARM,,pending,,
205,MOVE_ROLLOUT,ROLLOUT,,pending,,
206,MOVE_FALSE_SWIPE,FALSE SWIPE,,pending,,
207,MOVE_SWAGGER,SWAGGER,,pending,,
208,MOVE_MILK_DRINK,MILK DRINK,,pending,,
209,MOVE_SPARK,SPARK,,pending,,
210,MOVE_FURY_CUTTER,FURY CUTTER,,pending,,
211,MOVE_STEEL_WING,STEEL WING,,pending,,
212,MOVE_MEAN_LOOK,MEAN LOOK,,pending,,
213,MOVE_ATTRACT,ATTRACT,,pending,,
