id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,stable_target_key,battle_hold_group,canonical_decision,decision_reason,evidence_source
dlg_c939fd14c944ce60,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Corridors_1F/scripts.inc,19,AbandonedShip_Corridors_1F_Text_CharliePostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Corridors_1F/scripts.inc::AbandonedShip_Corridors_1F_Text_CharliePostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_2f9156914c1c5042,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,63,AbandonedShip_Corridors_B1F_Text_DuncanPostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Corridors_B1F_Text_DuncanPostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_b1b78ab67d465aad,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,59,AbandonedShip_Rooms2_1F_Text_DanPostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanPostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_8ef80f4d4739c5e8,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,75,AbandonedShip_Rooms2_1F_Text_KiraPostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraPostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_a95bc3dab153f9ed,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,134,AbandonedShip_Rooms2_1F_Text_JaniPostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_JaniPostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_410c905e70aba7af,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,146,AbandonedShip_Rooms2_1F_Text_GarrisonPostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_GarrisonPostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_00b0a4af1de4c25f,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,46,AbandonedShip_Rooms_1F_Text_ThaliaPostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaPostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_9848116b0c4e11ae,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Rooms_1F/scripts.inc,73,AbandonedShip_Rooms_1F_Text_DemetriusPostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_DemetriusPostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_071fd9fd0855f071,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_1F/scripts.inc,115,AquaHideout_1F_Text_Grunt1PostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AquaHideout_1F/scripts.inc::AquaHideout_1F_Text_Grunt1PostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
dlg_ebc2e18b473a5976,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AquaHideout_B1F/scripts.inc,115,AquaHideout_B1F_Text_Grunt2PostBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/AquaHideout_B1F/scripts.inc::AquaHideout_B1F_Text_Grunt2PostBattle,G,COVERED_ALREADY,Existing translated/closed tracker evidence,tools/thai/translation/phaseF/batches/phaseF-selected-hold-groups1-4-final-reconcile.csv
