id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,stable_target_key,battle_hold_group,canonical_decision,decision_reason,evidence_source,source_line_current,exact_raw,english_raw,thai,translation_status
dlg_c03b6206c257ce3a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/LilycoveCity_ContestHall/scripts.inc,391,LilycoveCity_ContestHall_Text_NeverWonBattleButContest,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/LilycoveCity_ContestHall/scripts.inc::LilycoveCity_ContestHall_Text_NeverWonBattleButContest,G,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/maps/LilycoveCity_ContestHall/scripts.inc,391,"My POKéMON has never won in a battle,\nbut put it in a CONTEST and look out!$","My POKéMON has never won in a battle,\nbut put it in a CONTEST and look out!$","โปเกมอนฉันไม่เคยชนะการต่อสู้,\nแต่พอเข้าคอนเทสต์แล้ว ดูให้ดี!$",TRANSLATED
dlg_f5baae1b171820a2,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc,165,SootopolisCity_MysteryEventsHouse_1F_Text_OnlyAmusementWatchingBattles,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc::SootopolisCity_MysteryEventsHouse_1F_Text_OnlyAmusementWatchingBattles,G,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc,165,"When I was young, I traveled the world\nas a POKéMON TRAINER.\pNow that I've become an old buzzard,\nmy only amusement is watching young\lTRAINERS battle.$","When I was young, I traveled the world\nas a POKéMON TRAINER.\pNow that I've become an old buzzard,\nmy only amusement is watching young\lTRAINERS battle.$","ตอนหนุ่ม ๆ ฉันเคยเดินทางไปทั่วโลก\nในฐานะโปเกมอนเทรนเนอร์.\pตอนนี้แก่จนหมดแรงเดินทางแล้ว,\nความสนุกอย่างเดียวของฉันคือดู\lเทรนเนอร์หนุ่มสาวต่อสู้กัน.$",TRANSLATED
dlg_96a1ce78d02f7c40,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc,178,SootopolisCity_MysteryEventsHouse_1F_Text_YouWontBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc::SootopolisCity_MysteryEventsHouse_1F_Text_YouWontBattle,G,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc,178,You won't battle? I'm disappointed\nthat I can't see you battle…$,You won't battle? I'm disappointed\nthat I can't see you battle…$,ไม่สู้กันเหรอ? น่าเสียดายจัง\nฉันอดดูพวกเธอสู้กันเลย…$,TRANSLATED
dlg_a5bd4752f9f58d25,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/gift_battle_card.inc,26,sText_MysteryGiftBattleCountCard,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/gift_battle_card.inc::sText_MysteryGiftBattleCountCard,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/gift_battle_card.inc,26,Thank you for using the MYSTERY\nGIFT System.\pYour BATTLE COUNT CARD keeps\ntrack of your battle record against\lTRAINERS with the same CARD.\pLook for and battle TRAINERS who\nhave the same CARD as you.\pYou may check the overall rankings\nby reading the NEWS.\pPlease do give it a try!$,Thank you for using the MYSTERY\nGIFT System.\pYour BATTLE COUNT CARD keeps\ntrack of your battle record against\lTRAINERS with the same CARD.\pLook for and battle TRAINERS who\nhave the same CARD as you.\pYou may check the overall rankings\nby reading the NEWS.\pPlease do give it a try!$,ขอบคุณที่ใช้ระบบของขวัญ\nลึกลับ.\pแบทเทิลเคานต์การ์ดของคุณจะ\nบันทึกผลการต่อสู้กับเทรนเนอร์\lที่ถือการ์ดแบบเดียวกัน.\pลองตามหาและต่อสู้กับเทรนเนอร์\nที่ถือการ์ดแบบเดียวกับคุณ.\pคุณตรวจอันดับรวมได้\nจากการอ่านข่าว.\pลองใช้ดูนะ!$,TRANSLATED
dlg_eb2a461b877e996d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/gift_battle_card.inc,38,sText_MysteryGiftBattleCountCard_WonPrize,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/gift_battle_card.inc::sText_MysteryGiftBattleCountCard_WonPrize,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/gift_battle_card.inc,38,Thank you for using the MYSTERY\nGIFT System.\pCongratulations!\pYou have won a prize for winning\nthree battles!\pWe hope you will be inspired to\nbattle some more.$,Thank you for using the MYSTERY\nGIFT System.\pCongratulations!\pYou have won a prize for winning\nthree battles!\pWe hope you will be inspired to\nbattle some more.$,ขอบคุณที่ใช้ระบบของขวัญ\nลึกลับ.\pยินดีด้วย!\pคุณได้รับรางวัลจากการชนะ\nการต่อสู้ครบสามครั้ง!\pหวังว่าคุณจะมีกำลังใจ\nออกไปต่อสู้อีกนะ.$,TRANSLATED
dlg_979178a6ee37f179,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/mauville_man.inc,562,MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesTitle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/mauville_man.inc::MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesTitle,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/mauville_man.inc,562,The BATTLE TOWER Challenger$,The BATTLE TOWER Challenger$,ผู้ท้าทายแบทเทิลทาวเวอร์$,TRANSLATED
dlg_b75cd995171e6dce,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/mauville_man.inc,565,MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesAction,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/mauville_man.inc::MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesAction,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/mauville_man.inc,565,Took the BATTLE TOWER challenge$,Took the BATTLE TOWER challenge$,เข้าท้าทายแบทเทิลทาวเวอร์$,TRANSLATED
dlg_df31ac8646673ccc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/mauville_man.inc,568,MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesStory,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/mauville_man.inc::MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesStory,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/mauville_man.inc,568,This is a tale of a TRAINER\nnamed {STR_VAR_3}.\pThis TRAINER took the BATTLE TOWER\nchallenge {STR_VAR_1} times!\p{STR_VAR_3} is a TRAINER who aspires\nfor excellence in the BATTLE TOWER!$,This is a tale of a TRAINER\nnamed {STR_VAR_3}.\pThis TRAINER took the BATTLE TOWER\nchallenge {STR_VAR_1} times!\p{STR_VAR_3} is a TRAINER who aspires\nfor excellence in the BATTLE TOWER!$,นี่คือเรื่องราวของเทรนเนอร์\nชื่อ {STR_VAR_3}.\pเขาท้าทายแบทเทิลทาวเวอร์\nมาแล้ว {STR_VAR_1} ครั้ง!\p{STR_VAR_3} คือเทรนเนอร์ที่มุ่งมั่น\nสู่ความเป็นเลิศในแบทเทิลทาวเวอร์!$,TRANSLATED
dlg_d8d5c3a5ec0575e4,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/secret_base.inc,712,SecretBase_Text_BattleTowerShield,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/secret_base.inc::SecretBase_Text_BattleTowerShield,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/secret_base.inc,712,A shield of {STR_VAR_2} that marks winning\n{STR_VAR_1} times in a row at the BATTLE TOWER.$,A shield of {STR_VAR_2} that marks winning\n{STR_VAR_1} times in a row at the BATTLE TOWER.$,โล่ {STR_VAR_2} แห่งชัยชนะ\nชนะติด {STR_VAR_1} ครั้งที่แบทเทิลทาวเวอร์.$,TRANSLATED
dlg_87689c7686977f41,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,15,CableClub_Text_BattleUsingLinkCable,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_BattleUsingLinkCable,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc,15,You may battle another TRAINER\nusing a GBA Game Link cable.$,You may battle another TRAINER\nusing a GBA Game Link cable.$,คุณสามารถต่อสู้กับเทรนเนอร์คนอื่น\nผ่าน GBA Game Link Cable ได้.$,TRANSLATED
