id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,stable_target_key,battle_hold_group,canonical_decision,decision_reason,evidence_source
dlg_c03b6206c257ce3a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/LilycoveCity_ContestHall/scripts.inc,466,LilycoveCity_ContestHall_Text_NeverWonBattleButContest,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/LilycoveCity_ContestHall/scripts.inc::LilycoveCity_ContestHall_Text_NeverWonBattleButContest,G,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/maps/LilycoveCity_ContestHall/scripts.inc
dlg_f5baae1b171820a2,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc,164,SootopolisCity_MysteryEventsHouse_1F_Text_OnlyAmusementWatchingBattles,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc::SootopolisCity_MysteryEventsHouse_1F_Text_OnlyAmusementWatchingBattles,G,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc
dlg_96a1ce78d02f7c40,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc,180,SootopolisCity_MysteryEventsHouse_1F_Text_YouWontBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc::SootopolisCity_MysteryEventsHouse_1F_Text_YouWontBattle,G,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc
dlg_a5bd4752f9f58d25,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/gift_battle_card.inc,25,sText_MysteryGiftBattleCountCard,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/gift_battle_card.inc::sText_MysteryGiftBattleCountCard,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/gift_battle_card.inc
dlg_eb2a461b877e996d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/gift_battle_card.inc,37,sText_MysteryGiftBattleCountCard_WonPrize,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/gift_battle_card.inc::sText_MysteryGiftBattleCountCard_WonPrize,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/gift_battle_card.inc
dlg_979178a6ee37f179,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/mauville_man.inc,565,MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesTitle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/mauville_man.inc::MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesTitle,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/mauville_man.inc
dlg_b75cd995171e6dce,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/mauville_man.inc,568,MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesAction,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/mauville_man.inc::MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesAction,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/mauville_man.inc
dlg_df31ac8646673ccc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/mauville_man.inc,571,MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesStory,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/mauville_man.inc::MauvilleCity_PokemonCenter_1F_Text_BattleTowerChallengesStory,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/mauville_man.inc
dlg_d8d5c3a5ec0575e4,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/scripts/secret_base.inc,711,SecretBase_Text_BattleTowerShield,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/scripts/secret_base.inc::SecretBase_Text_BattleTowerShield,J,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/scripts/secret_base.inc
dlg_87689c7686977f41,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,14,CableClub_Text_BattleUsingLinkCable,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_BattleUsingLinkCable,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_7cbae448ed100f75,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,26,CableClub_Text_NeedTwoMonsForDoubleBattle,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_NeedTwoMonsForDoubleBattle,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
dlg_7e2865402d56fc16,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/cable_club.inc,87,CableClub_Text_CantSingleBattleWithXPlayers,GROUP7_SELECTED,,DEFER_NONFACILITY_BATTLE,Not explicit Battle Frontier/Battle Tent facility content; keep for later dedicated HOLD handling,data/text/cable_club.inc::CableClub_Text_CantSingleBattleWithXPlayers,F,NEEDS_TRANSLATION,Current source still matches English baseline; no closed coverage evidence,data/text/cable_club.inc
