index,id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason,english_raw,thai,translation_status
0,dlg_f729d17a02357493,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,1,FallarborTown_BattleTentLobby_Text_WelcomeToBattleTent,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I welcome you to the BATTLE TENT\nFALLARBOR SITE!\pI am your guide to the Set KO Tourney!$,NEEDS_TRANSLATION,exact current target remains untranslated,I welcome you to the BATTLE TENT\nFALLARBOR SITE!\pI am your guide to the Set KO Tourney!$,ขอต้อนรับสู่แบทเทิลเทนต์\nสาขาฮาจิสึเกะ!\pฉันจะเป็นผู้แนะนำทัวร์นาเมนต์เซ็ต KO ให้คุณ!$,TRANSLATED
1,dlg_73e6f770bd9b0866,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,6,FallarborTown_BattleTentLobby_Text_TakeChallenge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Now, do you wish to take the challenge\nof a Set KO Tourney?$",NEEDS_TRANSLATION,exact current target remains untranslated,"Now, do you wish to take the challenge\nof a Set KO Tourney?$",เอาล่ะ คุณต้องการเข้าท้าประลอง\nทัวร์นาเมนต์เซ็ต KO ไหม?$,TRANSLATED
2,dlg_8a8fbe0045c9428e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,10,FallarborTown_BattleTentLobby_Text_AwaitAnotherChallenge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,We await your challenge on\nanother occasion!$,NEEDS_TRANSLATION,exact current target remains untranslated,We await your challenge on\nanother occasion!$,เราจะรอการท้าประลองจากคุณ\nในโอกาสหน้านะ!$,TRANSLATED
3,dlg_930fa339260896c7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,14,FallarborTown_BattleTentLobby_Text_ExplainFallarborTent,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"In the FALLARBOR BATTLE TENT,\nwe undertake the Set KO Tourney.\pAll participants enter with a team of\nthree POKéMON.\pThe three POKéMON must be lined up\nin the order that they are to appear in.\pDuring battle, the POKéMON will appear\none at a time in the preset order.\pOnce a POKéMON enters battle, it must\nremain out until the match is decided.\pIf a match remains undecided in\nthree turns, it goes to judging.\pIf you wish to interrupt your challenge,\nplease save the game.\pIf you don't save, you will not be able\nto continue with your challenge.\pIf you pull off the feat of beating\nthree TRAINERS in succession,\lwe will present you with a fine prize.$",NEEDS_TRANSLATION,exact current target remains untranslated,"In the FALLARBOR BATTLE TENT,\nwe undertake the Set KO Tourney.\pAll participants enter with a team of\nthree POKéMON.\pThe three POKéMON must be lined up\nin the order that they are to appear in.\pDuring battle, the POKéMON will appear\none at a time in the preset order.\pOnce a POKéMON enters battle, it must\nremain out until the match is decided.\pIf a match remains undecided in\nthree turns, it goes to judging.\pIf you wish to interrupt your challenge,\nplease save the game.\pIf you don't save, you will not be able\nto continue with your challenge.\pIf you pull off the feat of beating\nthree TRAINERS in succession,\lwe will present you with a fine prize.$","ที่แบทเทิลเทนต์ฮาจิสึเกะ\nเราจัดทัวร์นาเมนต์เซ็ต KO.\pผู้เข้าร่วมทุกคนต้องใช้ทีม\nโปเกมอน 3 ตัว.\pโปเกมอนทั้ง 3 ตัวต้องจัดลำดับ\nตามลำดับที่จะลงสนาม.\pระหว่างการต่อสู้ โปเกมอนจะลงสนาม\nทีละตัวตามลำดับที่กำหนดไว้.\pเมื่อโปเกมอนลงสนามแล้ว จะต้อง\nอยู่ต่อจนกว่าจะตัดสินผลการต่อสู้.\pหากผ่านไป 3 เทิร์นแล้ว\nยังตัดสินไม่ได้ จะเข้าสู่การตัดสินคะแนน.\pหากต้องการหยุดการท้าประลองชั่วคราว\nโปรดบันทึกเกม.\pหากไม่บันทึก คุณจะไม่สามารถ\nกลับมาท้าประลองต่อได้.\pหากคุณเอาชนะเทรนเนอร์ได้\nติดต่อกัน 3 คน,\lเราจะมอบรางวัลชั้นเยี่ยมให้คุณ.$",TRANSLATED
4,dlg_09f6955ab3515181,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,35,FallarborTown_BattleTentLobby_Text_SaveBeforeChallenge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Before showing you to the BATTLE\nTENT, I must save. Is that okay?$",NEEDS_TRANSLATION,exact current target remains untranslated,"Before showing you to the BATTLE\nTENT, I must save. Is that okay?$",ก่อนจะพาคุณเข้าแบทเทิล\nเทนต์ ฉันต้องบันทึกเกม ตกลงไหม?$,TRANSLATED
5,dlg_e6d462f64c0c8544,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,40,FallarborTown_BattleTentLobby_Text_WhichLevelMode,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"We offer two levels of challenge,\nLevel 50 and Open Level.\lWhich is your choice?$",NEEDS_TRANSLATION,exact current target remains untranslated,"We offer two levels of challenge,\nLevel 50 and Open Level.\lWhich is your choice?$",เรามีการท้าประลอง 2 ระดับ\nเลเวล 50 และโอเพนเลเวล.\lคุณจะเลือกแบบไหน?$,TRANSLATED
6,dlg_0ebd6817f03ccbfc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,45,FallarborTown_BattleTentLobby_Text_SelectThreeMons,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Very well, now select your\nthree POKéMON, please.$",NEEDS_TRANSLATION,exact current target remains untranslated,"Very well, now select your\nthree POKéMON, please.$",ตกลง โปรดเลือกโปเกมอน\n3 ตัวของคุณ.$,TRANSLATED
7,dlg_a770c7490532b439,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,49,FallarborTown_BattleTentLobby_Text_NotEnoughValidMonsLv50,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My dear challenger!\pYou do not have the three POKéMON\nrequired for entry.\pThey also must not hold the same\nkinds of items.\pEGGS{STR_VAR_1} ineligible.\pWhen you have made your preparations,\nplease do return.$",NEEDS_TRANSLATION,exact current target remains untranslated,"My dear challenger!\pYou do not have the three POKéMON\nrequired for entry.\pThey also must not hold the same\nkinds of items.\pEGGS{STR_VAR_1} ineligible.\pWhen you have made your preparations,\nplease do return.$",ท่านผู้ท้าประลอง!\pคุณไม่มีโปเกมอน 3 ตัว\nที่ตรงตามเงื่อนไขเข้าร่วม.\pโปเกมอนเหล่านั้นต้องไม่ถือไอเทม\nชนิดเดียวกัน.\pไข่โปเกมอน{STR_VAR_1}ไม่สามารถเข้าร่วมได้.\pเมื่อเตรียมพร้อมแล้ว\nโปรดกลับมาอีกครั้ง.$,TRANSLATED
8,dlg_cbade1ebac5a9e26,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,59,FallarborTown_BattleTentLobby_Text_NotEnoughValidMonsLvOpen,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My dear challenger!\pYou do not have the three POKéMON\nrequired for entry.\pTo qualify, you must bring three\ndifferent kinds of POKéMON.\pThey also must not hold the same\nkinds of items.\pEGGS{STR_VAR_1} ineligible.\pWhen you have made your preparations,\nplease do return.$",NEEDS_TRANSLATION,exact current target remains untranslated,"My dear challenger!\pYou do not have the three POKéMON\nrequired for entry.\pTo qualify, you must bring three\ndifferent kinds of POKéMON.\pThey also must not hold the same\nkinds of items.\pEGGS{STR_VAR_1} ineligible.\pWhen you have made your preparations,\nplease do return.$",ท่านผู้ท้าประลอง!\pคุณไม่มีโปเกมอน 3 ตัว\nที่ตรงตามเงื่อนไขเข้าร่วม.\pคุณต้องนำโปเกมอนต่างชนิดกัน\nมาให้ครบ 3 ตัว.\pโปเกมอนเหล่านั้นต้องไม่ถือไอเทม\nชนิดเดียวกัน.\pไข่โปเกมอน{STR_VAR_1}ไม่สามารถเข้าร่วมได้.\pเมื่อเตรียมพร้อมแล้ว\nโปรดกลับมาอีกครั้ง.$,TRANSLATED
9,dlg_c76e74f6547bd587,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,71,FallarborTown_BattleTentLobby_Text_GuideYouToBattleTent,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I shall now guide you to\nthe BATTLE TENT.$,NEEDS_TRANSLATION,exact current target remains untranslated,I shall now guide you to\nthe BATTLE TENT.$,ฉันจะพาคุณเข้าไปยัง\nแบทเทิลเทนต์.$,TRANSLATED
10,dlg_18c96f2e6bd88919,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,75,FallarborTown_BattleTentLobby_Text_DidntSaveBeforeQuitting,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My dear challenger!\pYou did not save the game before\nshutting down, did you?\pIt is unfortunate, but that has\nresulted in your disqualification\lfrom your challenge.\pYou may, of course, start with a fresh\nchallenge.$",NEEDS_TRANSLATION,exact current target remains untranslated,"My dear challenger!\pYou did not save the game before\nshutting down, did you?\pIt is unfortunate, but that has\nresulted in your disqualification\lfrom your challenge.\pYou may, of course, start with a fresh\nchallenge.$",ท่านผู้ท้าประลอง!\pคุณไม่ได้บันทึกเกมก่อน\nปิดเครื่องใช่ไหม?\pน่าเสียดาย แต่ด้วยเหตุนี้\nคุณจึงถูกตัดสิทธิ์\lจากการท้าประลองครั้งนี้.\pแน่นอนว่าคุณสามารถเริ่ม\nการท้าประลองใหม่ได้.$,TRANSLATED
11,dlg_92262112ee8cb8d2,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,88,FallarborTown_BattleTentLobby_Text_WaitWhileSaveGame,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Please wait while I save the game.$,NEEDS_TRANSLATION,exact current target remains untranslated,Please wait while I save the game.$,โปรดรอสักครู่ระหว่างที่ฉันบันทึกเกม.$,TRANSLATED
12,dlg_915ca5443714b96d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,91,FallarborTown_BattleTentLobby_Text_PresentYouWithPrize,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"In commemoration of your 3-win streak,\nwe present you with this prize.$",NEEDS_TRANSLATION,exact current target remains untranslated,"In commemoration of your 3-win streak,\nwe present you with this prize.$","เพื่อเป็นที่ระลึกที่คุณชนะติดต่อกัน 3 ครั้ง,\nเราขอมอบรางวัลนี้ให้.$",TRANSLATED
13,dlg_9ec75649b74a69eb,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,95,FallarborTown_BattleTentLobby_Text_ReceivedPrize,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,{PLAYER} received the prize\n{STR_VAR_1}.$,NEEDS_TRANSLATION,exact current target remains untranslated,{PLAYER} received the prize\n{STR_VAR_1}.$,{PLAYER} ได้รับรางวัล\n{STR_VAR_1}.$,TRANSLATED
14,dlg_9301e6b70b48b737,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,99,FallarborTown_BattleTentLobby_Text_BagFullReturnForPrize,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Oh?\nYour BAG seems to be full.\pI urge you to clear space and\nreturn for your prize.$,NEEDS_TRANSLATION,exact current target remains untranslated,Oh?\nYour BAG seems to be full.\pI urge you to clear space and\nreturn for your prize.$,เอ๊ะ?\nดูเหมือนกระเป๋าของคุณจะเต็มแล้ว.\pโปรดจัดที่ว่างแล้ว\nกลับมารับรางวัลของคุณ.$,TRANSLATED
15,dlg_b7e4bf6de10d7bcf,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,105,FallarborTown_BattleTentLobby_Text_ThankYouWaitWhileSaving,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Thank you so much for participating!\pPlease wait while I save the game.$,NEEDS_TRANSLATION,exact current target remains untranslated,Thank you so much for participating!\pPlease wait while I save the game.$,ขอบคุณมากที่เข้าร่วม!\pโปรดรอสักครู่ระหว่างที่ฉันบันทึกเกม.$,TRANSLATED
