id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason
dlg_f729d17a02357493,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,1,FallarborTown_BattleTentLobby_Text_WelcomeToBattleTent,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I welcome you to the BATTLE TENT\nFALLARBOR SITE!\pI am your guide to the Set KO Tourney!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_73e6f770bd9b0866,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,5,FallarborTown_BattleTentLobby_Text_TakeChallenge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Now, do you wish to take the challenge\nof a Set KO Tourney?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_8a8fbe0045c9428e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,9,FallarborTown_BattleTentLobby_Text_AwaitAnotherChallenge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,We await your challenge on\nanother occasion!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_930fa339260896c7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,13,FallarborTown_BattleTentLobby_Text_ExplainFallarborTent,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"In the FALLARBOR BATTLE TENT,\nwe undertake the Set KO Tourney.\pAll participants enter with a team of\nthree POKéMON.\pThe three POKéMON must be lined up\nin the order that they are to appear in.\pDuring battle, the POKéMON will appear\none at a time in the preset order.\pOnce a POKéMON enters battle, it must\nremain out until the match is decided.\pIf a match remains undecided in\nthree turns, it goes to judging.\pIf you wish to interrupt your challenge,\nplease save the game.\pIf you don't save, you will not be able\nto continue with your challenge.\pIf you pull off the feat of beating\nthree TRAINERS in succession,\lwe will present you with a fine prize.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_09f6955ab3515181,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,34,FallarborTown_BattleTentLobby_Text_SaveBeforeChallenge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Before showing you to the BATTLE\nTENT, I must save. Is that okay?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_e6d462f64c0c8544,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,40,FallarborTown_BattleTentLobby_Text_WhichLevelMode,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"We offer two levels of challenge,\nLevel 50 and Open Level.\lWhich is your choice?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_0ebd6817f03ccbfc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,44,FallarborTown_BattleTentLobby_Text_SelectThreeMons,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Very well, now select your\nthree POKéMON, please.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_a770c7490532b439,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,48,FallarborTown_BattleTentLobby_Text_NotEnoughValidMonsLv50,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My dear challenger!\pYou do not have the three POKéMON\nrequired for entry.\pThey also must not hold the same\nkinds of items.\pEGGS{STR_VAR_1} ineligible.\pWhen you have made your preparations,\nplease do return.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_cbade1ebac5a9e26,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,58,FallarborTown_BattleTentLobby_Text_NotEnoughValidMonsLvOpen,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My dear challenger!\pYou do not have the three POKéMON\nrequired for entry.\pTo qualify, you must bring three\ndifferent kinds of POKéMON.\pThey also must not hold the same\nkinds of items.\pEGGS{STR_VAR_1} ineligible.\pWhen you have made your preparations,\nplease do return.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_c76e74f6547bd587,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,70,FallarborTown_BattleTentLobby_Text_GuideYouToBattleTent,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I shall now guide you to\nthe BATTLE TENT.$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_18c96f2e6bd88919,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/text/battle_tent.inc,74,FallarborTown_BattleTentLobby_Text_DidntSaveBeforeQuitting,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My dear challenger!\pYou did not save the game before\nshutting down, did you?\pIt is unfortunate, but that has\nresulted in your disqualification\lfrom your challenge.\pYou may, of course, start with a fresh\nchallenge.$",NEEDS_TRANSLATION,exact current target remains untranslated
