index,id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason,english_raw,thai,translation_status
0,dlg_26ddfe37e6139e48,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,156,SlateportCity_ContestHall_Text_AdviceForContests,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Want a tasty little bit of advice\nfor CONTESTS?\pUsing a certain move after another\ncertain kind of move sometimes gets\lyou extra attention.\pIf you know what you're doing,\nyou can score big in appeal.\pOf course, your opponents might try\ndisrupting your POKéMON's showing.$",NEEDS_TRANSLATION,exact current target remains untranslated,"Want a tasty little bit of advice\nfor CONTESTS?\pUsing a certain move after another\ncertain kind of move sometimes gets\lyou extra attention.\pIf you know what you're doing,\nyou can score big in appeal.\pOf course, your opponents might try\ndisrupting your POKéMON's showing.$",อยากได้คำแนะนำดี ๆ\nเรื่องคอนเทสต์ไหม?\pถ้าใช้ท่าบางท่าต่อจาก\nท่าบางประเภท บางครั้งก็จะ\lเรียกความสนใจเพิ่มได้\pถ้ารู้จังหวะดี\nก็ทำคะแนนเสน่ห์ได้สูงเลย\pแน่นอนว่าคู่แข่งอาจพยายาม\nขัดขวางการแสดงของโปเกมอนคุณ$,TRANSLATED
1,dlg_4fdca3fd17569688,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,168,SlateportCity_ContestHall_Text_MyPapaIsContestJudge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My papa, he's a CONTEST JUDGE.\pI wonder what I should be when I\ngrow up, a JUDGE or a GYM LEADER?$",NEEDS_TRANSLATION,exact current target remains untranslated,"My papa, he's a CONTEST JUDGE.\pI wonder what I should be when I\ngrow up, a JUDGE or a GYM LEADER?$",พ่อฉันเป็นกรรมการคอนเทสต์\pโตขึ้นฉันจะเป็นอะไรดีนะ\nกรรมการหรือยิมลีดเดอร์?$,TRANSLATED
2,dlg_9693815a4cfc7bee,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,174,SlateportCity_ContestHall_Text_ImLikeMajorlyCheesed,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hey, man, I'm like majorly cheesed,\nyou know. Like, you know, I just\lwanted to know why my POKéMON\lnever won, you know, like, hey?\pSo, like, I gave the JUDGE my two\ncents, you know, they're free.\pAnd he wouldn't hear me out, like, hey!\nSo, like, total bummer, man!\pHey, like, you! Zip it, you know?\nJust, you know, take this!$",NEEDS_TRANSLATION,exact current target remains untranslated,"Hey, man, I'm like majorly cheesed,\nyou know. Like, you know, I just\lwanted to know why my POKéMON\lnever won, you know, like, hey?\pSo, like, I gave the JUDGE my two\ncents, you know, they're free.\pAnd he wouldn't hear me out, like, hey!\nSo, like, total bummer, man!\pHey, like, you! Zip it, you know?\nJust, you know, take this!$",เฮ้ ฉันนี่แบบว่าเซ็งสุด ๆ\nรู้ไหม แบบว่า ฉันก็แค่\lอยากรู้ว่าทำไมโปเกมอนของฉัน\lไม่เคยชนะเลย แบบว่า เข้าใจปะ?\pฉันก็เลยไปบอกกรรมการ\nว่าฉันคิดยังไง แบบว่าฟรี ๆ เลยนะ\pแต่เขาไม่ยอมฟังฉันเลย เฮ้!\nแบบว่า เซ็งสุด ๆ เลย!\pเฮ้ เธอน่ะ! เงียบไปเลย รู้ไหม?\nเอ้านี่ รับไปซะ!$,TRANSLATED
3,dlg_7f1674295b79bbd0,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,187,SlateportCity_ContestHall_Text_ExplainTorment,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"That's, like, TM41, you know?\nHey, it's TORMENT, you hearing me?\pLike, it won't let the other guy\nuse the same move twice in a row, see?\pHey, now, you listen here, like,\nI'm not laying a torment on you!$",NEEDS_TRANSLATION,exact current target remains untranslated,"That's, like, TM41, you know?\nHey, it's TORMENT, you hearing me?\pLike, it won't let the other guy\nuse the same move twice in a row, see?\pHey, now, you listen here, like,\nI'm not laying a torment on you!$",นั่นมัน TM41 ไง รู้ไหม?\nเฮ้ มันคือ TORMENT ได้ยินไหม?\pแบบว่า มันจะทำให้อีกฝ่าย\nใช้ท่าเดิมติดกันสองครั้งไม่ได้ เข้าใจไหม?\pเฮ้ ฟังให้ดีนะ แบบว่า\nฉันไม่ได้ใช้ TORMENT ใส่เธอหรอก!$,TRANSLATED
4,dlg_fc7e7246a39637a6,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,196,SlateportCity_ContestHall_Text_MCStepUpTakePartInContest,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"MC: Oh, my, my!\nNow isn't that a dandy of a POKéMON?\pPlease! Do step right up and take\npart in our splendid CONTESTS!\pYou'll do well! I'm sure of it!\nMy eyes have never failed me!$",NEEDS_TRANSLATION,exact current target remains untranslated,"MC: Oh, my, my!\nNow isn't that a dandy of a POKéMON?\pPlease! Do step right up and take\npart in our splendid CONTESTS!\pYou'll do well! I'm sure of it!\nMy eyes have never failed me!$",พิธีกร: โอ้โห!\nโปเกมอนตัวนั้นดูดีไม่เบาเลยนะ?\pเชิญ! ก้าวเข้ามาแล้ว\nร่วมคอนเทสต์สุดวิเศษของเราเลย!\pคุณต้องทำได้ดีแน่! ฉันมั่นใจ!\nสายตาฉันไม่เคยพลาด!$,TRANSLATED
5,dlg_eb1daae0b036bf26,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,205,SlateportCity_ContestHall_Text_JudgeWouldntDoToMissContest,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"JUDGE: Well, hello there!\nI see that you're a TRAINER!\pThen, it just wouldn't do for you\nto miss a POKéMON CONTEST!\pGet a CONTEST PASS in VERDANTURF\nCITY and enter anytime!$",NEEDS_TRANSLATION,exact current target remains untranslated,"JUDGE: Well, hello there!\nI see that you're a TRAINER!\pThen, it just wouldn't do for you\nto miss a POKéMON CONTEST!\pGet a CONTEST PASS in VERDANTURF\nCITY and enter anytime!$",กรรมการ: สวัสดี!\nดูแล้วคุณเป็นเทรนเนอร์สินะ!\pถ้าอย่างนั้น จะพลาด\nโปเกมอนคอนเทสต์ไปได้ยังไง!\pไปรับ CONTEST PASS ที่เมืองชิดาเกะ\nแล้วจะเข้าร่วมเมื่อไรก็ได้!$,TRANSLATED
6,dlg_edda3f5d47400efe,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,214,SlateportCity_ContestHall_Text_ItsAppealTime,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,It's appeal time!\nWhat should I lead with?$,NEEDS_TRANSLATION,exact current target remains untranslated,It's appeal time!\nWhat should I lead with?$,ถึงเวลาอวดเสน่ห์แล้ว!\nจะเริ่มด้วยท่าไหนดีนะ?$,TRANSLATED
7,dlg_49b016e1efbbc91a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,219,SlateportCity_ContestHall_Text_DidntPayAttentionToAppeal,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"They didn't pay much attention to\nmy POKéMON's appeal…\pHumph, that JUDGE, he doesn't know\na good thing when he sees it.$",NEEDS_TRANSLATION,exact current target remains untranslated,"They didn't pay much attention to\nmy POKéMON's appeal…\pHumph, that JUDGE, he doesn't know\na good thing when he sees it.$",พวกเขาแทบไม่สนใจ\nการอวดเสน่ห์ของโปเกมอนฉันเลย…\pฮึ่ม กรรมการคนนั้น\nของดีอยู่ตรงหน้าก็ยังดูไม่ออก$,TRANSLATED
8,dlg_8d7d335daa859608,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,226,SlateportCity_ContestHall_Text_RewardWithSageAdvice,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Oh, hi! You must be a serious fan to get\nthis close to the action.\pI'll reward your enthusiasm with\nthis sage advice.\pIf a move goes over really well,\nthe audience will get excited.\pThe POKéMON that makes its appeal\nright when everyone's excited…\pWell, you'd think something good has\nto happen!$",NEEDS_TRANSLATION,exact current target remains untranslated,"Oh, hi! You must be a serious fan to get\nthis close to the action.\pI'll reward your enthusiasm with\nthis sage advice.\pIf a move goes over really well,\nthe audience will get excited.\pThe POKéMON that makes its appeal\nright when everyone's excited…\pWell, you'd think something good has\nto happen!$",โอ้ สวัสดี! มาดูใกล้ขนาดนี้\nต้องเป็นแฟนตัวยงแน่ ๆ\pเพื่อเป็นรางวัลให้ความกระตือรือร้น\nฉันจะให้คำแนะนำดี ๆ\pถ้าท่าไหนได้รับเสียงตอบรับดีมาก\nผู้ชมจะยิ่งตื่นเต้น\pโปเกมอนที่อวดเสน่ห์\nตอนที่ทุกคนกำลังตื่นเต้นสุด ๆ…\pอืม ยังไงก็ต้องมีเรื่องดี ๆ\nเกิดขึ้นแน่นอน!$,TRANSLATED
9,dlg_67329c6f4734f4b3,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,239,SlateportCity_ContestHall_Text_MoreFreakedOutThanMon,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I can't do this! I'm more freaked out\nthan my POKéMON.\pI'm shivering and my heart is racing!$,NEEDS_TRANSLATION,exact current target remains untranslated,I can't do this! I'm more freaked out\nthan my POKéMON.\pI'm shivering and my heart is racing!$,ฉันทำไม่ได้! ฉันตื่นเต้น\nยิ่งกว่าโปเกมอนของตัวเองอีก\pทั้งตัวสั่น หัวใจก็เต้นไม่หยุด!$,TRANSLATED
