id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason
dlg_26ddfe37e6139e48,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,156,SlateportCity_ContestHall_Text_AdviceForContests,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Want a tasty little bit of advice\nfor CONTESTS?\pUsing a certain move after another\ncertain kind of move sometimes gets\lyou extra attention.\pIf you know what you're doing,\nyou can score big in appeal.\pOf course, your opponents might try\ndisrupting your POKéMON's showing.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_4fdca3fd17569688,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,168,SlateportCity_ContestHall_Text_MyPapaIsContestJudge,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My papa, he's a CONTEST JUDGE.\pI wonder what I should be when I\ngrow up, a JUDGE or a GYM LEADER?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_9693815a4cfc7bee,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,174,SlateportCity_ContestHall_Text_ImLikeMajorlyCheesed,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hey, man, I'm like majorly cheesed,\nyou know. Like, you know, I just\lwanted to know why my POKéMON\lnever won, you know, like, hey?\pSo, like, I gave the JUDGE my two\ncents, you know, they're free.\pAnd he wouldn't hear me out, like, hey!\nSo, like, total bummer, man!\pHey, like, you! Zip it, you know?\nJust, you know, take this!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_7f1674295b79bbd0,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,187,SlateportCity_ContestHall_Text_ExplainTorment,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"That's, like, TM41, you know?\nHey, it's TORMENT, you hearing me?\pLike, it won't let the other guy\nuse the same move twice in a row, see?\pHey, now, you listen here, like,\nI'm not laying a torment on you!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_fc7e7246a39637a6,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,196,SlateportCity_ContestHall_Text_MCStepUpTakePartInContest,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"MC: Oh, my, my!\nNow isn't that a dandy of a POKéMON?\pPlease! Do step right up and take\npart in our splendid CONTESTS!\pYou'll do well! I'm sure of it!\nMy eyes have never failed me!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_eb1daae0b036bf26,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,205,SlateportCity_ContestHall_Text_JudgeWouldntDoToMissContest,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"JUDGE: Well, hello there!\nI see that you're a TRAINER!\pThen, it just wouldn't do for you\nto miss a POKéMON CONTEST!\pGet a CONTEST PASS in VERDANTURF\nCITY and enter anytime!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_edda3f5d47400efe,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,214,SlateportCity_ContestHall_Text_ItsAppealTime,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,It's appeal time!\nWhat should I lead with?$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_49b016e1efbbc91a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,219,SlateportCity_ContestHall_Text_DidntPayAttentionToAppeal,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"They didn't pay much attention to\nmy POKéMON's appeal…\pHumph, that JUDGE, he doesn't know\na good thing when he sees it.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_8d7d335daa859608,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,226,SlateportCity_ContestHall_Text_RewardWithSageAdvice,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Oh, hi! You must be a serious fan to get\nthis close to the action.\pI'll reward your enthusiasm with\nthis sage advice.\pIf a move goes over really well,\nthe audience will get excited.\pThe POKéMON that makes its appeal\nright when everyone's excited…\pWell, you'd think something good has\nto happen!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_67329c6f4734f4b3,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,239,SlateportCity_ContestHall_Text_MoreFreakedOutThanMon,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I can't do this! I'm more freaked out\nthan my POKéMON.\pI'm shivering and my heart is racing!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_789ad28613c517be,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,245,SlateportCity_ContestHall_Text_BattleAndContestAlike,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"A battle and a CONTEST aren't the\nsame, but they are alike, too.\pYou need to work hard and believe\nin the POKéMON you've raised.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_13730814802d5d1a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,252,SlateportCity_ContestHall_Text_MonLooksOnTopOfGame,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"That POKéMON looks like it's on top\nof its game, huh?\pA POKéMON that does good in the\nsecondary judging seems to be more\lrelaxed when it's doing appeals.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_9326c999701f7fbe,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,260,SlateportCity_ContestHall_Text_MyMonBetterThanThatLot,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Will you look at that sorry sight?\pHeh, my POKéMON's absolutely better\nthan that lot!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_e3cc22b435d38f0c,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,266,SlateportCity_ContestHall_Text_GetUrgeToMoveWithMon,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Don't you get the urge to move with\nPOKéMON if they're putting on an\lenergetic appeal?$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_eca5dd4468a0e431,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentCorridor/scripts.inc,272,SlateportCity_ContestHall_Text_HyperRankStage,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,POKéMON CONTESTS\nHYPER RANK STAGE!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_58903a14ef0cf690,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentLobby/scripts.inc,274,SlateportCity_BattleTentLobby_Text_CouldntFindMonForMe,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"So, like, I couldn't find myself any\nPOKéMON that were, like, for me.\pSo, I figured, like, hey, I should file\na complaint to the guy there?\pAnd he wouldn't hear me out, like, hey!\nSo, like, total bummer, man!\pHey, like, you! Zip it, you know?\nJust, you know, take this!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_d39144aff146d440,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentLobby/scripts.inc,284,SlateportCity_BattleTentLobby_Text_ExplainTorment,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"That's, like, TM41, you know?\nHey, it's TORMENT, you hearing me?\pLike, it won't let the other guy\nuse the same move twice in a row, see?\pHey, now, you listen here, like,\nI'm not laying a torment on you!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_2df8fac65f5d4650,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentLobby/scripts.inc,292,SlateportCity_BattleTentLobby_Text_IllTryUsingBugMons,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"I don't really like BUG POKéMON,\nbut maybe I'll try using some for\la change of pace.\pWho knows, I might even get to like\nthem!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_07888b7c883900fc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentLobby/scripts.inc,299,SlateportCity_BattleTentLobby_Text_BattleEvenWithoutToughMons,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You can battle all you want here even\nif you don't have any tough POKéMON.$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_cd113c1ad7bcb7d3,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/SlateportCity_BattleTentLobby/scripts.inc,303,SlateportCity_BattleTentLobby_Text_NiceIfMoreSelection,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Wouldn't it be nice if they had more of\na selection?$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_4f3d26f4bbd721fb,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/VerdanturfTown_BattleTentLobby/scripts.inc,325,VerdanturfTown_BattleTentLobby_Text_MonsReluctantToUseDislikedMoves,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"If it doesn't like a certain move,\na POKéMON will be reluctant to use it.\pIt doesn't matter how strong it is,\neither.\pFor example, a POKéMON with a GENTLE\nnature probably won't enjoy hurting\lits opponents.\pIf it can't seem to live up to its\npotential, it's probably failing at\lusing a disliked move against its will.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_eec83c832f873dbb,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/VerdanturfTown_BattleTentLobby/scripts.inc,337,VerdanturfTown_BattleTentLobby_Text_GentleMonsScaryIfAngry,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My big sister is gentle usually.\nBut when she gets angry,\lshe's really, really scary!\pI bet a gentle POKéMON will be scary\nif it gets angry!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_5df372067704bf10,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/VerdanturfTown_BattleTentLobby/scripts.inc,344,VerdanturfTown_BattleTentLobby_Text_AttractionRunsDeep,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"My feelings toward my POKéMON…\nThe attraction runs deep…\pOh, hi, you didn't see that, did you?\nWell, it doesn't matter.\pHow would you like this TM for\nyour POKéMON?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_b0188e20cefe8208,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/VerdanturfTown_BattleTentLobby/scripts.inc,352,VerdanturfTown_BattleTentLobby_Text_AttractionMutual,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,My feelings toward my POKéMON…\nI'm sure the attraction is mutual!\pThey battle exactly the way I want\nthem to!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_393efedd9539a5df,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/VerdanturfTown_BattleTentLobby/scripts.inc,358,VerdanturfTown_BattleTentLobby_Text_TaughtWhatKindsOfMoves,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,What kind of moves have you taught\nyour POKéMON?\pI think you would give yourself\nan advantage if they knew how to\lheal or protect themselves.$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_e948431fa9cbd132,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/VerdanturfTown_BattleTentLobby/scripts.inc,375,VerdanturfTown_BattleTentLobby_Text_ScottVisitRegularly,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,SCOTT: I visit here regularly in hopes\nof seeing tough TRAINERS in action\lin whatever the situation.$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_1bb19598f067c9e7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/VerdanturfTown_BattleTentCorridor/scripts.inc,45,VerdanturfTown_ContestHall_Text_WhichContestYouEntering,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Which CONTEST are you entering?\nWant a piece of advice?\pIn any CONTEST, for example, a CUTE\nCONTEST, I don't think they judge you\lonly on cuteness in the first round.\pYou need to work out ways for raising\nPOKéMON better.$",NEEDS_TRANSLATION,exact current target remains untranslated
