id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason,english_raw,thai,translation_status
dlg_ab31f74a2ab7eaf7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,433,BattleFrontier_ExchangeServiceCorner_Text_WelcomePleaseChoosePrize,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hello, this is the EXCHANGE SERVICE\nCORNER.\pWe exchange the Battle Points you\nhave collected for lovely prizes.\pPlease choose a prize from this list.$",NEEDS_TRANSLATION,exact current target remains untranslated,"Hello, this is the EXCHANGE SERVICE\nCORNER.\pWe exchange the Battle Points you\nhave collected for lovely prizes.\pPlease choose a prize from this list.$",สวัสดี ที่นี่คือจุดแลก\nแบทเทิลพอยต์.\pเราจะนำแบทเทิลพอยต์ที่คุณสะสม\nมาแลกเป็นของรางวัลดี ๆ.\pโปรดเลือกของรางวัลจากรายการนี้.$,TRANSLATED
dlg_2c55db962039e1e0,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,441,BattleFrontier_ExchangeServiceCorner_Text_PleaseChoosePrize,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Please choose a prize from this list.$,NEEDS_TRANSLATION,exact current target remains untranslated,Please choose a prize from this list.$,โปรดเลือกของรางวัลจากรายการนี้.$,TRANSLATED
dlg_e030c1564d2b9e69,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,444,BattleFrontier_ExchangeServiceCorner_Text_ConfirmKissPoster,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the KISS POSTER.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the KISS POSTER.\nIs that correct?$,คุณเลือก KISS POSTER แล้ว.\nถูกต้องไหม?$,TRANSLATED
dlg_9c93e8461d5de458,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,448,BattleFrontier_ExchangeServiceCorner_Text_ConfirmKissCushion,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the KISS CUSHION.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the KISS CUSHION.\nIs that correct?$,คุณเลือก KISS CUSHION แล้ว.\nถูกต้องไหม?$,TRANSLATED
dlg_9f55df8daec3ca6c,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,452,BattleFrontier_ExchangeServiceCorner_Text_ConfirmSmoochumDoll,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the SMOOCHUM DOLL.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the SMOOCHUM DOLL.\nIs that correct?$,คุณเลือก SMOOCHUM DOLL แล้ว.\nถูกต้องไหม?$,TRANSLATED
dlg_54f087b264f86be7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,456,BattleFrontier_ExchangeServiceCorner_Text_ConfirmTogepiDoll,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the TOGEPI DOLL.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the TOGEPI DOLL.\nIs that correct?$,คุณเลือก TOGEPI DOLL แล้ว.\nถูกต้องไหม?$,TRANSLATED
dlg_6068acd7d15674d6,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,460,BattleFrontier_ExchangeServiceCorner_Text_ConfirmMeowthDoll,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the MEOWTH DOLL.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the MEOWTH DOLL.\nIs that correct?$,คุณเลือก MEOWTH DOLL แล้ว.\nถูกต้องไหม?$,TRANSLATED
dlg_0fdaeb43d5636f1e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,464,BattleFrontier_ExchangeServiceCorner_Text_ConfirmClefairyDoll,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the CLEFAIRY DOLL.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the CLEFAIRY DOLL.\nIs that correct?$,คุณเลือก CLEFAIRY DOLL แล้ว.\nถูกต้องไหม?$,TRANSLATED
dlg_9469b3f858375807,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,468,BattleFrontier_ExchangeServiceCorner_Text_ConfirmDittoDoll,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the DITTO DOLL.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the DITTO DOLL.\nIs that correct?$,คุณเลือก DITTO DOLL แล้ว.\nถูกต้องไหม?$,TRANSLATED
dlg_f6a7afde008f57f1,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc,472,BattleFrontier_ExchangeServiceCorner_Text_ConfirmCyndaquilDoll,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,You've chosen the CYNDAQUIL DOLL.\nIs that correct?$,NEEDS_TRANSLATION,exact current target remains untranslated,You've chosen the CYNDAQUIL DOLL.\nIs that correct?$,คุณเลือก CYNDAQUIL DOLL แล้ว.\nถูกต้องไหม?$,TRANSLATED
