id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason,english_raw,thai,translation_status
dlg_4da076286ddf518d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,310,BattleFrontier_OutsideWest_Text_ThisIsBattleTower,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,This is the BATTLE TOWER.\pTRAINERS bring their best-raised\nPOKéMON for elimination-style matches.$,NEEDS_TRANSLATION,exact current target remains untranslated,This is the BATTLE TOWER.\pTRAINERS bring their best-raised\nPOKéMON for elimination-style matches.$,นี่คือแบทเทิลทาวเวอร์.\pเทรนเนอร์จะนำโปเกมอนที่ฝึกมา\nอย่างดีที่สุดมาประลองแบบคัดออก.$,TRANSLATED
dlg_beae88259ac03fcf,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,315,BattleFrontier_OutsideWest_Text_MayISeeYourTicket,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hello, are you here for the ferry?\nMay I see your TICKET?$",NEEDS_TRANSLATION,exact current target remains untranslated,"Hello, are you here for the ferry?\nMay I see your TICKET?$",สวัสดี มาขึ้นเรือเฟอร์รีใช่ไหม?\nขอดูบัตรโดยสารหน่อยได้ไหม?$,TRANSLATED
dlg_7861fac65ef85189,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,319,BattleFrontier_OutsideWest_Text_MustHaveTicketToBoard,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,{PLAYER} doesn't have the TICKET…\pI'm terribly sorry.\pYou must have a TICKET to board\nthe ferry.$,NEEDS_TRANSLATION,exact current target remains untranslated,{PLAYER} doesn't have the TICKET…\pI'm terribly sorry.\pYou must have a TICKET to board\nthe ferry.$,{PLAYER} ไม่มีบัตรโดยสาร…\pต้องขออภัยจริง ๆ.\pคุณต้องมีบัตรโดยสารจึงจะขึ้น\nเรือเฟอร์รีได้.$,TRANSLATED
dlg_0806280348ab005e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,325,BattleFrontier_OutsideWest_Text_WhereWouldYouLikeToGo,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,{PLAYER} flashed the TICKET.\pPerfect! That's all you need!\pAnd where would you like to go?$,NEEDS_TRANSLATION,exact current target remains untranslated,{PLAYER} flashed the TICKET.\pPerfect! That's all you need!\pAnd where would you like to go?$,{PLAYER} แสดงบัตรโดยสารให้ดู.\pเยี่ยม! แค่นี้ก็พอแล้ว!\pแล้วอยากไปที่ไหน?$,TRANSLATED
dlg_b864bab74cd1c51e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,330,BattleFrontier_OutsideWest_Text_SlateportItIs,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SLATEPORT CITY it is, then!$",NEEDS_TRANSLATION,exact current target remains untranslated,"SLATEPORT CITY it is, then!$",งั้นไปเมืองไคไน!$,TRANSLATED
dlg_93f2d5198a121706,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,333,BattleFrontier_OutsideWest_Text_LilycoveItIs,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"LILYCOVE CITY it is, then!$",NEEDS_TRANSLATION,exact current target remains untranslated,"LILYCOVE CITY it is, then!$",งั้นไปเมืองมินาโมะ!$,TRANSLATED
dlg_7d326b5873b8162f,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,336,BattleFrontier_OutsideWest_Text_SailWithUsAnotherTime,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Please sail with us another time!$,NEEDS_TRANSLATION,exact current target remains untranslated,Please sail with us another time!$,ไว้มาใช้บริการเรือกับเราอีกนะ!$,TRANSLATED
dlg_99cb26c6fa01d577,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,339,BattleFrontier_OutsideWest_Text_PleaseBoardFerry,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Please board the ferry and wait for\ndeparture.$,NEEDS_TRANSLATION,exact current target remains untranslated,Please board the ferry and wait for\ndeparture.$,กรุณาขึ้นเรือเฟอร์รีและรอ\nเวลาออกเรือ.$,TRANSLATED
dlg_8ce80d939a02a875,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,343,BattleFrontier_OutsideWest_Text_ThenWhereWouldYouLikeToGo,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Then, where would you like to go?$",NEEDS_TRANSLATION,exact current target remains untranslated,"Then, where would you like to go?$",ถ้างั้น อยากไปที่ไหน?$,TRANSLATED
dlg_e854c27599ca9938,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,346,BattleFrontier_OutsideWest_Text_BestOutOfAllMyFriends,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I'm the best out of all my friends.\nBut here…\lI've been useless!$,NEEDS_TRANSLATION,exact current target remains untranslated,I'm the best out of all my friends.\nBut here…\lI've been useless!$,ฉันเก่งที่สุดในกลุ่มเพื่อน.\nแต่พอมาที่นี่…\lกลับไม่เอาไหนเลย!$,TRANSLATED
dlg_dfc163c6194ce8db,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,351,BattleFrontier_OutsideWest_Text_CantFindBattleTower,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"I want to go to the BATTLE TOWER,\nbut I can't find it even though I have\la map of the BATTLE FRONTIER.\pThis place is just too big!$",NEEDS_TRANSLATION,exact current target remains untranslated,"I want to go to the BATTLE TOWER,\nbut I can't find it even though I have\la map of the BATTLE FRONTIER.\pThis place is just too big!$",ฉันอยากไปแบทเทิลทาวเวอร์\nแต่หาไม่เจอ ทั้งที่มี\lแผนที่แบทเทิลฟรอนเทียร์อยู่แท้ ๆ.\pที่นี่กว้างเกินไปแล้ว!$,TRANSLATED
