id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason
dlg_4da076286ddf518d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,312,BattleFrontier_OutsideWest_Text_ThisIsBattleTower,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,This is the BATTLE TOWER.\pTRAINERS bring their best-raised\nPOKéMON for elimination-style matches.$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_beae88259ac03fcf,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,317,BattleFrontier_OutsideWest_Text_MayISeeYourTicket,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hello, are you here for the ferry?\nMay I see your TICKET?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_7861fac65ef85189,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,321,BattleFrontier_OutsideWest_Text_MustHaveTicketToBoard,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,{PLAYER} doesn't have the TICKET…\pI'm terribly sorry.\pYou must have a TICKET to board\nthe ferry.$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_0806280348ab005e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,327,BattleFrontier_OutsideWest_Text_WhereWouldYouLikeToGo,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,{PLAYER} flashed the TICKET.\pPerfect! That's all you need!\pAnd where would you like to go?$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_b864bab74cd1c51e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,332,BattleFrontier_OutsideWest_Text_SlateportItIs,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SLATEPORT CITY it is, then!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_93f2d5198a121706,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,335,BattleFrontier_OutsideWest_Text_LilycoveItIs,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"LILYCOVE CITY it is, then!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_7d326b5873b8162f,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,338,BattleFrontier_OutsideWest_Text_SailWithUsAnotherTime,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Please sail with us another time!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_99cb26c6fa01d577,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,341,BattleFrontier_OutsideWest_Text_PleaseBoardFerry,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Please board the ferry and wait for\ndeparture.$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_8ce80d939a02a875,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,345,BattleFrontier_OutsideWest_Text_ThenWhereWouldYouLikeToGo,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Then, where would you like to go?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_e854c27599ca9938,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,348,BattleFrontier_OutsideWest_Text_BestOutOfAllMyFriends,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I'm the best out of all my friends.\nBut here…\lI've been useless!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_dfc163c6194ce8db,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,353,BattleFrontier_OutsideWest_Text_CantFindBattleTower,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"I want to go to the BATTLE TOWER,\nbut I can't find it even though I have\la map of the BATTLE FRONTIER.\pThis place is just too big!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_41e6fb53d6ca7963,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,359,BattleFrontier_OutsideWest_Text_GotSeasickOnWayHere,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"I wanted to take a challenge as soon\nas I arrived here.\pBut on the way, I got seasick…\nUrrrrp…$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_80ab80e79f47f442,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,373,BattleFrontier_OutsideWest_Text_SureWeCanChallengeWithNoMons,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hey, bro…\pAre you sure we can make challenges\neven if we don't have any POKéMON?$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_4788fed8c53927c6,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,378,BattleFrontier_OutsideWest_Text_BigGuySaidIllLendYouMons,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Uh…\nI'm sure it'll be okay.\pI think…\pBut remember that big scary guy?\nHe said, “I'll lend you POKéMON!”$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_0b6c4de8fdb3618f,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,385,BattleFrontier_OutsideWest_Text_WhosRaisingThoseRentalMons,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,That's the BATTLE FACTORY.\nYou can rent strong POKéMON there.\pBut it makes me wonder.\nWho's raising those rental POKéMON?$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_f480d15a815e4c9d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_OutsideWest/scripts.inc,391,BattleFrontier_OutsideWest_Text_ScaredOfPikeBecauseSeviper,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"I'm scared of going into the BATTLE\nPIKE because of SEVIPER…\pB-but I came all the way here, so I will\ntry to conquer everything!\l…Shudder…$",NEEDS_TRANSLATION,exact current target remains untranslated
