id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason,english_raw,thai,translation_status
dlg_53ea06c27c8c36ad,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,212,BattleFrontier_ScottsHouse_Text_WelcomeToBattleFrontier,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: Well, hello and welcome!\nHeheh… Sorry about the cramped space.\pAnyway, {PLAYER}{KUN}, let me formally\nwelcome you to the BATTLE FRONTIER.\pThis is my dream come true.\nIt took me years and years, but I've\lfinally given shape to my dream.$",NEEDS_TRANSLATION,exact current target remains untranslated,"SCOTT: Well, hello and welcome!\nHeheh… Sorry about the cramped space.\pAnyway, {PLAYER}{KUN}, let me formally\nwelcome you to the BATTLE FRONTIER.\pThis is my dream come true.\nIt took me years and years, but I've\lfinally given shape to my dream.$",สก็อตต์: สวัสดี ยินดีต้อนรับ!\nฮะฮะ… ขอโทษนะ ที่นี่แคบไปหน่อย.\pเอาล่ะ {PLAYER}{KUN} ฉันขอต้อนรับเธอ\nสู่แบทเทิลฟรอนเทียร์อย่างเป็นทางการ.\pที่นี่คือความฝันของฉันที่เป็นจริง.\nฉันใช้เวลาหลายต่อหลายปี กว่า\lจะสร้างความฝันนี้ให้เป็นรูปเป็นร่าง.$,TRANSLATED
dlg_593f0bd70a8fbab1,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,221,BattleFrontier_ScottsHouse_Text_HowMuchEffortItTookToMakeReal,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"On reflection, it was a terribly long\njourney…\pI left home alone on a quest to find\nstrong TRAINERS.\pNo one can imagine how much effort\nor time it took to make this real.$",NEEDS_TRANSLATION,exact current target remains untranslated,"On reflection, it was a terribly long\njourney…\pI left home alone on a quest to find\nstrong TRAINERS.\pNo one can imagine how much effort\nor time it took to make this real.$",พอมองย้อนกลับไป มันเป็นการเดินทาง\nที่ยาวนานจริง ๆ…\pฉันออกจากบ้านเพียงลำพัง เพื่อตามหา\nเทรนเนอร์ที่แข็งแกร่ง.\pคงไม่มีใครนึกออกว่าฉันทุ่มเทแรงกาย\nและเวลาไปมากแค่ไหนกว่าจะมาถึงวันนี้.$,TRANSLATED
dlg_7e93ae142d343829,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,229,BattleFrontier_ScottsHouse_Text_HaveThisAsMementoOfOurPathsCrossing,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"But that's all in the past.\nNo point dwelling on that!\pAll I want for you is to enjoy battling\nto your heart's content here.\p{PLAYER}{KUN}, I want you to have this\nas a memento for all the time our\lpaths crossed on our journeys.$",NEEDS_TRANSLATION,exact current target remains untranslated,"But that's all in the past.\nNo point dwelling on that!\pAll I want for you is to enjoy battling\nto your heart's content here.\p{PLAYER}{KUN}, I want you to have this\nas a memento for all the time our\lpaths crossed on our journeys.$",แต่เรื่องนั้นก็ผ่านไปแล้ว.\nมัวแต่คิดถึงอดีตก็ไม่มีประโยชน์!\pสิ่งที่ฉันอยากเห็นคือให้เธอสนุกกับการต่อสู้\nที่นี่อย่างเต็มที่.\p{PLAYER}{KUN} ฉันอยากให้สิ่งนี้กับเธอ\nเป็นที่ระลึกถึงทุกครั้งที่เส้นทางของเรา\lเคยตัดผ่านกันระหว่างการเดินทาง.$,TRANSLATED
dlg_d9254faba129c335,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,238,BattleFrontier_ScottsHouse_Text_ObtainedXBattlePoints,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,{PLAYER} obtained\n{STR_VAR_1} Battle Point(s).$,NEEDS_TRANSLATION,exact current target remains untranslated,{PLAYER} obtained\n{STR_VAR_1} Battle Point(s).$,{PLAYER} ได้รับ\nแบทเทิลพอยต์ {STR_VAR_1} แต้ม.$,TRANSLATED
dlg_0e747f6fee26e093,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,242,BattleFrontier_ScottsHouse_Text_ExplainBattlePoints,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: You can check your Battle\nPoints on your FRONTIER PASS.\pThe more success you have here at\nthe BATTLE FRONTIER, the more Battle\lPoints you will collect.\pUse your Battle Points the way you\nsee fit, like trading them for items.$",NEEDS_TRANSLATION,exact current target remains untranslated,"SCOTT: You can check your Battle\nPoints on your FRONTIER PASS.\pThe more success you have here at\nthe BATTLE FRONTIER, the more Battle\lPoints you will collect.\pUse your Battle Points the way you\nsee fit, like trading them for items.$",สก็อตต์: เธอตรวจดูแบทเทิล\nพอยต์ได้จากฟรอนเทียร์พาส.\pยิ่งประสบความสำเร็จที่แบทเทิล\nฟรอนเทียร์มากเท่าไร ก็จะยิ่งสะสม\lแบทเทิลพอยต์ได้มากขึ้น.\pจะใช้แบทเทิลพอยต์อย่างไรก็ได้ตามใจ\nเช่น เอาไปแลกไอเทม.$,TRANSLATED
dlg_b6a3a5a5752b072d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,251,BattleFrontier_ScottsHouse_Text_ExpectingGreatThings,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I'm expecting great things from you!$,NEEDS_TRANSLATION,exact current target remains untranslated,I'm expecting great things from you!$,ฉันคาดหวังผลงานดี ๆ จากเธอนะ!$,TRANSLATED
dlg_0fd9477bb2828228,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,257,BattleFrontier_ScottsHouse_Text_HaveYouMetFrontierBrain,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: Have you met any of\nthe FRONTIER BRAINS?\pBetter yet, have you obtained any\nsymbols from them?\pI handpicked the FRONTIER BRAINS\nas the toughest TRAINERS anywhere.\pBut I'm sure that seeing how tough\nyou are will startle even them!$",NEEDS_TRANSLATION,exact current target remains untranslated,"SCOTT: Have you met any of\nthe FRONTIER BRAINS?\pBetter yet, have you obtained any\nsymbols from them?\pI handpicked the FRONTIER BRAINS\nas the toughest TRAINERS anywhere.\pBut I'm sure that seeing how tough\nyou are will startle even them!$",สก็อตต์: เธอได้เจอ\nฟรอนเทียร์เบรนบ้างหรือยัง?\pหรือยิ่งกว่านั้น ได้รับ\nสัญลักษณ์จากพวกเขาบ้างไหม?\pฉันเลือกฟรอนเทียร์เบรนด้วยตัวเอง\nเพราะพวกเขาคือเทรนเนอร์ที่แกร่งที่สุด.\pแต่ฉันมั่นใจว่าแม้แต่พวกเขาก็คงตกใจ\nเมื่อได้เห็นว่าเธอแข็งแกร่งแค่ไหน!$,TRANSLATED
dlg_db12cb7c902922dc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,267,BattleFrontier_ScottsHouse_Text_MayFindWildMonsInFrontier,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: You don't just train for battle,\nright?\pI think I remember you working on\na POKéDEX as well.\pWell, guess what?\pYou may run into wild POKéMON in\nthe BATTLE FRONTIER somewhere…\lFufufu!$",NEEDS_TRANSLATION,exact current target remains untranslated,"SCOTT: You don't just train for battle,\nright?\pI think I remember you working on\na POKéDEX as well.\pWell, guess what?\pYou may run into wild POKéMON in\nthe BATTLE FRONTIER somewhere…\lFufufu!$",สก็อตต์: เธอไม่ได้ฝึกโปเกมอน\nเพื่อการต่อสู้อย่างเดียวใช่ไหม?\pฉันจำได้ว่าเธอกำลังทำ\nโปเกเด็กซ์อยู่ด้วยนี่นา.\pแล้วรู้ไหม?\pที่ไหนสักแห่งในแบทเทิลฟรอนเทียร์\nเธออาจได้เจอโปเกมอนป่าก็ได้…\lหึหึหึ!$,TRANSLATED
dlg_18166d32ae994754,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,277,BattleFrontier_ScottsHouse_Text_YouveCollectedAllSilverSymbols,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: Are you enjoying things in\nthe BATTLE FRONTIER?\p…Wait a second…\nOh!\pYour FRONTIER PASS!\nYou've collected the full set\lof silver symbols!\pThat's more than impressive!\nYou are tough, just as I suspected!\pNormally, I wouldn't do something\nlike this, but this is a special time!\pI want you to have this.\nI'm sure you can put it to proper use.$",NEEDS_TRANSLATION,exact current target remains untranslated,"SCOTT: Are you enjoying things in\nthe BATTLE FRONTIER?\p…Wait a second…\nOh!\pYour FRONTIER PASS!\nYou've collected the full set\lof silver symbols!\pThat's more than impressive!\nYou are tough, just as I suspected!\pNormally, I wouldn't do something\nlike this, but this is a special time!\pI want you to have this.\nI'm sure you can put it to proper use.$",สก็อตต์: สนุกกับการใช้เวลาใน\nแบทเทิลฟรอนเทียร์อยู่ไหม?\p…เดี๋ยวก่อนนะ…\nโอ้!\pฟรอนเทียร์พาสของเธอ!\nเธอสะสมสัญลักษณ์สีเงิน\lครบทั้งชุดแล้วนี่!\pยอดเยี่ยมเกินคาดจริง ๆ!\nเธอแข็งแกร่งอย่างที่ฉันคิดไว้เลย!\pปกติฉันไม่ทำอะไรแบบนี้หรอก\nแต่ครั้งนี้เป็นกรณีพิเศษ!\pฉันอยากให้สิ่งนี้กับเธอ.\nเชื่อว่าเธอจะใช้มันได้อย่างคุ้มค่า.$,TRANSLATED
dlg_8b1ee12ee8c3ac88,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,292,BattleFrontier_ScottsHouse_Text_YouveCollectedAllGoldSymbols,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: I hope you're enjoying\neverything in the BATTLE FRONTIER.\p…Wait a second…\nOh, my disbelieving eyes!\pYour FRONTIER PASS!\nYou've gathered up the full set\lof gold symbols!\pThat's more than stupendous!\nYou're incredible, just as I suspected!\p… … … … … …\p{PLAYER}, you've got to accept this!\pI think you will be able to\nappreciate the value of my gift!$",NEEDS_TRANSLATION,exact current target remains untranslated,"SCOTT: I hope you're enjoying\neverything in the BATTLE FRONTIER.\p…Wait a second…\nOh, my disbelieving eyes!\pYour FRONTIER PASS!\nYou've gathered up the full set\lof gold symbols!\pThat's more than stupendous!\nYou're incredible, just as I suspected!\p… … … … … …\p{PLAYER}, you've got to accept this!\pI think you will be able to\nappreciate the value of my gift!$",สก็อตต์: หวังว่าเธอจะสนุกกับ\nทุกอย่างในแบทเทิลฟรอนเทียร์นะ.\p…เดี๋ยวก่อน…\nโอ้ ไม่น่าเชื่อสายตาตัวเอง!\pฟรอนเทียร์พาสของเธอ!\nเธอสะสมสัญลักษณ์สีทอง\lครบทั้งชุดแล้ว!\pสุดยอดเกินคำบรรยาย!\nเธอน่าทึ่งจริง ๆ อย่างที่ฉันคิดไว้!\p… … … … … …\p{PLAYER} เธอต้องรับสิ่งนี้ไว้นะ!\pฉันคิดว่าเธอจะเข้าใจ\nคุณค่าของของขวัญชิ้นนี้แน่นอน!$,TRANSLATED
