id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason
dlg_53ea06c27c8c36ad,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,211,BattleFrontier_ScottsHouse_Text_WelcomeToBattleFrontier,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: Well, hello and welcome!\nHeheh… Sorry about the cramped space.\pAnyway, {PLAYER}{KUN}, let me formally\nwelcome you to the BATTLE FRONTIER.\pThis is my dream come true.\nIt took me years and years, but I've\lfinally given shape to my dream.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_593f0bd70a8fbab1,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,220,BattleFrontier_ScottsHouse_Text_HowMuchEffortItTookToMakeReal,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"On reflection, it was a terribly long\njourney…\pI left home alone on a quest to find\nstrong TRAINERS.\pNo one can imagine how much effort\nor time it took to make this real.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_7e93ae142d343829,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,228,BattleFrontier_ScottsHouse_Text_HaveThisAsMementoOfOurPathsCrossing,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"But that's all in the past.\nNo point dwelling on that!\pAll I want for you is to enjoy battling\nto your heart's content here.\p{PLAYER}{KUN}, I want you to have this\nas a memento for all the time our\lpaths crossed on our journeys.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_d9254faba129c335,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,237,BattleFrontier_ScottsHouse_Text_ObtainedXBattlePoints,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,{PLAYER} obtained\n{STR_VAR_1} Battle Point(s).$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_0e747f6fee26e093,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,241,BattleFrontier_ScottsHouse_Text_ExplainBattlePoints,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: You can check your Battle\nPoints on your FRONTIER PASS.\pThe more success you have here at\nthe BATTLE FRONTIER, the more Battle\lPoints you will collect.\pUse your Battle Points the way you\nsee fit, like trading them for items.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_b6a3a5a5752b072d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,250,BattleFrontier_ScottsHouse_Text_ExpectingGreatThings,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I'm expecting great things from you!$,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_0fd9477bb2828228,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,265,BattleFrontier_ScottsHouse_Text_HaveYouMetFrontierBrain,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: Have you met any of\nthe FRONTIER BRAINS?\pBetter yet, have you obtained any\nsymbols from them?\pI handpicked the FRONTIER BRAINS\nas the toughest TRAINERS anywhere.\pBut I'm sure that seeing how tough\nyou are will startle even them!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_db12cb7c902922dc,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,275,BattleFrontier_ScottsHouse_Text_MayFindWildMonsInFrontier,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: You don't just train for battle,\nright?\pI think I remember you working on\na POKéDEX as well.\pWell, guess what?\pYou may run into wild POKéMON in\nthe BATTLE FRONTIER somewhere…\lFufufu!$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_18166d32ae994754,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,285,BattleFrontier_ScottsHouse_Text_YouveCollectedAllSilverSymbols,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: Are you enjoying things in\nthe BATTLE FRONTIER?\p…Wait a second…\nOh!\pYour FRONTIER PASS!\nYou've collected the full set\lof silver symbols!\pThat's more than impressive!\nYou are tough, just as I suspected!\pNormally, I wouldn't do something\nlike this, but this is a special time!\pI want you to have this.\nI'm sure you can put it to proper use.$",NEEDS_TRANSLATION,exact current target remains untranslated
dlg_8b1ee12ee8c3ac88,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_ScottsHouse/scripts.inc,300,BattleFrontier_ScottsHouse_Text_YouveCollectedAllGoldSymbols,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"SCOTT: I hope you're enjoying\neverything in the BATTLE FRONTIER.\p…Wait a second…\nOh, my disbelieving eyes!\pYour FRONTIER PASS!\nYou've gathered up the full set\lof gold symbols!\pThat's more than stupendous!\nYou're incredible, just as I suspected!\p… … … … … …\p{PLAYER}, you've got to accept this!\pI think you will be able to\nappreciate the value of my gift!$",NEEDS_TRANSLATION,exact current target remains untranslated
