id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason,english_raw,thai,translation_status
dlg_c21d6e6b4b512b79,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,152,BattleFrontier_Lounge1_Text_PokemonBreederIntro,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"For 70 years I have raised POKéMON!\nI am the man they revere as\lthe legendary top POKéMON BREEDER!\pIf you ever become as seasoned as me,\nyou'll see the abilities of POKéMON\lat a glance.\pYou're a TRAINER. Doesn't it interest\nyou to know your own POKéMON's\labilities?\pHere!\nLet's have a look at your POKéMON!$",NEEDS_TRANSLATION,exact current target remains untranslated,"For 70 years I have raised POKéMON!\nI am the man they revere as\lthe legendary top POKéMON BREEDER!\pIf you ever become as seasoned as me,\nyou'll see the abilities of POKéMON\lat a glance.\pYou're a TRAINER. Doesn't it interest\nyou to know your own POKéMON's\labilities?\pHere!\nLet's have a look at your POKéMON!$",ฉันเลี้ยงโปเกมอนมากว่า 70 ปี!\nผู้คนยกย่องฉันว่าเป็น\lสุดยอดโปเกมอนบรีดเดอร์ในตำนาน!\pถ้าเธอมีประสบการณ์มากพออย่างฉัน\nแค่มองปราดเดียวก็จะเห็น\lศักยภาพของโปเกมอนได้.\pเธอเป็นเทรนเนอร์นี่ ไม่อยากรู้หรือว่า\nโปเกมอนของตัวเองมี\lศักยภาพแค่ไหน?\pเอ้า!\nมาดูโปเกมอนของเธอกัน!$,TRANSLATED
dlg_c7dbaf22205a260a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,165,BattleFrontier_Lounge1_Text_AverageAbility,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"…Hmm…\pThis one, overall, I would describe\nas being of average ability.$",NEEDS_TRANSLATION,exact current target remains untranslated,"…Hmm…\pThis one, overall, I would describe\nas being of average ability.$",…อืม…\pถ้ามองโดยรวม ฉันขอบอกว่า\nตัวนี้มีศักยภาพระดับธรรมดา.$,TRANSLATED
dlg_5826dc4778e7cf78,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,170,BattleFrontier_Lounge1_Text_BetterThanAverageAbility,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"…Hmm…\pThis one, overall, I would describe as\nhaving better-than-average ability.$",NEEDS_TRANSLATION,exact current target remains untranslated,"…Hmm…\pThis one, overall, I would describe as\nhaving better-than-average ability.$",…อืม…\pถ้ามองโดยรวม ฉันขอบอกว่า\nตัวนี้มีศักยภาพดีกว่าค่าเฉลี่ย.$,TRANSLATED
dlg_3b0454b71ac26819,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,175,BattleFrontier_Lounge1_Text_ImpressiveAbility,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"…Hmm…\pThis one, overall, I would say is\nquite impressive in ability!$",NEEDS_TRANSLATION,exact current target remains untranslated,"…Hmm…\pThis one, overall, I would say is\nquite impressive in ability!$",…อืม…\pถ้ามองโดยรวม ฉันขอบอกว่า\nศักยภาพของตัวนี้น่าประทับใจทีเดียว!$,TRANSLATED
dlg_2e51c3d9a131bc9e,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,180,BattleFrontier_Lounge1_Text_OutstandingAbility,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"…Hmm…\pThis one, overall, I would say is\nwonderfully outstanding in ability!$",NEEDS_TRANSLATION,exact current target remains untranslated,"…Hmm…\pThis one, overall, I would say is\nwonderfully outstanding in ability!$",…อืม…\pถ้ามองโดยรวม ฉันขอบอกว่า\nตัวนี้มีศักยภาพโดดเด่นยอดเยี่ยม!$,TRANSLATED
dlg_585e90c35f192d65,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,185,BattleFrontier_Lounge1_Text_BestAspectHP,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Incidentally, the best aspect of it,\nI would say, is its HP…$",NEEDS_TRANSLATION,exact current target remains untranslated,"Incidentally, the best aspect of it,\nI would say, is its HP…$",แล้วถ้าจะพูดถึงจุดที่ดีที่สุด\nฉันว่าเป็น HP…$,TRANSLATED
dlg_ba4bde7d85f78de7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,189,BattleFrontier_Lounge1_Text_BestAspectAtk,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Incidentally, the best aspect of it,\nI would say, is its ATTACK…$",NEEDS_TRANSLATION,exact current target remains untranslated,"Incidentally, the best aspect of it,\nI would say, is its ATTACK…$",แล้วถ้าจะพูดถึงจุดที่ดีที่สุด\nฉันว่าเป็นพลังโจมตี…$,TRANSLATED
dlg_84f15c761d8a29ce,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,193,BattleFrontier_Lounge1_Text_BestAspectDef,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Incidentally, the best aspect of it,\nI would say, is its DEFENSE…$",NEEDS_TRANSLATION,exact current target remains untranslated,"Incidentally, the best aspect of it,\nI would say, is its DEFENSE…$",แล้วถ้าจะพูดถึงจุดที่ดีที่สุด\nฉันว่าเป็นพลังป้องกัน…$,TRANSLATED
dlg_2411f11999f9a121,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,197,BattleFrontier_Lounge1_Text_BestAspectSpAtk,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Incidentally, the best aspect of it,\nI would say, is its SPECIAL ATTACK…$",NEEDS_TRANSLATION,exact current target remains untranslated,"Incidentally, the best aspect of it,\nI would say, is its SPECIAL ATTACK…$",แล้วถ้าจะพูดถึงจุดที่ดีที่สุด\nฉันว่าเป็นพลังโจมตีพิเศษ…$,TRANSLATED
dlg_ea0cda2c92fc5577,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge1/scripts.inc,201,BattleFrontier_Lounge1_Text_BestAspectSpDef,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Incidentally, the best aspect of it,\nI would say, is its SPECIAL DEFENSE…$",NEEDS_TRANSLATION,exact current target remains untranslated,"Incidentally, the best aspect of it,\nI would say, is its SPECIAL DEFENSE…$",แล้วถ้าจะพูดถึงจุดที่ดีที่สุด\nฉันว่าเป็นพลังป้องกันพิเศษ…$,TRANSLATED
