id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason,english_raw,thai,translation_status
dlg_c4e24eb6129ce649,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge4/scripts.inc,16,BattleFrontier_Lounge4_Text_WonderIfInterviewsAiring,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,I wonder if they'll be airing interviews\nwith tough TRAINERS today?$,NEEDS_TRANSLATION,exact current target remains untranslated,I wonder if they'll be airing interviews\nwith tough TRAINERS today?$,วันนี้จะมีรายการสัมภาษณ์\nเทรนเนอร์เก่ง ๆ ออกอากาศไหมนะ?$,TRANSLATED
dlg_ebd7d929dc1a0c6d,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge4/scripts.inc,20,BattleFrontier_Lounge4_Text_IfIOpenedRestaurantHere,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"If I opened a restaurant here,\nit'd make money for sure.$",NEEDS_TRANSLATION,exact current target remains untranslated,"If I opened a restaurant here,\nit'd make money for sure.$",ถ้าฉันเปิดร้านอาหารที่นี่\nต้องทำเงินได้แน่ ๆ.$,TRANSLATED
dlg_102151f07ec73e0b,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,43,BattleFrontier_Lounge5_Text_NatureGirlGreeting,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Ehehe!\nI can tell what POKéMON are thinking!\pPlease!\nCan I see your POKéMON?$,NEEDS_TRANSLATION,exact current target remains untranslated,Ehehe!\nI can tell what POKéMON are thinking!\pPlease!\nCan I see your POKéMON?$,ฮิฮิ!\nฉันรู้ว่าโปเกมอนกำลังคิดอะไรอยู่!\pขอร้องล่ะ!\nขอดูโปเกมอนของเธอหน่อยได้ไหม?$,TRANSLATED
dlg_63f31add5bb602a2,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,49,BattleFrontier_Lounge5_Text_NatureGirlNoneShown,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Boo!\nCheapie!$,NEEDS_TRANSLATION,exact current target remains untranslated,Boo!\nCheapie!$,โธ่!\nขี้เหนียวจัง!$,TRANSLATED
dlg_739eab664607bf45,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,53,BattleFrontier_Lounge5_Text_NatureGirlHardy,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Hmhm…\pThis one says it likes to battle!\nIt will battle even if it has a lot\lof ouchies!$,NEEDS_TRANSLATION,exact current target remains untranslated,Hmhm…\pThis one says it likes to battle!\nIt will battle even if it has a lot\lof ouchies!$,อืม…\pตัวนี้บอกว่าชอบสู้!\nถึงจะเจ็บมาก ๆ\lก็ยังสู้ต่อ!$,TRANSLATED
dlg_a9639fdea834a548,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,59,BattleFrontier_Lounge5_Text_NatureGirlLonely,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hmhm…\pThis one says it likes to be sneaky!\nBut if it gets enough ouchies,\lit will hit back!$",NEEDS_TRANSLATION,exact current target remains untranslated,"Hmhm…\pThis one says it likes to be sneaky!\nBut if it gets enough ouchies,\lit will hit back!$",อืม…\pตัวนี้บอกว่าชอบใช้ลูกเล่น!\nแต่ถ้าเจ็บมากพอ\lก็จะหันมาเอาคืน!$,TRANSLATED
dlg_d9919657eae8fd26,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,65,BattleFrontier_Lounge5_Text_NatureGirlBrave,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hmhm…\pThis one says it likes to battle!\nBut if it gets enough ouchies,\lit will worry about itself!$",NEEDS_TRANSLATION,exact current target remains untranslated,"Hmhm…\pThis one says it likes to battle!\nBut if it gets enough ouchies,\lit will worry about itself!$",อืม…\pตัวนี้บอกว่าชอบสู้!\nแต่ถ้าเจ็บมากพอ\lก็จะเริ่มห่วงตัวเอง!$,TRANSLATED
dlg_490a58d232929ff3,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,71,BattleFrontier_Lounge5_Text_NatureGirlAdamant,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Hmhm…\pThis one says it likes to battle!\nIt will battle even if it has a lot\lof ouchies!$,NEEDS_TRANSLATION,exact current target remains untranslated,Hmhm…\pThis one says it likes to battle!\nIt will battle even if it has a lot\lof ouchies!$,อืม…\pตัวนี้บอกว่าชอบสู้!\nถึงจะเจ็บมาก ๆ\lก็ยังสู้ต่อ!$,TRANSLATED
dlg_e9f3cc74b29df511,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,77,BattleFrontier_Lounge5_Text_NatureGirlNaughty,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hmhm…\pThis one says it looks after itself!\nBut if it gets enough ouchies,\lit will hit back!$",NEEDS_TRANSLATION,exact current target remains untranslated,"Hmhm…\pThis one says it looks after itself!\nBut if it gets enough ouchies,\lit will hit back!$",อืม…\pตัวนี้บอกว่าชอบดูแลตัวเอง!\nแต่ถ้าเจ็บมากพอ\lก็จะหันมาเอาคืน!$,TRANSLATED
dlg_d1afe50bb8842f2b,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,83,BattleFrontier_Lounge5_Text_NatureGirlBold,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,"Hmhm…\pThis one says it likes to be sneaky!\nBut if it gets enough ouchies,\lit will worry about itself!$",NEEDS_TRANSLATION,exact current target remains untranslated,"Hmhm…\pThis one says it likes to be sneaky!\nBut if it gets enough ouchies,\lit will worry about itself!$",อืม…\pตัวนี้บอกว่าชอบใช้ลูกเล่น!\nแต่ถ้าเจ็บมากพอ\lก็จะเริ่มห่วงตัวเอง!$,TRANSLATED
dlg_f9e8014cb3aa9146,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/BattleFrontier_Lounge5/scripts.inc,89,BattleFrontier_Lounge5_Text_NatureGirlDocileNaiveQuietQuirky,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,Hmhm…\pThis one says it likes to battle!\nIt will battle even if it has a lot\lof ouchies!$,NEEDS_TRANSLATION,exact current target remains untranslated,Hmhm…\pThis one says it likes to battle!\nIt will battle even if it has a lot\lof ouchies!$,อืม…\pตัวนี้บอกว่าชอบสู้!\nถึงจะเจ็บมาก ๆ\lก็ยังสู้ต่อ!$,TRANSLATED
