id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,group7_scope_decision,destination_group,corrected_group7_decision,correction_reason,exact_raw,reconcile_decision,reconcile_reason
dlg_96574050d6e534c1,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,690,gText_BattleFrontier,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE FRONTIER,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_49196aca3554f1ba,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,784,gText_BattlePts,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE PTS,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_7df10dfd6f770ec4,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,786,gText_BattleMon,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE {PKMN},NEEDS_TRANSLATION,exact current target remains untranslated
dlg_b420e6f01ef21621,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,787,gText_BattleSalon,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE SALON,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_0cba5aedc93d5c48,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,789,gText_BattleRules,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE RULES,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_b65e5646e26d1ac7,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,801,gText_BattleBasics,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE BASICS,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_36bea640eade5280,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1224,gText_BattlePtsWon,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE POINTS WON,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_f9c64ee93bf50b36,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1226,gText_BattleTower,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE TOWER,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_0cecdd887d75eab9,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1228,gText_BattleTower2,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE TOWER,NEEDS_TRANSLATION,exact current target remains untranslated
dlg_23f30258ef7f141a,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1229,gText_BattleDome,GROUP7_SELECTED,,GROUP7_EXPLICIT_FACILITY,Explicit Battle Frontier/Battle Tent facility source or facility-specific shared string,BATTLE DOME,NEEDS_TRANSLATION,exact current target remains untranslated
