id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,selected_group,decision,english_raw,reconcile_decision,evidence,final_decision,final_reason,closure_status,closure_note,canonical_decision,canonical_reason,scope_approval
dlg_968fd4721e0dd2cd,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,581,gText_Tristan,1 Shared System / UI,TRANSLATE_SELECTED,TRISTAN,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_eb1cb504dd021b38,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,582,gText_Philip,1 Shared System / UI,TRANSLATE_SELECTED,PHILIP,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_5664125ebc41a8e9,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,583,gText_Dennis,1 Shared System / UI,TRANSLATE_SELECTED,DENNIS,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_667b27e02cc8ea4a,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,584,gText_Roberto,1 Shared System / UI,TRANSLATE_SELECTED,ROBERTO,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_03882452e50ddcb4,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1648,gText_ContestLady_Handsome,1 Shared System / UI,TRANSLATE_SELECTED,HANDSOME,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_0ab060f93ca6c77e,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1649,gText_ContestLady_Vinny,1 Shared System / UI,TRANSLATE_SELECTED,VINNY,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_f8ddc6668dd266bc,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1650,gText_ContestLady_Moreme,1 Shared System / UI,TRANSLATE_SELECTED,MOREME,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_960f6bdf1bfe9a99,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1651,gText_ContestLady_Ironhard,1 Shared System / UI,TRANSLATE_SELECTED,IRONHARD,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_54e817c1946db09d,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1652,gText_ContestLady_Muscle,1 Shared System / UI,TRANSLATE_SELECTED,MUSCLE,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: PRESERVE_EXISTING.,PRESERVE_EXISTING,Approved proper-name / nickname data; intentionally preserved.,APPROVED
dlg_125921ef6175fbac,system,Unclassified,system,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,src/strings.c,1653,gText_ContestLady_Coolness,1 Shared System / UI,TRANSLATE_SELECTED,coolness,REVIEW_ACTIONABLE,,NOT_APPLICABLE,deferred Group 8 Special NPC systems,DONE,Group 8 CLOSED: translated/applied/build-passed; runtime QA OPTIONAL/WAIVED.,TRANSLATE_REQUIRED,Approved player-visible gameplay/dialogue term requiring Thai localization.,APPROVED
