id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label,canonical_decision,current_raw,evidence
dlg_895a7a073a3166e6,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,76,sCreditsText_MainGraphicDesigner,PRESERVE_EXISTING,Main Graphic DesignerGraphic DesignersPOKéMON DesignersMusic CompositionSound Effects & POKéMON VoicesGame DesignersScenario PlotScenarioScript DesignersMap DesignersMap Data DesignersParametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao Taya,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_86762f1f62c1fa70,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,77,sCreditsText_GraphicDesigners,PRESERVE_EXISTING,Graphic DesignersPOKéMON DesignersMusic CompositionSound Effects & POKéMON VoicesGame DesignersScenario PlotScenarioScript DesignersMap DesignersMap Data DesignersParametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao TayaSatoshi Nohara,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_7f5599cccacbe577,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,78,sCreditsText_PkmnDesigners,PRESERVE_EXISTING,POKéMON DesignersMusic CompositionSound Effects & POKéMON VoicesGame DesignersScenario PlotScenarioScript DesignersMap DesignersMap Data DesignersParametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao TayaSatoshi NoharaTomomichi Ohta,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_a80d4a55a3a337a5,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,81,sCreditsText_GameDesigners,PRESERVE_EXISTING,Game DesignersScenario PlotScenarioScript DesignersMap DesignersMap Data DesignersParametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao TayaSatoshi NoharaTomomichi OhtaMiyuki IwasawaTakenori OhtaHironobu Yoshida,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_ccfe58acc7cb6fea,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,84,sCreditsText_ScriptDesigners,PRESERVE_EXISTING,Script DesignersMap DesignersMap Data DesignersParametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao TayaSatoshi NoharaTomomichi OhtaMiyuki IwasawaTakenori OhtaHironobu YoshidaMotofumi FujiwaraSatoshi OhtaAsuka Iwashita,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_c52965c4610df5a1,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,85,sCreditsText_MapDesigners,PRESERVE_EXISTING,Map DesignersMap Data DesignersParametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao TayaSatoshi NoharaTomomichi OhtaMiyuki IwasawaTakenori OhtaHironobu YoshidaMotofumi FujiwaraSatoshi OhtaAsuka IwashitaAimi Tomita,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_3c38c2b99791a878,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,86,sCreditsText_MapDataDesigners,PRESERVE_EXISTING,Map Data DesignersParametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao TayaSatoshi NoharaTomomichi OhtaMiyuki IwasawaTakenori OhtaHironobu YoshidaMotofumi FujiwaraSatoshi OhtaAsuka IwashitaAimi TomitaTakao Unno,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_4d8bc38936a34a4e,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,87,sCreditsText_ParametricDesigners,PRESERVE_EXISTING,Parametric Designers{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{3}{2}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{130}{2}{0}{244}{7}{1}Environment & Tool ProgrammersNCL Product TestingSpecial ThanksCoordinatorsProducersExecutive ProducersInformation SupervisorsTask ManagersBraille Code CheckWorld DirectorBattle Frontier DataSupport ProgrammersArtworkLead ProgrammerLead Graphic ArtistSatoshi TajiriJunichi MasudaKen SugimoriShigeki MorimotoTetsuya WatanabeHisashi SogabeSosuke TamadaAkito MoriKeita KagayaYoshinori MatsudaHiroyuki NakamuraMasao TayaSatoshi NoharaTomomichi OhtaMiyuki IwasawaTakenori OhtaHironobu YoshidaMotofumi FujiwaraSatoshi OhtaAsuka IwashitaAimi TomitaTakao UnnoKanako Eo,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_4768ec0b536feee7,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Credits text is a separate player-facing localization scope; retain for later scope decision.,src/data/credits.h,200,sCreditsText_GraphicDesigner,PRESERVE_EXISTING,Graphic DesignerNOA Product TestingHideyuki NakajimaHidenori SaekiYoko WatanabeSakae KimuraChiaki ShinkaiSeth McMahillNob OgasawaraTeresa LillygrenKimiko NakamichiSouichi YamamotoYuichiro ItoThomas HertzogMika KurosawaNational Federation of the BlindPatricia A. MaurerEuropean Blind UnionAustralian Braille AuthorityRoyal New Zealand Federation for the BlindMotoyasu TojimaNicola Pratt-BarlowShellie DowErik Johnson,USER_DECISION:END_CREDITS_TERMINAL_PRESERVE
dlg_db6a55f35c33c5d5,sign,Unclassified,sign,HOLD_FOR_SCOPE_DECISION,HOLD,,Not an in-world sign. Easy Chat vocabulary is a separate localization scope; retain for later scope decision.,src/data/easy_chat/easy_chat_group_hobbies.h,35,gEasyChatWord_Design,NEEDS_TRANSLATION,DESIGNLOCOMOTIVEPLUSH DOLLPCFLOWERSHERONAPHEROINEFASHIONADVENTUREBOARDBALLBOOKFESTIVALCOMICSHOLIDAYPLANSTRENDYVACATIONLOOK,USER_DECISION:EASY_CHAT_TRANSLATE
