entry_index,trainer_class_constant,english_name,scope_status,thai_name,note
1,TRAINER_CLASS_PKMN_TRAINER_1,{PKMN} TRAINER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
2,TRAINER_CLASS_PKMN_TRAINER_2,{PKMN} TRAINER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
3,TRAINER_CLASS_HIKER,HIKER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
4,TRAINER_CLASS_TEAM_AQUA,TEAM AQUA,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
5,TRAINER_CLASS_PKMN_BREEDER,{PKMN} BREEDER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
6,TRAINER_CLASS_COOLTRAINER,COOLTRAINER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
7,TRAINER_CLASS_BIRD_KEEPER,BIRD KEEPER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
8,TRAINER_CLASS_COLLECTOR,COLLECTOR,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
9,TRAINER_CLASS_SWIMMER_M,SWIMMER♂,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
10,TRAINER_CLASS_TEAM_MAGMA,TEAM MAGMA,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
11,TRAINER_CLASS_EXPERT,EXPERT,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
12,TRAINER_CLASS_AQUA_ADMIN,AQUA ADMIN,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
13,TRAINER_CLASS_BLACK_BELT,BLACK BELT,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
14,TRAINER_CLASS_AQUA_LEADER,AQUA LEADER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
15,TRAINER_CLASS_HEX_MANIAC,HEX MANIAC,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
16,TRAINER_CLASS_AROMA_LADY,AROMA LADY,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
17,TRAINER_CLASS_RUIN_MANIAC,RUIN MANIAC,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
18,TRAINER_CLASS_INTERVIEWER,INTERVIEWER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
19,TRAINER_CLASS_TUBER_F,TUBER,NEEDS_TRANSLATION,,User-approved Trainer Class translation scope; individual Trainer names excluded.
