species,display_key,thai_name,glyph_count,name_width_px,gender_budget_px,worst_case_total_px,hard_width_px,remaining_without_gender_px,status
SPECIES_BULBASAUR,BULBASAUR,,8,48,5,53,56,8,PASS
SPECIES_IVYSAUR,IVYSAUR,,5,32,5,37,56,24,PASS
SPECIES_VENUSAUR,VENUSAUR,,7,44,5,49,56,12,PASS
SPECIES_CHARMANDER,CHARMANDER,,8,42,5,47,56,14,PASS
SPECIES_CHARMELEON,CHARMELEON,,6,34,5,39,56,22,PASS
SPECIES_CHARIZARD,CHARIZARD,,6,38,5,43,56,18,PASS
SPECIES_SQUIRTLE,SQUIRTLE,,8,45,5,50,56,11,PASS
SPECIES_WARTORTLE,WARTORTLE,,5,28,5,33,56,28,PASS
SPECIES_BLASTOISE,BLASTOISE,,6,35,5,40,56,21,PASS
SPECIES_CATERPIE,CATERPIE,,7,40,5,45,56,16,PASS
SPECIES_METAPOD,METAPOD,,7,41,5,46,56,15,PASS
SPECIES_BUTTERFREE,BUTTERFREE,,8,52,5,57,56,4,RISK_WITH_GENDER
SPECIES_WEEDLE,WEEDLE,,4,24,5,29,56,32,PASS
SPECIES_KAKUNA,KAKUNA,,4,27,5,32,56,29,PASS
SPECIES_BEEDRILL,BEEDRILL,,5,28,5,33,56,28,PASS
SPECIES_PIDGEY,PIDGEY,,5,32,5,37,56,24,PASS
SPECIES_PIDGEOTTO,PIDGEOTTO,,5,32,5,37,56,24,PASS
SPECIES_PIDGEOT,PIDGEOT,,5,31,5,36,56,25,PASS
SPECIES_RATTATA,RATTATA,,6,35,5,40,56,21,PASS
SPECIES_RATICATE,RATICATE,,4,23,5,28,56,33,PASS
SPECIES_SPEAROW,SPEAROW,,8,48,5,53,56,8,PASS
SPECIES_FEAROW,FEAROW,,6,38,5,43,56,18,PASS
SPECIES_EKANS,EKANS,,4,22,5,27,56,34,PASS
SPECIES_ARBOK,ARBOK,,5,28,5,33,56,28,PASS
SPECIES_PIKACHU,PIKACHU,,4,25,5,30,56,31,PASS
SPECIES_RAICHU,RAICHU,,3,17,5,22,56,39,PASS
SPECIES_SANDSHREW,SANDSHREW,,4,29,5,34,56,27,PASS
SPECIES_SANDSLASH,SANDSLASH,,7,52,5,57,56,4,RISK_WITH_GENDER
SPECIES_NIDORAN_F,NIDORAN_F,,5,33,5,38,56,23,PASS
SPECIES_NIDORINA,NIDORINA,,6,38,5,43,56,18,PASS
SPECIES_NIDOQUEEN,NIDOQUEEN,,6,41,5,46,56,15,PASS
SPECIES_NIDORAN_M,NIDORAN_M,,5,33,5,38,56,23,PASS
SPECIES_NIDORINO,NIDORINO,,6,39,5,44,56,17,PASS
SPECIES_NIDOKING,NIDOKING,,5,31,5,36,56,25,PASS
SPECIES_CLEFAIRY,CLEFAIRY,,3,21,5,26,56,35,PASS
SPECIES_CLEFABLE,CLEFABLE,,3,22,5,27,56,34,PASS
SPECIES_VULPIX,VULPIX,,5,31,5,36,56,25,PASS
SPECIES_NINETALES,NINETALES,,5,34,5,39,56,22,PASS
SPECIES_JIGGLYPUFF,JIGGLYPUFF,,3,22,5,27,56,34,PASS
SPECIES_WIGGLYTUFF,WIGGLYTUFF,,4,29,5,34,56,27,PASS
SPECIES_ZUBAT,ZUBAT,,4,28,5,33,56,28,PASS
SPECIES_GOLBAT,GOLBAT,,6,38,5,43,56,18,PASS
SPECIES_ODDISH,ODDISH,,10,60,5,65,56,-4,OVERFLOW
SPECIES_GLOOM,GLOOM,,7,43,5,48,56,13,PASS
SPECIES_VILEPLUME,VILEPLUME,,8,43,5,48,56,13,PASS
SPECIES_PARAS,PARAS,,4,23,5,28,56,33,PASS
SPECIES_PARASECT,PARASECT,,8,46,5,51,56,10,PASS
SPECIES_VENONAT,VENONAT,,5,31,5,36,56,25,PASS
SPECIES_VENOMOTH,VENOMOTH,,6,40,5,45,56,16,PASS
SPECIES_DIGLETT,DIGLETT,,4,24,5,29,56,32,PASS
SPECIES_DUGTRIO,DUGTRIO,,6,37,5,42,56,19,PASS
SPECIES_MEOWTH,MEOWTH,,4,24,5,29,56,32,PASS
SPECIES_PERSIAN,PERSIAN,,8,47,5,52,56,9,PASS
SPECIES_PSYDUCK,PSYDUCK,,4,25,5,30,56,31,PASS
SPECIES_GOLDUCK,GOLDUCK,,5,30,5,35,56,26,PASS
SPECIES_MANKEY,MANKEY,,4,29,5,34,56,27,PASS
SPECIES_PRIMEAPE,PRIMEAPE,,8,45,5,50,56,11,PASS
SPECIES_GROWLITHE,GROWLITHE,,4,22,5,27,56,34,PASS
SPECIES_ARCANINE,ARCANINE,,3,21,5,26,56,35,PASS
SPECIES_POLIWAG,POLIWAG,,9,51,5,56,56,5,PASS
SPECIES_POLIWHIRL,POLIWHIRL,,8,46,5,51,56,10,PASS
SPECIES_POLIWRATH,POLIWRATH,,8,45,5,50,56,11,PASS
SPECIES_ABRA,ABRA,,3,18,5,23,56,38,PASS
SPECIES_KADABRA,KADABRA,,6,29,5,34,56,27,PASS
SPECIES_ALAKAZAM,ALAKAZAM,,3,23,5,28,56,33,PASS
SPECIES_MACHOP,MACHOP,,4,26,5,31,56,30,PASS
SPECIES_MACHOKE,MACHOKE,,4,23,5,28,56,33,PASS
SPECIES_MACHAMP,MACHAMP,,4,25,5,30,56,31,PASS
SPECIES_BELLSPROUT,BELLSPROUT,,8,50,5,55,56,6,PASS
SPECIES_WEEPINBELL,WEEPINBELL,,5,30,5,35,56,26,PASS
SPECIES_VICTREEBEL,VICTREEBEL,,6,39,5,44,56,17,PASS
SPECIES_TENTACOOL,TENTACOOL,,10,55,5,60,56,1,RISK_WITH_GENDER
SPECIES_TENTACRUEL,TENTACRUEL,,9,50,5,55,56,6,PASS
SPECIES_GEODUDE,GEODUDE,,7,41,5,46,56,15,PASS
SPECIES_GRAVELER,GRAVELER,,5,30,5,35,56,26,PASS
SPECIES_GOLEM,GOLEM,,7,39,5,44,56,17,PASS
SPECIES_PONYTA,PONYTA,,5,32,5,37,56,24,PASS
SPECIES_RAPIDASH,RAPIDASH,,6,38,5,43,56,18,PASS
SPECIES_SLOWPOKE,SLOWPOKE,,4,21,5,26,56,35,PASS
SPECIES_SLOWBRO,SLOWBRO,,6,35,5,40,56,21,PASS
SPECIES_MAGNEMITE,MAGNEMITE,,4,25,5,30,56,31,PASS
SPECIES_MAGNETON,MAGNETON,,7,42,5,47,56,14,PASS
SPECIES_FARFETCHD,FARFETCHD,,7,40,5,45,56,16,PASS
SPECIES_DODUO,DODUO,,4,24,5,29,56,32,PASS
SPECIES_DODRIO,DODRIO,,7,41,5,46,56,15,PASS
SPECIES_SEEL,SEEL,,6,34,5,39,56,22,PASS
SPECIES_DEWGONG,DEWGONG,,4,26,5,31,56,30,PASS
SPECIES_GRIMER,GRIMER,,8,45,5,50,56,11,PASS
