id,raw_category,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,source_file,source_line,source_label
dlg_0fbe27f65b285940,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_CaptainsOffice/scripts.inc,24,AbandonedShip_CaptainsOffice_Text_NoSuccessFindingScanner
dlg_4974cc726ad9bffb,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_CaptainsOffice/scripts.inc,30,AbandonedShip_CaptainsOffice_Text_OhCanYouDeliverScanner
dlg_6fd861f89593f9be,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_CaptainsOffice/scripts.inc,37,AbandonedShip_CaptainsOffice_Text_ThisIsSSCactus
dlg_526c3c12a3a16e6c,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Corridors_1F/scripts.inc,12,AbandonedShip_Corridors_1F_Text_CharlieIntro
dlg_e5cd681116847c27,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Corridors_1F/scripts.inc,16,AbandonedShip_Corridors_1F_Text_CharlieDefeat
dlg_c939fd14c944ce60,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Corridors_1F/scripts.inc,19,AbandonedShip_Corridors_1F_Text_CharliePostBattle
dlg_7e06d4e83218ec11,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Corridors_1F/scripts.inc,23,AbandonedShip_Corridors_1F_Text_IsntItFunHere
dlg_33c8d96912b57638,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,55,AbandonedShip_Corridors_B1F_Text_DuncanIntro
dlg_7f51002ce6ded3a6,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,60,AbandonedShip_Corridors_B1F_Text_DuncanDefeat
dlg_2f9156914c1c5042,battle,Unclassified,battle,HOLD_FOR_SCOPE_DECISION,HOLD,,Raw inventory row; scope not explicitly approved.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,63,AbandonedShip_Corridors_B1F_Text_DuncanPostBattle
dlg_2fdf85db49dcd2ce,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,69,AbandonedShip_Corridors_B1F_Text_YayItsAShip
dlg_ed2d4b35e2492c93,interaction,Unclassified,interaction,TRANSLATE_REQUIRED,DONE,,Player-facing Phase F scope locked: interaction requires Thai translation.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,73,AbandonedShip_Corridors_B1F_Text_DoorIsLocked
dlg_da8007ccaff8a40f,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,77,AbandonedShip_Corridors_B1F_Text_InsertedStorageKey
dlg_317408d107a22a31,interaction,Unclassified,interaction,TRANSLATE_REQUIRED,DONE,,Player-facing Phase F scope locked: interaction requires Thai translation.,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,83,AbandonedShip_Text_TheDoorIsOpen
dlg_3da2eb5376cffa7f,interaction,Unclassified,interaction,TRANSLATE_REQUIRED,DONE,,Player-facing Phase F scope locked: interaction requires Thai translation.,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,133,AbandonedShip_HiddenFloorCorridors_Text_Rm1DoorIsLocked
dlg_18d6d9c375d6e943,interaction,Unclassified,interaction,TRANSLATE_REQUIRED,DONE,,Player-facing Phase F scope locked: interaction requires Thai translation.,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,137,AbandonedShip_HiddenFloorCorridors_Text_Rm2DoorIsLocked
dlg_38172f7228664d1b,interaction,Unclassified,interaction,TRANSLATE_REQUIRED,DONE,,Player-facing Phase F scope locked: interaction requires Thai translation.,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,141,AbandonedShip_HiddenFloorCorridors_Text_Rm4DoorIsLocked
dlg_9266e59cd2b77fe9,interaction,Unclassified,interaction,TRANSLATE_REQUIRED,DONE,,Player-facing Phase F scope locked: interaction requires Thai translation.,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,145,AbandonedShip_HiddenFloorCorridors_Text_Rm6DoorIsLocked
dlg_8e898a4c395290d9,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,149,AbandonedShip_HiddenFloorCorridors_Text_InsertedKey
dlg_8ed3a2e688e73ab6,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_HiddenFloorRooms/scripts.inc,113,AbandonedShip_HiddenFloorRooms_Text_BrightShinyTrash
dlg_8f3fcb142bfec824,optional_npc,Unclassified,optional_npc,TRANSLATE_REQUIRED,DONE,Phase F Wave 08,Translated in Phase F Wave 08; source precompose and build passed.,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,51,AbandonedShip_Rooms2_1F_Text_DanIntro
