species_index,species_constant,english_name,japanese_name,thai_name,reference_status,review_required
1,SPECIES_BULBASAUR,BULBASAUR,フシギダネ,ฟุชิกิดาเนะ,LOCKED_GLOSSARY,NO
2,SPECIES_IVYSAUR,IVYSAUR,フシギソウ,ฟุชิกิโซ,TRANSLATED_DRAFT,NO
3,SPECIES_VENUSAUR,VENUSAUR,フシギバナ,ฟุชิกิบานะ,TRANSLATED_DRAFT,NO
4,SPECIES_CHARMANDER,CHARMANDER,ヒトカゲ,ฮิโตคาเงะ,LOCKED_GLOSSARY,NO
5,SPECIES_CHARMELEON,CHARMELEON,リザード,ริซาโดะ,LOCKED_GLOSSARY,NO
6,SPECIES_CHARIZARD,CHARIZARD,リザードン,ริซาดอน,TRANSLATED_DRAFT,NO
7,SPECIES_SQUIRTLE,SQUIRTLE,ゼニガメ,เซนิกาเมะ,LOCKED_GLOSSARY,NO
8,SPECIES_WARTORTLE,WARTORTLE,カメール,คาเมล,TRANSLATED_DRAFT,NO
9,SPECIES_BLASTOISE,BLASTOISE,カメックス,คาเม็กซ์,TRANSLATED_DRAFT,NO
10,SPECIES_CATERPIE,CATERPIE,キャタピー,คาเตอร์ปี,LOCKED_GLOSSARY,NO
11,SPECIES_METAPOD,METAPOD,トランセル,ทรานเซล,LOCKED_GLOSSARY,NO
12,SPECIES_BUTTERFREE,BUTTERFREE,バタフリー,บัตเตอร์ฟรี,LOCKED_GLOSSARY,NO
13,SPECIES_WEEDLE,WEEDLE,ビードル,บีเดิล,LOCKED_GLOSSARY,NO
14,SPECIES_KAKUNA,KAKUNA,コクーン,โคคูน,TRANSLATED_DRAFT,NO
15,SPECIES_BEEDRILL,BEEDRILL,スピアー,สเปียร์,TRANSLATED_DRAFT,NO
16,SPECIES_PIDGEY,PIDGEY,ポッポ,ป็อปโป,LOCKED_GLOSSARY,NO
17,SPECIES_PIDGEOTTO,PIDGEOTTO,ピジョン,พีเจียน,LOCKED_GLOSSARY,NO
18,SPECIES_PIDGEOT,PIDGEOT,ピジョット,พีเจียต,LOCKED_GLOSSARY,NO
19,SPECIES_RATTATA,RATTATA,コラッタ,โครัตตา,LOCKED_GLOSSARY,NO
20,SPECIES_RATICATE,RATICATE,ラッタ,รัตตา,TRANSLATED_DRAFT,NO
21,SPECIES_SPEAROW,SPEAROW,オニスズメ,โอนิสึซึเมะ,LOCKED_GLOSSARY,NO
22,SPECIES_FEAROW,FEAROW,オニドリル,โอนิดริล,LOCKED_GLOSSARY,NO
23,SPECIES_EKANS,EKANS,アーボ,อาโบ,TRANSLATED_DRAFT,NO
24,SPECIES_ARBOK,ARBOK,アーボック,อาโบก,TRANSLATED_DRAFT,NO
25,SPECIES_PIKACHU,PIKACHU,ピカチュウ,พิคาชู,LOCKED_GLOSSARY,NO
26,SPECIES_RAICHU,RAICHU,ライチュウ,ไรชู,TRANSLATED_DRAFT,NO
27,SPECIES_SANDSHREW,SANDSHREW,サンド,แซนด์,LOCKED_GLOSSARY,NO
28,SPECIES_SANDSLASH,SANDSLASH,サンドパン,แซนด์แพน,TRANSLATED_DRAFT,NO
29,SPECIES_NIDORAN_F,NIDORAN♀,ニドラン♀,นิโดรัน♀,LOCKED_GLOSSARY,NO
30,SPECIES_NIDORINA,NIDORINA,ニドリーナ,นิโดรีนา,TRANSLATED_DRAFT,NO
31,SPECIES_NIDOQUEEN,NIDOQUEEN,ニドクイン,นิโดควีน,TRANSLATED_DRAFT,NO
32,SPECIES_NIDORAN_M,NIDORAN♂,ニドラン♂,นิโดรัน♂,LOCKED_GLOSSARY,NO
33,SPECIES_NIDORINO,NIDORINO,ニドリーノ,นิโดริโน,LOCKED_GLOSSARY,NO
34,SPECIES_NIDOKING,NIDOKING,ニドキング,นิโดคิง,TRANSLATED_DRAFT,NO
35,SPECIES_CLEFAIRY,CLEFAIRY,ピッピ,ปิปปี,LOCKED_GLOSSARY,NO
36,SPECIES_CLEFABLE,CLEFABLE,ピクシー,พิคซี,TRANSLATED_DRAFT,NO
37,SPECIES_VULPIX,VULPIX,ロコン,โรคอน,LOCKED_GLOSSARY,NO
38,SPECIES_NINETALES,NINETALES,キュウコン,คิวคอน,LOCKED_GLOSSARY,NO
39,SPECIES_JIGGLYPUFF,JIGGLYPUFF,プリン,พูริน,LOCKED_GLOSSARY,NO
40,SPECIES_WIGGLYTUFF,WIGGLYTUFF,プクリン,พุคุริน,LOCKED_GLOSSARY,NO
41,SPECIES_ZUBAT,ZUBAT,ズバット,ซูแบต,LOCKED_GLOSSARY,NO
42,SPECIES_GOLBAT,GOLBAT,ゴルバット,โกลแบต,TRANSLATED_DRAFT,NO
43,SPECIES_ODDISH,ODDISH,ナゾノクサ,นาโซโนะคุสะ,LOCKED_GLOSSARY,NO
44,SPECIES_GLOOM,GLOOM,クサイハナ,คุไซฮานะ,TRANSLATED_DRAFT,NO
45,SPECIES_VILEPLUME,VILEPLUME,ラフレシア,ราเฟรเซีย,TRANSLATED_DRAFT,NO
46,SPECIES_PARAS,PARAS,パラス,พารัส,TRANSLATED_DRAFT,NO
47,SPECIES_PARASECT,PARASECT,パラセクト,พาราเซคท์,TRANSLATED_DRAFT,NO
48,SPECIES_VENONAT,VENONAT,コンパン,คอมปัง,TRANSLATED_DRAFT,NO
49,SPECIES_VENOMOTH,VENOMOTH,モルフォン,มอร์ฟอน,TRANSLATED_DRAFT,NO
50,SPECIES_DIGLETT,DIGLETT,ディグダ,ดิกดา,LOCKED_GLOSSARY,NO
51,SPECIES_DUGTRIO,DUGTRIO,ダグトリオ,ดักทริโอ,TRANSLATED_DRAFT,NO
52,SPECIES_MEOWTH,MEOWTH,ニャース,เนียส,LOCKED_GLOSSARY,NO
53,SPECIES_PERSIAN,PERSIAN,ペルシアン,เปอร์เซียน,LOCKED_GLOSSARY,NO
54,SPECIES_PSYDUCK,PSYDUCK,コダック,โคดัก,LOCKED_GLOSSARY,NO
55,SPECIES_GOLDUCK,GOLDUCK,ゴルダック,โกลดัก,TRANSLATED_DRAFT,NO
56,SPECIES_MANKEY,MANKEY,マンキー,แมนคี,LOCKED_GLOSSARY,NO
57,SPECIES_PRIMEAPE,PRIMEAPE,オコリザル,โอโคริซารุ,TRANSLATED_DRAFT,NO
58,SPECIES_GROWLITHE,GROWLITHE,ガーディ,การ์ดี,LOCKED_GLOSSARY,NO
59,SPECIES_ARCANINE,ARCANINE,ウインディ,วินดี,TRANSLATED_DRAFT,NO
60,SPECIES_POLIWAG,POLIWAG,ニョロモ,เนียวโรโมะ,LOCKED_GLOSSARY,NO
61,SPECIES_POLIWHIRL,POLIWHIRL,ニョロゾ,เนียวโรโซ,LOCKED_GLOSSARY,NO
62,SPECIES_POLIWRATH,POLIWRATH,ニョロボン,เนียวโรบง,LOCKED_GLOSSARY,NO
63,SPECIES_ABRA,ABRA,ケーシィ,เคซี,LOCKED_GLOSSARY,NO
64,SPECIES_KADABRA,KADABRA,ユンゲラー,ยุงเกรา,TRANSLATED_DRAFT,NO
65,SPECIES_ALAKAZAM,ALAKAZAM,フーディン,ฟูดิน,TRANSLATED_DRAFT,NO
66,SPECIES_MACHOP,MACHOP,ワンリキー,วันริกี,LOCKED_GLOSSARY,NO
67,SPECIES_MACHOKE,MACHOKE,ゴーリキー,โกริกี,LOCKED_GLOSSARY,NO
68,SPECIES_MACHAMP,MACHAMP,カイリキー,ไคริกี,TRANSLATED_DRAFT,NO
69,SPECIES_BELLSPROUT,BELLSPROUT,マダツボミ,มาดัตสึโบมิ,TRANSLATED_DRAFT,NO
70,SPECIES_WEEPINBELL,WEEPINBELL,ウツドン,อุตสึดง,TRANSLATED_DRAFT,NO
71,SPECIES_VICTREEBEL,VICTREEBEL,ウツボット,อุตสึบ็อต,TRANSLATED_DRAFT,NO
72,SPECIES_TENTACOOL,TENTACOOL,メノクラゲ,เมโนคุราเกะ,LOCKED_GLOSSARY,NO
73,SPECIES_TENTACRUEL,TENTACRUEL,ドククラゲ,โดคุคุราเกะ,TRANSLATED_DRAFT,NO
74,SPECIES_GEODUDE,GEODUDE,イシツブテ,อิชิสึบูเตะ,LOCKED_GLOSSARY,NO
75,SPECIES_GRAVELER,GRAVELER,ゴローン,โกรอน,TRANSLATED_DRAFT,NO
76,SPECIES_GOLEM,GOLEM,ゴローニャ,โกโรเนีย,TRANSLATED_DRAFT,NO
77,SPECIES_PONYTA,PONYTA,ポニータ,โพนีตา,TRANSLATED_DRAFT,NO
78,SPECIES_RAPIDASH,RAPIDASH,ギャロップ,แกลล็อป,LOCKED_GLOSSARY,NO
79,SPECIES_SLOWPOKE,SLOWPOKE,ヤドン,ยาดง,LOCKED_GLOSSARY,NO
80,SPECIES_SLOWBRO,SLOWBRO,ヤドラン,ยาโดรัน,NEEDS_REVIEW_GLOSSARY_CHANGE,YES
81,SPECIES_MAGNEMITE,MAGNEMITE,コイル,คอยล์,TRANSLATED_DRAFT,NO
82,SPECIES_MAGNETON,MAGNETON,レアコイル,แรร์คอยล์,TRANSLATED_DRAFT,NO
83,SPECIES_FARFETCHD,FARFETCH'D,カモネギ,คาโมเนงิ,TRANSLATED_DRAFT,NO
84,SPECIES_DODUO,DODUO,ドードー,โดโด,LOCKED_GLOSSARY,NO
85,SPECIES_DODRIO,DODRIO,ドードリオ,โดโดริโอ,LOCKED_GLOSSARY,NO
86,SPECIES_SEEL,SEEL,パウワウ,พาววาว,LOCKED_GLOSSARY,NO
87,SPECIES_DEWGONG,DEWGONG,ジュゴン,จูกอน,TRANSLATED_DRAFT,NO
88,SPECIES_GRIMER,GRIMER,ベトベター,เบโตเบตา,LOCKED_GLOSSARY,NO
89,SPECIES_MUK,MUK,ベトベトン,เบโตเบตง,TRANSLATED_DRAFT,NO
90,SPECIES_SHELLDER,SHELLDER,シェルダー,เชลเดอร์,TRANSLATED_DRAFT,NO
91,SPECIES_CLOYSTER,CLOYSTER,パルシェン,พาร์เชน,LOCKED_GLOSSARY,NO
92,SPECIES_GASTLY,GASTLY,ゴース,โกส,TRANSLATED_DRAFT,NO
93,SPECIES_HAUNTER,HAUNTER,ゴースト,โกสต์,LOCKED_GLOSSARY,NO
94,SPECIES_GENGAR,GENGAR,ゲンガー,เกงการ์,TRANSLATED_DRAFT,NO
95,SPECIES_ONIX,ONIX,イワーク,อิวาร์ค,LOCKED_GLOSSARY,NO
96,SPECIES_DROWZEE,DROWZEE,スリープ,สลีป,LOCKED_GLOSSARY,NO
97,SPECIES_HYPNO,HYPNO,スリーパー,สลีเปอร์,TRANSLATED_DRAFT,NO
98,SPECIES_KRABBY,KRABBY,クラブ,คราบ,TRANSLATED_DRAFT,NO
99,SPECIES_KINGLER,KINGLER,キングラー,คิงเกลอร์,TRANSLATED_DRAFT,NO
