table,index,source_offset_hex,entry_size,source_hex,source_jp,translation_th,status,compiled_length_current_pipeline,max_width_estimate_px,glyph_pages,fits_fixed_entry_current_pipeline,compile_status,translator_note
SPECIES,0,0x00203CB8,6,AC AC AC AC AC FF,？？？？？,?,SYSTEM_RESERVED,,,,,,ช่องสำรอง index 0
SPECIES,1,0x00203CBE,6,6C 5C 88 91 68 FF,フシギダネ,ฟุชิกิดาเนะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,2,0x00203CC4,6,6C 5C 88 5F 53 FF,フシギソウ,ฟุชิกิโซ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,3,0x00203CCA,6,6C 5C 88 96 65 FF,フシギバナ,ฟุชิกิบานะ,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,4,0x00203CD0,6,6B 64 56 8A FF 00,ヒトカゲ,ฮิโตคาเงะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,5,0x00203CD6,6,78 8C AE 95 FF 00,リザード,ริซาโดะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,6,0x00203CDC,6,78 8C AE 95 7E FF,リザードン,ริซาดอน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,7,0x00203CE2,6,8F 66 87 72 FF 00,ゼニガメ,เซนิกาเมะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,8,0x00203CE8,6,56 72 AE 79 FF 00,カメール,คาเมล,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,9,0x00203CEE,6,56 72 A0 58 5D FF,カメックス,คาเม็กซ์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,10,0x00203CF4,6,57 84 60 9C AE FF,キャタピー,คาเตอร์ปี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,11,0x00203CFA,6,64 77 7E 5E 79 FF,トランセル,ทรานเซล,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,12,0x00203D00,6,96 60 6C 78 AE FF,バタフリー,บัตเตอร์ฟรี,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,13,0x00203D06,6,97 AE 95 79 FF 00,ビードル,บีเดิล,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,14,0x00203D0C,6,5A 58 AE 7E FF 00,コクーン,โคคูน,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,15,0x00203D12,6,5D 9C 51 AE FF 00,スピアー,สเปียร์,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,16,0x00203D18,6,9F A0 9F FF 00 00,ポッポ,ป็อปโป,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,17,0x00203D1E,6,9C 8D 86 7E FF 00,ピジョン,พีเจียน,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,18,0x00203D24,6,9C 8D 86 A0 64 FF,ピジョット,พีเจียต,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,19,0x00203D2A,6,5A 77 A0 60 FF 00,コラッタ,โครัตตา,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,20,0x00203D30,6,77 A0 60 FF 00 00,ラッタ,รัตตา,TRANSLATED_DRAFT,,,,NO,PENDING_POINTER_HOOK,ร่างถอดเสียงจากชื่อภาษาญี่ปุ่น รอตรวจคำสะกดรอบสุดท้าย
SPECIES,21,0x00203D36,6,55 66 5D 8E 72 FF,オニスズメ,โอนิสึซึเมะ,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
SPECIES,22,0x00203D3C,6,55 66 95 78 79 FF,オニドリル,โอนิดริล,LOCKED_GLOSSARY,,,,NO,PENDING_POINTER_HOOK,คำไทยยาวเกินช่องคงที่ ต้อง relocation/hook หรือเปลี่ยน renderer
