ui_id,symbol,translation_review_status,source_injection_status,token_result,shaper_result,width_result,rom_build_status,visual_qa_status
UI0027,gText_BattleMenu,approved,pass,pass,pass,pass,pass,proof_passed
UI0028,gText_BattleSwitchWhich,approved,pass,pass,pass,pass,pass,proof_passed
UI0029,gText_BattleYesNoChoice,approved,pass,pass,pass,pass,pass,proof_passed
UI0246,gText_LinkStandby,approved,pass,pass,pass,pass,pass,proof_passed
UI0277,gText_MoveInterfacePP,approved,pass,pass,pass,pass,pass,proof_passed
UI0278,gText_MoveInterfaceType,approved,pass,pass,pass,pass,pass,proof_passed
UI0431,gText_SafariBallLeft,approved,pass,pass,pass,pass,pass,proof_passed
UI0433,gText_SafariBalls,approved,pass,pass,pass,pass,pass,proof_passed
UI0434,gText_SafariZoneMenu,approved,pass,pass,pass,pass,pass,proof_passed
UI0528,gText_WhatWillPkmnDo,approved,pass,pass,pass,pass,pass,proof_passed
UI0529,gText_WhatWillPkmnDo2,approved,pass,pass,pass,pass,pass,proof_passed
