symbol,source_file,definition_result,shaped_definition_sha256
gText_BattleMenu,src/battle_message.c,exact,5237e5d804928b095ed0e0505006113af744e26dbba7f34c7604e1396c9e1f06
gText_BattleSwitchWhich,src/battle_message.c,exact,b484023a83a4deb2ccbd55895441f78a06c83c7f73c0be1f997c3801430a0027
gText_BattleYesNoChoice,src/battle_message.c,exact,69dfe71769bf841802debf9f185f66140883f924b3ae3a7f3c9bab06d7844036
gText_LinkStandby,src/battle_message.c,exact,07ebd8ed9cc035840acf28c9553bfdc4475f597b4ce471c696acdab534404f96
gText_MoveInterfacePP,src/battle_message.c,exact,61775059a32dd2669302639059871aa3345f1041366b7fdf0ecb0e1605361cd7
gText_MoveInterfaceType,src/battle_message.c,exact,8600d82a57d5028e9119486ca04b4a226919219a9dbf4e4356a9e9030ec4d707
gText_SafariBallLeft,src/battle_message.c,exact,259465a64f38d6ee1dd16ea9393e8a92ba3f29592de3bd454a5681182a5497c1
gText_SafariBalls,src/battle_message.c,exact,e465431386fa4ff049b90cb2300fb5aa0fd2a5f9669dec2d6c7c168497b7a457
gText_SafariZoneMenu,src/battle_message.c,exact,ccd0f8b44c103c237dbe12416b92c84185ba2155244ed3c23dfd0ffd3ec3e07c
gText_WhatWillPkmnDo,src/battle_message.c,exact,6c074db7318b95099ef914adce581633eb2c5f76e38c0792633b3fe76787ccfd
gText_WhatWillPkmnDo2,src/battle_message.c,exact,976852bb96264557933d8d8c18ee2b45e03a8c4dba24b2caa9df6ac3025e4af5
