ui_id,symbol,ui_areas,scope_class,current_text,translation_status,translation_wave,constraint_profile,font_id,x_start_px,window_width_px,available_width_px,hard_width_px,line_capacity,constraint_group_id,constraint_group_budget_px,constraint_status,constraint_confidence,source_file,source_line,source_evidence,mapping_note,qa_route
UI0008,gText_AlreadySavedFile,START_SAVE,core_ui_prompt,"There is already a saved file.
Is it okay to overwrite it?",pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/text/save.inc,5,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0016,gText_BatteryRunDry,MAIN_MENU,system_message,"The internal battery has run dry.
The game can be played.\pHowever, clock-based events will
no longer occur.",pending,pilot_prompts,MAIN_MENU_ERROR,FONT_NORMAL,0,208,208,208,2 visible lines,,,mapped_exact_geometry,high,src/strings.c,38,"MENU_WIDTH_ERROR=26; AddTextPrinterParameterized(window 7, x=0, y=1)",Control codes may paginate or scroll.,"Trigger save corruption, battery, wireless, and Mystery feature errors."
UI0019,gText_BattlePyramidConfirmRest,START_SAVE,core_ui_prompt,"Your BATTLE PYRAMID quest will be
saved so that you may quit for now.\lIs that okay?",pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/maps/BattleFrontier_BattlePyramidFloor/scripts.inc,131,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0020,gText_BattlePyramidConfirmRetire,START_SAVE,core_ui_prompt,"Are you sure you want to quit your
PYRAMID quest?",pending,pilot_prompts,STANDARD_MESSAGE_BOX,FONT_NORMAL,0,216,216,216,2 visible lines,,,mapped_exact_geometry,high,data/maps/BattleFrontier_BattlePyramidFloor/scripts.inc,136,"sStandardTextBox_WindowTemplates width=27; printer x=0, y=1",Control codes may paginate or scroll.,Trigger each prompt and inspect every page.
UI0021,gText_BattlePyramidFloor,START_SAVE,core_ui_prompt,"Battle Pyramid
{STR_VAR_1}",pending,pilot_prompts,PYRAMID_FLOOR,FONT_NORMAL,0,80,80,80,2 lines,,,mapped_exact_geometry,high,src/strings.c,1574,sWindowTemplate_PyramidFloor width=10; text x=0,"Peak variant is wider, but 80 px is the shared safe limit.",Inspect floors 1-7 and Peak.
UI0022,gText_BattleScene,OPTION_MENU,core_ui_label,BATTLE SCENE,pending,pilot_labels,OPTION_ROW_LABEL,FONT_NORMAL,8,208,96,96,1,,,mapped_exact_geometry,high,src/strings.c,1530,WIN_OPTIONS width=26; row label x=8; choices begin at x=104,Label must remain left of the choice region.,Inspect every Option Menu row with all values.
UI0023,gText_BattleSceneOff,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}OFF,pending,pilot_labels,OPTION_PAIR_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_battle_scene,94,mapped_group_budget,high,src/strings.c,1540,left value begins x=104; right value right-aligned to x=198,Both translated values and spacing must fit together inside 94 px.,Cycle both values and inspect selection color changes.
UI0024,gText_BattleSceneOn,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}ON,pending,pilot_labels,OPTION_PAIR_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_battle_scene,94,mapped_group_budget,high,src/strings.c,1539,left value begins x=104; right value right-aligned to x=198,Both translated values and spacing must fit together inside 94 px.,Cycle both values and inspect selection color changes.
UI0025,gText_BattleStyle,OPTION_MENU,core_ui_label,BATTLE STYLE,pending,pilot_labels,OPTION_ROW_LABEL,FONT_NORMAL,8,208,96,96,1,,,mapped_exact_geometry,high,src/strings.c,1531,WIN_OPTIONS width=26; row label x=8; choices begin at x=104,Label must remain left of the choice region.,Inspect every Option Menu row with all values.
UI0026,gText_BattleStyleSet,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}SET,pending,pilot_labels,OPTION_PAIR_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_battle_style,94,mapped_group_budget,high,src/strings.c,1542,left value begins x=104; right value right-aligned to x=198,Both translated values and spacing must fit together inside 94 px.,Cycle both values and inspect selection color changes.
UI0027,gText_BattleStyleShift,OPTION_MENU,core_ui_label,{COLOR GREEN}{SHADOW LIGHT_GREEN}SHIFT,pending,pilot_labels,OPTION_PAIR_CHOICE,FONT_NORMAL,104,208,94 group region,,1,option_battle_style,94,mapped_group_budget,high,src/strings.c,1541,left value begins x=104; right value right-aligned to x=198,Both translated values and spacing must fit together inside 94 px.,Cycle both values and inspect selection color changes.
UI0030,gText_BirchBoy,MAIN_MENU,core_ui_label,BOY,pending,pilot_labels,GENDER_MENU,FONT_NORMAL,8,48,40,40,1,,,mapped_exact_geometry,high,src/strings.c,64,sNewGameBirchSpeechTextWindows[1]: width=6; PrintMenuTable,,Open BOY/GIRL selection and inspect both entries.
UI0031,gText_BirchGirl,MAIN_MENU,core_ui_label,GIRL,pending,pilot_labels,GENDER_MENU,FONT_NORMAL,8,48,40,40,1,,,mapped_exact_geometry,high,src/strings.c,65,sNewGameBirchSpeechTextWindows[1]: width=6; PrintMenuTable,,Open BOY/GIRL selection and inspect both entries.
