profile_id,entry_count,render_context,source_file,source_evidence,font_id,x_start_px,window_width_px,available_width_px,hard_width_px,line_capacity,group_constraint,constraint_status,confidence,qa_route
BIRCH_MESSAGE_BOX,1,New Game Birch speech message box,src/main_menu.c,sNewGameBirchSpeechTextWindows[0]: width=27; AddTextPrinterForMessage,FONT_NORMAL,0,216,216,216,2 visible lines,Control codes may paginate or scroll.,mapped_exact_geometry,high,Start New Game and inspect Birch speech pages.
GENDER_MENU,2,New Game gender selection menu,src/main_menu.c,sNewGameBirchSpeechTextWindows[1]: width=6; PrintMenuTable,FONT_NORMAL,8,48,40,40,1,,mapped_exact_geometry,high,Open BOY/GIRL selection and inspect both entries.
LINK_SAVE_MESSAGE,1,Link-battle save message window,src/start_menu.c,sWindowTemplates_LinkBattleSave width=26; printer x=0,FONT_NORMAL,0,208,208,208,2 visible lines,,mapped_exact_geometry,high,Trigger save after link battle.
MAIN_MENU_ENTRY,6,Main Menu selectable entry,src/main_menu.c,"MENU_WIDTH=26; AddTextPrinterParameterized3(... FONT_NORMAL, x=0, y=1)",FONT_NORMAL,0,208,208,208,1,,mapped_exact_geometry,high,Boot each Main Menu variant and inspect every selectable entry.
MAIN_MENU_ERROR,6,Main Menu error/message window,src/main_menu.c,"MENU_WIDTH_ERROR=26; AddTextPrinterParameterized(window 7, x=0, y=1)",FONT_NORMAL,0,208,208,208,2 visible lines,Control codes may paginate or scroll.,mapped_exact_geometry,high,"Trigger save corruption, battery, wireless, and Mystery feature errors."
MAIN_MENU_SAVE_BADGES,1,Continue panel: BADGES label in the right half,src/main_menu.c,label x=108; one-digit badge count right-aligned to x=208,FONT_NORMAL,108,208,100,,1,Must not collide with the badge count ending at x=208.,mapped_dynamic_pair,high,Load a save and inspect badge counts 0 and 8.
MAIN_MENU_SAVE_PLAYER,1,Continue panel: PLAYER label paired with right-aligned player name,src/main_menu.c,label x=0; player name right-aligned to x=100,FONT_NORMAL,0,208,100,,1,Must not collide with maximum-width player name ending at x=100.,mapped_dynamic_pair,high,Load a save with a maximum-length player name.
MAIN_MENU_SAVE_POKEDEX,1,Continue panel: POKéDEX label paired with right-aligned 3-digit count,src/main_menu.c,label x=0; count right-aligned to x=100,FONT_NORMAL,0,208,100,,1,Must not collide with a 3-digit caught count ending at x=100.,mapped_dynamic_pair,high,Load a save with Pokédex enabled and a 3-digit caught count.
MAIN_MENU_SAVE_TIME,1,Continue panel: TIME label in the right half,src/main_menu.c,label x=108; play time right-aligned to x=208,FONT_NORMAL,108,208,100,,1,Must not collide with HHH:MM ending at x=208.,mapped_dynamic_pair,high,Load a save with a 3-digit hour value.
NAMING_BANNER,1,Naming screen control banner,src/naming_screen.c,WIN_BANNER: width=DISPLAY_TILE_WIDTH=30; FONT_SMALL at x=2,FONT_SMALL,2,240,238,238,1,Button icon control codes count toward layout.,mapped_exact_geometry,high,Open naming screen and inspect MOVE / OK / BACK banner.
