ui_key,symbol,ui_area,usage_file,usage_line,function_or_scope,context_kind,font_direct,alignment_direct,window_and_position_status,source_context,usage_status
global:gText_AlreadySavedFile,gText_AlreadySavedFile,START_SAVE,src/start_menu.c,1043,SaveFileExistsCallback,message_window,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"ShowSaveMessage(gText_AlreadySavedFile, SaveConfirmOverwriteCallback);",active_reference
global:gText_BatteryRunDry,gText_BatteryRunDry,MAIN_MENU,src/main_menu.c,723,Task_MainMenuCheckBattery,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,CreateMainMenuErrorWindow(gText_BatteryRunDry);,active_reference
global:gText_BattlePyramidConfirmRest,gText_BattlePyramidConfirmRest,START_SAVE,src/start_menu.c,986,SaveConfirmSaveCallback,message_window,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"ShowSaveMessage(gText_BattlePyramidConfirmRest, SaveYesNoCallback);",active_reference
global:gText_BattlePyramidConfirmRetire,gText_BattlePyramidConfirmRetire,START_SAVE,src/start_menu.c,1170,BattlePyramidConfirmRetireCallback,message_window,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"ShowSaveMessage(gText_BattlePyramidConfirmRetire, BattlePyramidRetireYesNoCallback);",active_reference
global:gText_BattlePyramidFloor,gText_BattlePyramidFloor,START_SAVE,src/start_menu.c,429,ShowPyramidFloorWindow,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_BattlePyramidFloor);",active_reference
global:gText_BattleScene,gText_BattleScene,OPTION_MENU,src/option_menu.c,82,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"[MENUITEM_BATTLESCENE] = gText_BattleScene,",active_reference
global:gText_BattleSceneOff,gText_BattleSceneOff,OPTION_MENU,src/option_menu.c,464,BattleScene_DrawChoices,right_aligned,FONT_NORMAL,right,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_BattleSceneOff, GetStringRightAlignXOffset(FONT_NORMAL, gText_BattleSceneOff, 198), YPOS_BATTLESCENE, styles[1]);",active_reference
global:gText_BattleSceneOff,gText_BattleSceneOff,OPTION_MENU,src/option_menu.c,464,BattleScene_DrawChoices,right_aligned,FONT_NORMAL,right,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_BattleSceneOff, GetStringRightAlignXOffset(FONT_NORMAL, gText_BattleSceneOff, 198), YPOS_BATTLESCENE, styles[1]);",active_reference
global:gText_BattleSceneOn,gText_BattleSceneOn,OPTION_MENU,src/option_menu.c,463,BattleScene_DrawChoices,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_BattleSceneOn, 104, YPOS_BATTLESCENE, styles[0]);",active_reference
global:gText_BattleStyle,gText_BattleStyle,OPTION_MENU,src/option_menu.c,83,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"[MENUITEM_BATTLESTYLE] = gText_BattleStyle,",active_reference
global:gText_BattleStyleSet,gText_BattleStyleSet,OPTION_MENU,src/option_menu.c,487,BattleStyle_DrawChoices,right_aligned,FONT_NORMAL,right,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_BattleStyleSet, GetStringRightAlignXOffset(FONT_NORMAL, gText_BattleStyleSet, 198), YPOS_BATTLESTYLE, styles[1]);",active_reference
global:gText_BattleStyleSet,gText_BattleStyleSet,OPTION_MENU,src/option_menu.c,487,BattleStyle_DrawChoices,right_aligned,FONT_NORMAL,right,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_BattleStyleSet, GetStringRightAlignXOffset(FONT_NORMAL, gText_BattleStyleSet, 198), YPOS_BATTLESTYLE, styles[1]);",active_reference
global:gText_BattleStyleShift,gText_BattleStyleShift,OPTION_MENU,src/option_menu.c,486,BattleStyle_DrawChoices,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_BattleStyleShift, 104, YPOS_BATTLESTYLE, styles[0]);",active_reference
global:gText_BirchBoy,gText_BirchBoy,MAIN_MENU,src/main_menu.c,456,GLOBAL,menu_action_or_table,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"{gText_BirchBoy, {NULL}},",active_reference
global:gText_BirchGirl,gText_BirchGirl,MAIN_MENU,src/main_menu.c,457,GLOBAL,menu_action_or_table,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"{gText_BirchGirl, {NULL}}",active_reference
global:gText_Birch_BoyOrGirl,gText_Birch_BoyOrGirl,MAIN_MENU,src/main_menu.c,1487,Task_NewGameBirchSpeech_BoyOrGirl,placeholder_expansion,FONT_NORMAL via AddTextPrinterForMessage,left,mapped_to_BIRCH_MESSAGE_BOX_216px,"StringExpandPlaceholders(gStringVar4, gText_Birch_BoyOrGirl);",active_reference
global:gText_BoxName,gText_BoxName,MAIN_MENU,src/naming_screen.c,2106,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,".title = gText_BoxName,",active_reference
global:gText_ButtonMode,gText_ButtonMode,OPTION_MENU,src/option_menu.c,85,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"[MENUITEM_BUTTONMODE]  = gText_ButtonMode,",active_reference
global:gText_ButtonTypeLEqualsA,gText_ButtonTypeLEqualsA,OPTION_MENU,src/option_menu.c,609,ButtonMode_DrawChoices,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"widthLA = GetStringWidth(FONT_NORMAL, gText_ButtonTypeLEqualsA, 0);",active_reference
global:gText_ButtonTypeLEqualsA,gText_ButtonTypeLEqualsA,OPTION_MENU,src/option_menu.c,615,ButtonMode_DrawChoices,right_aligned,FONT_NORMAL,right,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_ButtonTypeLEqualsA, GetStringRightAlignXOffset(FONT_NORMAL, gText_ButtonTypeLEqualsA, 198), YPOS_BUTTONMODE, styles[2]);",active_reference
global:gText_ButtonTypeLEqualsA,gText_ButtonTypeLEqualsA,OPTION_MENU,src/option_menu.c,615,ButtonMode_DrawChoices,right_aligned,FONT_NORMAL,right,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_ButtonTypeLEqualsA, GetStringRightAlignXOffset(FONT_NORMAL, gText_ButtonTypeLEqualsA, 198), YPOS_BUTTONMODE, styles[2]);",active_reference
global:gText_ButtonTypeLR,gText_ButtonTypeLR,OPTION_MENU,src/option_menu.c,608,ButtonMode_DrawChoices,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"widthLR = GetStringWidth(FONT_NORMAL, gText_ButtonTypeLR, 0);",active_reference
global:gText_ButtonTypeLR,gText_ButtonTypeLR,OPTION_MENU,src/option_menu.c,613,ButtonMode_DrawChoices,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_ButtonTypeLR, xLR, YPOS_BUTTONMODE, styles[1]);",active_reference
global:gText_ButtonTypeNormal,gText_ButtonTypeNormal,OPTION_MENU,src/option_menu.c,605,ButtonMode_DrawChoices,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"DrawOptionMenuChoice(gText_ButtonTypeNormal, 104, YPOS_BUTTONMODE, styles[0]);",active_reference
global:gText_ButtonTypeNormal,gText_ButtonTypeNormal,OPTION_MENU,src/option_menu.c,607,ButtonMode_DrawChoices,symbol_reference,FONT_NORMAL,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"widthNormal = GetStringWidth(FONT_NORMAL, gText_ButtonTypeNormal, 0);",active_reference
global:gText_ConfirmSave,gText_ConfirmSave,START_SAVE,src/start_menu.c,990,SaveConfirmSaveCallback,message_window,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"ShowSaveMessage(gText_ConfirmSave, SaveYesNoCallback);",active_reference
global:gText_ContinueMenuBadges,gText_ContinueMenuBadges,MAIN_MENU,src/main_menu.c,2184,MainMenu_FormatSavegameBadges,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ContinueMenuBadges);",active_reference
global:gText_ContinueMenuPlayer,gText_ContinueMenuPlayer,MAIN_MENU,src/main_menu.c,2137,MainMenu_FormatSavegamePlayer,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ContinueMenuPlayer);",active_reference
global:gText_ContinueMenuPokedex,gText_ContinueMenuPokedex,MAIN_MENU,src/main_menu.c,2166,MainMenu_FormatSavegamePokedex,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ContinueMenuPokedex);",active_reference
global:gText_ContinueMenuTime,gText_ContinueMenuTime,MAIN_MENU,src/main_menu.c,2147,MainMenu_FormatSavegameTime,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_ContinueMenuTime);",active_reference
global:gText_DefaultNameAllie,gText_DefaultNameAllie,MAIN_MENU,src/main_menu.c,488,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameAllie,",active_reference
global:gText_DefaultNameAubree,gText_DefaultNameAubree,MAIN_MENU,src/main_menu.c,493,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameAubree,",active_reference
global:gText_DefaultNameBella,gText_DefaultNameBella,MAIN_MENU,src/main_menu.c,486,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameBella,",active_reference
global:gText_DefaultNameBrett,gText_DefaultNameBrett,MAIN_MENU,src/main_menu.c,472,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameBrett,",active_reference
global:gText_DefaultNameCamila,gText_DefaultNameCamila,MAIN_MENU,src/main_menu.c,492,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameCamila,",active_reference
global:gText_DefaultNameCasey,gText_DefaultNameCasey,MAIN_MENU,src/main_menu.c,475,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameCasey,",active_reference
global:gText_DefaultNameCollin,gText_DefaultNameCollin,MAIN_MENU,src/main_menu.c,478,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameCollin,",active_reference
global:gText_DefaultNameDarren,gText_DefaultNameDarren,MAIN_MENU,src/main_menu.c,476,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameDarren,",active_reference
global:gText_DefaultNameEaston,gText_DefaultNameEaston,MAIN_MENU,src/main_menu.c,468,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameEaston,",active_reference
global:gText_DefaultNameHalie,gText_DefaultNameHalie,MAIN_MENU,src/main_menu.c,503,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,gText_DefaultNameHalie,active_reference
global:gText_DefaultNameHazel,gText_DefaultNameHazel,MAIN_MENU,src/main_menu.c,495,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameHazel,",active_reference
global:gText_DefaultNameJaxson,gText_DefaultNameJaxson,MAIN_MENU,src/main_menu.c,467,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameJaxson,",active_reference
global:gText_DefaultNameJayla,gText_DefaultNameJayla,MAIN_MENU,src/main_menu.c,487,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameJayla,",active_reference
global:gText_DefaultNameJohnny,gText_DefaultNameJohnny,MAIN_MENU,src/main_menu.c,471,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameJohnny,",active_reference
global:gText_DefaultNameJude,gText_DefaultNameJude,MAIN_MENU,src/main_menu.c,466,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameJude,",active_reference
global:gText_DefaultNameKenny,gText_DefaultNameKenny,MAIN_MENU,src/main_menu.c,464,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameKenny,",active_reference
global:gText_DefaultNameKimmy,gText_DefaultNameKimmy,MAIN_MENU,src/main_menu.c,484,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameKimmy,",active_reference
global:gText_DefaultNameLandon,gText_DefaultNameLandon,MAIN_MENU,src/main_menu.c,477,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameLandon,",active_reference
global:gText_DefaultNameLianna,gText_DefaultNameLianna,MAIN_MENU,src/main_menu.c,489,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameLianna,",active_reference
global:gText_DefaultNameLillie,gText_DefaultNameLillie,MAIN_MENU,src/main_menu.c,500,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameLillie,",active_reference
global:gText_DefaultNameLucy,gText_DefaultNameLucy,MAIN_MENU,src/main_menu.c,502,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameLucy,",active_reference
global:gText_DefaultNameMilton,gText_DefaultNameMilton,MAIN_MENU,src/main_menu.c,462,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameMilton,",active_reference
global:gText_DefaultNameMonica,gText_DefaultNameMonica,MAIN_MENU,src/main_menu.c,491,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameMonica,",active_reference
global:gText_DefaultNameNadine,gText_DefaultNameNadine,MAIN_MENU,src/main_menu.c,496,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameNadine,",active_reference
global:gText_DefaultNameNicola,gText_DefaultNameNicola,MAIN_MENU,src/main_menu.c,499,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameNicola,",active_reference
global:gText_DefaultNameQuincy,gText_DefaultNameQuincy,MAIN_MENU,src/main_menu.c,480,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,gText_DefaultNameQuincy,active_reference
global:gText_DefaultNameReid,gText_DefaultNameReid,MAIN_MENU,src/main_menu.c,465,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameReid,",active_reference
global:gText_DefaultNameRuthie,gText_DefaultNameRuthie,MAIN_MENU,src/main_menu.c,494,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameRuthie,",active_reference
global:gText_DefaultNameSara,gText_DefaultNameSara,MAIN_MENU,src/main_menu.c,490,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameSara,",active_reference
global:gText_DefaultNameSeth,gText_DefaultNameSeth,MAIN_MENU,src/main_menu.c,473,GLOBAL,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"gText_DefaultNameSeth,",active_reference
