ui_area,source_file,source_line,template_symbol,entry,bg_expr,tilemap_left_expr,tilemap_top_expr,width_expr,height_expr,width_tiles_resolved,height_tiles_resolved,outer_width_px,palette_expr,base_block_expr,constraint_status
MAIN_MENU,src/main_menu.c,291,sWindowTemplates_MainMenu,0,0,MENU_LEFT,MENU_TOP_WIN0,MENU_WIDTH,MENU_HEIGHT_WIN0,26,2,208,15,1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,301,sWindowTemplates_MainMenu,1,0,MENU_LEFT,MENU_TOP_WIN1,MENU_WIDTH,MENU_HEIGHT_WIN1,26,2,208,15,0x35,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,312,sWindowTemplates_MainMenu,2,0,MENU_LEFT,MENU_TOP_WIN2,MENU_WIDTH,MENU_HEIGHT_WIN2,26,6,208,15,1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,322,sWindowTemplates_MainMenu,3,0,MENU_LEFT,MENU_TOP_WIN3,MENU_WIDTH,MENU_HEIGHT_WIN3,26,2,208,15,0x9D,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,332,sWindowTemplates_MainMenu,4,0,MENU_LEFT,MENU_TOP_WIN4,MENU_WIDTH,MENU_HEIGHT_WIN4,26,2,208,15,0xD1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,342,sWindowTemplates_MainMenu,5,0,MENU_LEFT,MENU_TOP_WIN5,MENU_WIDTH,MENU_HEIGHT_WIN5,26,2,208,15,0x105,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,352,sWindowTemplates_MainMenu,6,0,MENU_LEFT,MENU_TOP_WIN6,MENU_WIDTH,MENU_HEIGHT_WIN6,26,2,208,15,0x139,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,362,sWindowTemplates_MainMenu,7,0,MENU_LEFT_ERROR,MENU_TOP_ERROR,MENU_WIDTH_ERROR,MENU_HEIGHT_ERROR,26,4,208,15,0x16D,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,376,sNewGameBirchSpeechTextWindows,0,0,2,15,27,4,27,4,216,15,1,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,385,sNewGameBirchSpeechTextWindows,1,0,3,5,6,4,6,4,48,15,0x6D,outer_window_only_pending_text_padding_mapping
MAIN_MENU,src/main_menu.c,394,sNewGameBirchSpeechTextWindows,2,0,3,2,9,10,9,10,72,15,0x85,outer_window_only_pending_text_padding_mapping
OPTION_MENU,src/option_menu.c,92,sOptionMenuWinTemplates,WIN_HEADER,1,2,1,26,2,26,2,208,1,2,outer_window_only_pending_text_padding_mapping
OPTION_MENU,src/option_menu.c,101,sOptionMenuWinTemplates,WIN_OPTIONS,0,2,5,26,14,26,14,208,1,0x36,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,140,sWindowTemplate_SafariBalls,single,0,1,1,9,4,9,4,72,15,0x8,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,162,sWindowTemplate_PyramidFloor,single,0,1,1,10,4,10,4,80,15,0x8,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,172,sWindowTemplate_PyramidPeak,single,0,1,1,12,4,12,4,96,15,0x8,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,214,sWindowTemplates_LinkBattleSave,0,0,2,15,26,4,26,4,208,15,0x194,outer_window_only_pending_text_padding_mapping
START_SAVE,src/start_menu.c,226,sSaveInfoWindowTemplate,single,0,1,1,14,10,14,10,112,15,8,outer_window_only_pending_text_padding_mapping
