ui_area,source_file,source_line,template_symbol,entry,bg_expr,tilemap_left_expr,tilemap_top_expr,width_expr,height_expr,width_tiles_resolved,height_tiles_resolved,outer_width_px,palette_expr,base_block_expr,constraint_status
BAG,src/item_menu.c,395,sDefaultBagWindows,WIN_ITEM_LIST,0,14,2,15,16,15,16,120,1,0x27,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,404,sDefaultBagWindows,WIN_DESCRIPTION,0,0,13,14,6,14,6,112,1,0x117,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,413,sDefaultBagWindows,WIN_POCKET_NAME,0,4,1,8,2,8,2,64,1,0x1A1,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,422,sDefaultBagWindows,WIN_TMHM_INFO_ICONS,0,1,13,5,6,5,6,40,12,0x16B,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,431,sDefaultBagWindows,WIN_TMHM_INFO,0,7,13,4,6,4,6,32,12,0x189,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,440,sDefaultBagWindows,WIN_MESSAGE,1,2,15,27,4,27,4,216,15,0x1B1,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,454,sContextMenuWindowTemplates,ITEMWIN_1x1,1,22,17,7,2,7,2,56,15,0x21D,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,463,sContextMenuWindowTemplates,ITEMWIN_1x2,1,22,15,7,4,7,4,56,15,0x21D,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,472,sContextMenuWindowTemplates,ITEMWIN_2x2,1,15,15,14,4,14,4,112,15,0x21D,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,481,sContextMenuWindowTemplates,ITEMWIN_2x3,1,15,13,14,6,14,6,112,15,0x21D,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,490,sContextMenuWindowTemplates,ITEMWIN_MESSAGE,1,2,15,27,4,27,4,216,15,0x1B1,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,499,sContextMenuWindowTemplates,ITEMWIN_YESNO_LOW,1,24,15,5,4,5,4,40,15,0x21D,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,508,sContextMenuWindowTemplates,ITEMWIN_YESNO_HIGH,1,21,9,5,4,5,4,40,15,0x21D,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,517,sContextMenuWindowTemplates,ITEMWIN_QUANTITY,1,24,17,5,2,5,2,40,15,0x21D,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,526,sContextMenuWindowTemplates,ITEMWIN_QUANTITY_WIDE,1,18,11,10,2,10,2,80,15,0x245,outer_window_only_pending_text_padding_mapping
BAG,src/item_menu.c,535,sContextMenuWindowTemplates,ITEMWIN_MONEY,1,1,1,10,2,10,2,80,15,0x231,outer_window_only_pending_text_padding_mapping
BATTLE_UI,src/battle_interface.c,760,sHealthboxWindowTemplate,single,0,0,0,8,2,8,2,64,0,0,outer_window_only_pending_text_padding_mapping
