ui_key,symbol,ui_area,usage_file,usage_line,function_or_scope,context_kind,font_direct,alignment_direct,window_and_position_status,source_context,usage_status
global:gText_MoveRelearnerAndPoof,gText_MoveRelearnerAndPoof,MOVE_UI,src/move_relearner.c,714,DoMoveRelearnerMain,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,PrintMessageWithPlaceholders(gText_MoveRelearnerAndPoof);,active_reference
global:gText_MoveRelearnerGiveUp,gText_MoveRelearnerGiveUp,MOVE_UI,src/move_relearner.c,811,HandleInput,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_MoveRelearnerGiveUp);",active_reference
global:gText_MoveRelearnerPkmnForgotMoveAndLearnedNew,gText_MoveRelearnerPkmnForgotMoveAndLearnedNew,MOVE_UI,src/move_relearner.c,723,DoMoveRelearnerMain,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,PrintMessageWithPlaceholders(gText_MoveRelearnerPkmnForgotMoveAndLearnedNew);,active_reference
global:gText_MoveRelearnerPkmnLearnedMove,gText_MoveRelearnerPkmnLearnedMove,MOVE_UI,src/move_relearner.c,525,DoMoveRelearnerMain,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,PrintMessageWithPlaceholders(gText_MoveRelearnerPkmnLearnedMove);,active_reference
global:gText_MoveRelearnerPkmnTryingToLearnMove,gText_MoveRelearnerPkmnTryingToLearnMove,MOVE_UI,src/move_relearner.c,577,DoMoveRelearnerMain,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,PrintMessageWithPlaceholders(gText_MoveRelearnerPkmnTryingToLearnMove);,active_reference
global:gText_MoveRelearnerStopTryingToTeachMove,gText_MoveRelearnerStopTryingToTeachMove,MOVE_UI,src/move_relearner.c,604,DoMoveRelearnerMain,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,PrintMessageWithPlaceholders(gText_MoveRelearnerStopTryingToTeachMove);,active_reference
global:gText_MoveRelearnerTeachMoveConfirm,gText_MoveRelearnerTeachMoveConfirm,MOVE_UI,src/move_relearner.c,819,HandleInput,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_MoveRelearnerTeachMoveConfirm);",active_reference
global:gText_MoveRelearnerWhichMoveToForget,gText_MoveRelearnerWhichMoveToForget,MOVE_UI,src/move_relearner.c,593,DoMoveRelearnerMain,symbol_reference,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,PrintMessageWithPlaceholders(gText_MoveRelearnerWhichMoveToForget);,active_reference
global:gText_TeachWhichMoveToPkmn,gText_TeachWhichMoveToPkmn,MOVE_UI,src/move_relearner.c,772,HideHeartSpritesAndShowTeachMoveText,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_TeachWhichMoveToPkmn);",active_reference
global:gText_TeachWhichMoveToPkmn,gText_TeachWhichMoveToPkmn,MOVE_UI,src/move_relearner.c,840,ShowTeachMoveText,placeholder_expansion,,left_or_dynamic,direct_line_only_pending_call_flow_mapping,"StringExpandPlaceholders(gStringVar4, gText_TeachWhichMoveToPkmn);",active_reference
