visual_page,runtime_page_id,ui_id,symbol,source_page,source_page_count,profile,visual_text,line_widths_px,hard_width_px,remaining_px,visual_qa_status
01,gText_MoveRelearnerAndPoof:P1,UI0285,gText_MoveRelearnerAndPoof,1,2,message,"{PAUSE 32}1, {PAUSE 15}2 แล้วก็ {PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}พรึบ!",101,176,75,proof_passed
02,gText_MoveRelearnerAndPoof:P2,UI0285,gText_MoveRelearnerAndPoof,2,2,message,,0,176,176,proof_passed
03,gText_MoveRelearnerGiveUp:P1,UI0286,gText_MoveRelearnerGiveUp,1,1,message,"จะเลิกสอนท่าใหม่ให้
WWWWWWWWWW ไหม?",91;89,176,85,proof_passed
04,gText_MoveRelearnerPkmnForgotMoveAndLearnedNew:P1,UI0287,gText_MoveRelearnerPkmnForgotMoveAndLearnedNew,1,3,message,"WWWWWWWWWW ลืม
WWWWWWWWWWWW ไปแล้ว",76;107,176,69,proof_passed
05,gText_MoveRelearnerPkmnForgotMoveAndLearnedNew:P2,UI0287,gText_MoveRelearnerPkmnForgotMoveAndLearnedNew,2,3,message,แล้วก็…,31,176,145,proof_passed
06,gText_MoveRelearnerPkmnForgotMoveAndLearnedNew:P3,UI0287,gText_MoveRelearnerPkmnForgotMoveAndLearnedNew,3,3,message,"WWWWWWWWWW เรียนรู้
WWWWWWWWWWWW แล้ว",92;94,176,82,proof_passed
07,gText_MoveRelearnerPkmnLearnedMove:P1,UI0288,gText_MoveRelearnerPkmnLearnedMove,1,1,message,"WWWWWWWWWW เรียนรู้
WWWWWWWWWWWW แล้ว!",92;98,176,78,proof_passed
08,gText_MoveRelearnerPkmnTryingToLearnMove:P1,UI0289,gText_MoveRelearnerPkmnTryingToLearnMove,1,3,message,"WWWWWWWWWW อยากเรียนรู้
WWWWWWWWWWWW",114;72,176,62,proof_passed
09,gText_MoveRelearnerPkmnTryingToLearnMove:P2,UI0289,gText_MoveRelearnerPkmnTryingToLearnMove,2,3,message,"แต่ WWWWWWWWWW จำท่าได้
ไม่เกินสี่ท่า",114;48,176,62,proof_passed
10,gText_MoveRelearnerPkmnTryingToLearnMove:P3,UI0289,gText_MoveRelearnerPkmnTryingToLearnMove,3,3,message,"จะลบท่าเดิมเพื่อให้
เรียนรู้ WWWWWWWWWWWW ไหม?",84;133,176,43,proof_passed
11,gText_MoveRelearnerStopTryingToTeachMove:P1,UI0290,gText_MoveRelearnerStopTryingToTeachMove,1,1,message,"หยุดสอน
WWWWWWWWWWWW ไหม?",40;101,176,75,proof_passed
12,gText_MoveRelearnerTeachMoveConfirm:P1,UI0291,gText_MoveRelearnerTeachMoveConfirm,1,1,message,สอน WWWWWWWWWWWW ไหม?,124,176,52,proof_passed
13,gText_MoveRelearnerWhichMoveToForget:P1,UI0292,gText_MoveRelearnerWhichMoveToForget,1,2,message,จะให้ลืมท่าไหน?,75,176,101,proof_passed
14,gText_MoveRelearnerWhichMoveToForget:P2,UI0292,gText_MoveRelearnerWhichMoveToForget,2,2,message,,0,176,176,proof_passed
15,gText_TeachWhichMoveToPkmn:P1,UI0484,gText_TeachWhichMoveToPkmn,1,1,static,สอนท่าไหนให้ WWWWWWWWWW?,134,176,42,proof_passed
