page,page_title,row_code,symbol,target_text_th,runtime_profile,rendering_result,translation_result,visual_status,evidence_note
1,DESC-A,D01,gText_Able,เข้าร่วมได้,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 1/6 (DESC-A), row D01. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
1,DESC-A,D02,gText_Able2,เข้าร่วมได้,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 1/6 (DESC-A), row D02. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
1,DESC-A,D03,gText_NotAble,เข้าร่วมไม่ได้,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 1/6 (DESC-A), row D03. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
1,DESC-A,D04,gText_Learned,เรียนรู้แล้ว,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 1/6 (DESC-A), row D04. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
1,DESC-A,D05,gText_DontHave,ไม่มี,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 1/6 (DESC-A), row D05. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,DESC-B,D06,gText_Have,มี,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 2/6 (DESC-B), row D06. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,DESC-B,D07,gText_First_PM,ตัวแรก,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 2/6 (DESC-B), row D07. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,DESC-B,D08,gText_Second_PM,ตัวที่สอง,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 2/6 (DESC-B), row D08. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,DESC-B,D09,gText_Third_PM,ตัวที่สาม,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 2/6 (DESC-B), row D09. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,DESC-B,D10,gText_Fourth,ตัวที่สี่,FONT_NORMAL / exact 64 px,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 2/6 (DESC-B), row D10. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
3,ACTION-A,A01,gText_Shift,สลับตัว,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 3/6 (ACTION-A), row A01. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
3,ACTION-A,A02,gText_SendOut,ส่งลงสนาม,FONT_NORMAL / 8 px cursor + 72 px text,pass,pass,proof_passed,"User-confirmed screenshot of Party Batch 2A gallery page 3/6 (ACTION-A), row A02. Thai text displayed completely and readably with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
