ui_id,symbol,source_placeholders,target_placeholders,source_controls,target_controls,intentional_added_control,token_result
UI0001,gText_12PoofForgotMove,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PLAY_SE SE_BALL_BOUNCE_1};\p;\p;{PAUSE_UNTIL_PRESS},{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PLAY_SE SE_BALL_BOUNCE_1};\p;\p;{PAUSE_UNTIL_PRESS},,pass
UI0013,gText_BagFullCouldNotRemoveItem,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0065,gText_CantSwitchWithAlly,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0068,gText_CantUseUntilNewBadge,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0181,gText_EggCantBattle,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0240,gText_ItemThrownAway,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0253,gText_MailSentToPC,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0254,gText_MailTakenFromPkmn,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0256,gText_MailTransferredFromMailbox,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0282,gText_MoveNotLearned,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0296,gText_MovesPPIncreased,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0318,gText_NoMoreThanVar1Pkmn,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0344,gText_PCMailboxFull,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0345,gText_PPWasRestored,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0352,gText_PkmnAdoresBaseVar2Fell,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0353,gText_PkmnAlreadyHoldingItemSwitch,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},\p,\p,,pass
UI0354,gText_PkmnAlreadyInBattle,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0355,gText_PkmnAlreadyKnows,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0356,gText_PkmnAlreadySelected,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0357,gText_PkmnBaseVar2StatIncreased,{STR_VAR_1};{STR_VAR_2},{STR_VAR_2};{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0358,gText_PkmnBecameHealthy,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0359,gText_PkmnBurnHealed,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0362,gText_PkmnCantLearnMove,{STR_VAR_1};{STR_VAR_2};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2};{STR_VAR_2},\p;{PAUSE_UNTIL_PRESS},\p;{PAUSE_UNTIL_PRESS},,pass
UI0363,gText_PkmnCantParticipate,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0364,gText_PkmnCantSwitchOut,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0365,gText_PkmnCuredOfParalysis,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0366,gText_PkmnCuredOfPoison,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0368,gText_PkmnFriendlyBaseVar2CantFall,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0369,gText_PkmnFriendlyBaseVar2Fell,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0370,gText_PkmnGotOverInfatuation,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0371,gText_PkmnHPRestoredByVar2,{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0372,gText_PkmnHasNoEnergy,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0373,gText_PkmnHoldingItemCantHoldMail,,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0377,gText_PkmnNeedsToReplaceMove,{STR_VAR_1};{STR_VAR_2};{STR_VAR_1};{STR_VAR_2},{STR_VAR_1};{STR_VAR_2};{STR_VAR_1};{STR_VAR_2},\p;\p,\p;\p,,pass
UI0378,gText_PkmnNotHolding,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
UI0380,gText_PkmnSnappedOutOfConfusion,{STR_VAR_1},{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},,pass
