ui_id,symbol,source_text,target_text_th,party_profile_id,strictest_profile_id,party_text_origin,hard_width_px,page_count,target_lines_per_page,expanded_line_widths_px,max_expanded_width_px,remaining_px,dynamic_placeholders,placeholder_tokens,source_control_tokens,target_control_tokens,test_expansion,thai_run_count,shaped_command_bytes,shared_cross_screen,left_origin_risk,semantic_note,final_revision_status,translation_review_status,source_injection_status,token_result,shaper_result,width_result,rom_build_status,rom_sha256,visual_qa_status,qa_note
UI0001,gText_12PoofForgotMove,"1, {PAUSE 15}2, and{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}Poof!\p{STR_VAR_1} forgot how to
use {STR_VAR_2}.\pAnd…{PAUSE_UNTIL_PRESS}","1, {PAUSE 15}2 แล้วก็{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}พรึบ!\p{STR_VAR_1} ลืมวิธีใช้
{STR_VAR_2} ไปแล้ว\pแล้วก็…{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,3,1;2;1,98;100;107;31,107,116,yes,{STR_VAR_1};{STR_VAR_2},{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PLAY_SE SE_BALL_BOUNCE_1};\p;\p;{PAUSE_UNTIL_PRESS},{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PAUSE 15};{PLAY_SE SE_BALL_BOUNCE_1};\p;\p;{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW"", ""STR_VAR_2"": ""WWWWWWWWWWWW""}",5,176,no,no,"ลำดับลืมท่า คงจังหวะ Pause, เสียง และ Page break เดิม",approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 1; row code(s) R01, R02, R03). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0013,gText_BagFullCouldNotRemoveItem,"The BAG is full. The POKéMON's
item could not be removed.{PAUSE_UNTIL_PRESS}","กระเป๋าเต็ม จึงเอาไอเทม
ออกจากโปเกมอนไม่ได้{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,106;103,106,117,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},3,288,no,no,เอาไอเทมที่ถือออกไม่ได้เพราะกระเป๋าเต็ม,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 2; row code(s) R04). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0065,gText_CantSwitchWithAlly,"You can't switch {STR_VAR_1}'s
POKéMON with one of yours!{PAUSE_UNTIL_PRESS}","สลับโปเกมอนของ {STR_VAR_1}
กับของคุณไม่ได้!{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,141;76,141,82,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW""}",2,192,no,no,ห้ามสลับโปเกมอนของพันธมิตรกับทีมผู้เล่น,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 2; row code(s) R05). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0068,gText_CantUseUntilNewBadge,"This can't be used until a new
BADGE is obtained.{PAUSE_UNTIL_PRESS}","ยังใช้ไม่ได้จนกว่าจะได้
แบดจ์ใหม่{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,102;47,102,121,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},2,192,no,no,Field move ถูกล็อกจนได้แบดจ์ใหม่; ตัดคำว่า “อัน” เพื่อให้อ่านเป็นธรรมชาติ,revised_after_semantic_review,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 2; row code(s) R06). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0181,gText_EggCantBattle,An EGG can't battle!{PAUSE_UNTIL_PRESS},ไข่ต่อสู้ไม่ได้!{PAUSE_UNTIL_PRESS},PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,1,61,61,162,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},1,72,no,no,ไข่ไม่สามารถลงต่อสู้,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 3; row code(s) R07). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0240,gText_ItemThrownAway,"The {STR_VAR_1}
was thrown away.{PAUSE_UNTIL_PRESS}","ทิ้ง {STR_VAR_1}
ไปแล้ว{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,99;32,99,124,yes,{STR_VAR_1},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWWWWWW""}",2,56,no,no,STR_VAR_1 คือชื่อไอเทม,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 3; row code(s) R08). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0253,gText_MailSentToPC,The MAIL was sent to your PC.{PAUSE_UNTIL_PRESS},ส่งจดหมายไปยัง PC แล้ว{PAUSE_UNTIL_PRESS},PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,1,107,107,116,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},2,120,no,no,จดหมายถูกส่งไปเก็บใน PC,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 3; row code(s) R09). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0254,gText_MailTakenFromPkmn,"MAIL was taken from the
POKéMON.{PAUSE_UNTIL_PRESS}","เอาจดหมายออกจาก
โปเกมอนแล้ว{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,85;62,85,138,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},2,200,no,no,เอาจดหมายที่ถือออกจากโปเกมอน,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 4; row code(s) R10). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0256,gText_MailTransferredFromMailbox,"MAIL was transferred from
the MAILBOX.{PAUSE_UNTIL_PRESS}","ย้ายจดหมายออกจาก
กล่องจดหมายแล้ว{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,87;78,87,136,no,,{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},{},2,224,no,no,ย้ายจดหมายจาก MAILBOX,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 4; row code(s) R11). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
UI0282,gText_MoveNotLearned,"{STR_VAR_1} did not learn the
move {STR_VAR_2}.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} ไม่ได้เรียนรู้
{STR_VAR_2}{PAUSE_UNTIL_PRESS}",PM_SYSTEM_FULL_NORMAL_223x32_X1,PM_SYSTEM_FULL_NORMAL_223x32_X1,"x=1, y=1",223,1,2,118;72,118,105,yes,{STR_VAR_1};{STR_VAR_2},{PAUSE_UNTIL_PRESS},{PAUSE_UNTIL_PRESS},"{""STR_VAR_1"": ""WWWWWWWWWW"", ""STR_VAR_2"": ""WWWWWWWWWWWW""}",1,72,no,no,โปเกมอนไม่ได้เรียนท่าที่เลือก,approved_from_review_v1,approved,pass,pass,pass,pass,pass,5e6a746ec6f48fee32a9cec80b7d2002a3bc8263b36fd901fbc4b1e9c5c9a21e,proof_passed,"Automated source, runtime-token, Thai shaper, dynamic expansion, page-layout, strict-width, and normal ROM build checks passed. Runtime visual QA passed from the user-confirmed 17-page Batch 2C gallery (gallery page(s) 4; row code(s) R12). All text pixels were complete and readable with no clipping, overflow, broken glyphs, or overlapping Thai vowels/tone marks. Decorative border/tile artifacts seen outside some QA text windows belong to the temporary gallery harness and do not overlap the tested text area."
