gallery_page,gallery_title,slot,row_code,ui_id,symbol,symbol_page,symbol_page_count,profile_id,text_origin,window_width_px,effective_width_px,expanded_page_text,visual_text,rendering_result,visual_qa_status,evidence_source,evidence_note
1,B2C 01/17 R01-R03,1,R01,UI0001,gText_12PoofForgotMove,1,3,PARTY_223_X1,"x=1, y=1",224,223,"1, {PAUSE 15}2 แล้วก็{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}พรึบ!","1, 2 แล้วก็… … … พรึบ!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 1/17, row R01. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
1,B2C 01/17 R01-R03,2,R02,UI0001,gText_12PoofForgotMove,2,3,PARTY_223_X1,"x=1, y=1",224,223,"WWWWWWWWWW ลืมวิธีใช้
WWWWWWWWWWWW ไปแล้ว","WWWWWWWWWW ลืมวิธีใช้
WWWWWWWWWWWW ไปแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 1/17, row R02. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
1,B2C 01/17 R01-R03,3,R03,UI0001,gText_12PoofForgotMove,3,3,PARTY_223_X1,"x=1, y=1",224,223,แล้วก็…{PAUSE_UNTIL_PRESS},แล้วก็…,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 1/17, row R03. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,B2C 02/17 R04-R06,1,R04,UI0013,gText_BagFullCouldNotRemoveItem,1,1,PARTY_223_X1,"x=1, y=1",224,223,"กระเป๋าเต็ม จึงเอาไอเทม
ออกจากโปเกมอนไม่ได้{PAUSE_UNTIL_PRESS}","กระเป๋าเต็ม จึงเอาไอเทม
ออกจากโปเกมอนไม่ได้",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 2/17, row R04. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,B2C 02/17 R04-R06,2,R05,UI0065,gText_CantSwitchWithAlly,1,1,PARTY_223_X1,"x=1, y=1",224,223,"สลับโปเกมอนของ WWWWWWWWWW
กับของคุณไม่ได้!{PAUSE_UNTIL_PRESS}","สลับโปเกมอนของ WWWWWWWWWW
กับของคุณไม่ได้!",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 2/17, row R05. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
2,B2C 02/17 R04-R06,3,R06,UI0068,gText_CantUseUntilNewBadge,1,1,PARTY_223_X1,"x=1, y=1",224,223,"ยังใช้ไม่ได้จนกว่าจะได้
แบดจ์ใหม่{PAUSE_UNTIL_PRESS}","ยังใช้ไม่ได้จนกว่าจะได้
แบดจ์ใหม่",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 2/17, row R06. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
3,B2C 03/17 R07-R09,1,R07,UI0181,gText_EggCantBattle,1,1,PARTY_223_X1,"x=1, y=1",224,223,ไข่ต่อสู้ไม่ได้!{PAUSE_UNTIL_PRESS},ไข่ต่อสู้ไม่ได้!,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 3/17, row R07. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
3,B2C 03/17 R07-R09,2,R08,UI0240,gText_ItemThrownAway,1,1,PARTY_223_X1,"x=1, y=1",224,223,"ทิ้ง WWWWWWWWWWWWWW
ไปแล้ว{PAUSE_UNTIL_PRESS}","ทิ้ง WWWWWWWWWWWWWW
ไปแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 3/17, row R08. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
3,B2C 03/17 R07-R09,3,R09,UI0253,gText_MailSentToPC,1,1,PARTY_223_X1,"x=1, y=1",224,223,ส่งจดหมายไปยัง PC แล้ว{PAUSE_UNTIL_PRESS},ส่งจดหมายไปยัง PC แล้ว,pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 3/17, row R09. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
4,B2C 04/17 R10-R12,1,R10,UI0254,gText_MailTakenFromPkmn,1,1,PARTY_223_X1,"x=1, y=1",224,223,"เอาจดหมายออกจาก
โปเกมอนแล้ว{PAUSE_UNTIL_PRESS}","เอาจดหมายออกจาก
โปเกมอนแล้ว",pass,proof_passed,user_confirmed_screenshot,"User-confirmed screenshot of Batch 2C gallery page 4/17, row R10. Party Menu 224 px window with x=1 (223 px effective text area) rendered the complete Thai runtime page with no clipping, overflow, broken glyphs, or overlapping vowels/tone marks."
