symbol,source_line,source_text_en,target_text_th,old_definition,encoded_definition,definition_status,final_revision_status
gText_12PoofForgotMove,410,"1, {PAUSE 15}2, and{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}Poof!\p{STR_VAR_1} forgot how to
use {STR_VAR_2}.\pAnd…{PAUSE_UNTIL_PRESS}","1, {PAUSE 15}2 แล้วก็{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}พรึบ!\p{STR_VAR_1} ลืมวิธีใช้
{STR_VAR_2} ไปแล้ว\pแล้วก็…{PAUSE_UNTIL_PRESS}","const u8 gText_12PoofForgotMove[] = _(""1, {PAUSE 15}2, and{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}Poof!\p{STR_VAR_1} forgot how to\nuse {STR_VAR_2}.\pAnd…{PAUSE_UNTIL_PRESS}"");","const u8 gText_12PoofForgotMove[] = _(""1, {PAUSE 15}2 {252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{0}{2}{0}{244}{6}{1}{PAUSE 15}… {PAUSE 15}… {PAUSE 15}… {PAUSE 15}{PLAY_SE SE_BALL_BOUNCE_1}{252}{25}{35}{0}{0}{244}{8}{1}{252}{25}{213}{0}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}!\p{STR_VAR_1} {252}{25}{22}{1}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{80}{0}{0}{244}{6}{1}{252}{25}{150}{2}{0}{244}{6}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1}\n{STR_VAR_2} {252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}\p{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{0}{2}{0}{244}{6}{1}…{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_BagFullCouldNotRemoveItem,403,"The BAG is full. The POKéMON's
item could not be removed.{PAUSE_UNTIL_PRESS}","กระเป๋าเต็ม จึงเอาไอเทม
ออกจากโปเกมอนไม่ได้{PAUSE_UNTIL_PRESS}","const u8 gText_BagFullCouldNotRemoveItem[] = _(""The BAG is full. The POKéMON's\nitem could not be removed.{PAUSE_UNTIL_PRESS}"");","const u8 gText_BagFullCouldNotRemoveItem[] = _(""{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{176}{2}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{4}{2}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1} {252}{25}{196}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}\n{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_CantSwitchWithAlly,386,"You can't switch {STR_VAR_1}'s
POKéMON with one of yours!{PAUSE_UNTIL_PRESS}","สลับโปเกมอนของ {STR_VAR_1}
กับของคุณไม่ได้!{PAUSE_UNTIL_PRESS}","const u8 gText_CantSwitchWithAlly[] = _(""You can't switch {STR_VAR_1}'s\nPOKéMON with one of yours!{PAUSE_UNTIL_PRESS}"");","const u8 gText_CantSwitchWithAlly[] = _(""{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{9}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1} {STR_VAR_1}\n{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{9}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{142}{1}{0}{244}{7}{1}{252}{25}{24}{0}{0}{244}{10}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_CantUseUntilNewBadge,388,"This can't be used until a new
BADGE is obtained.{PAUSE_UNTIL_PRESS}","ยังใช้ไม่ได้จนกว่าจะได้
แบดจ์ใหม่{PAUSE_UNTIL_PRESS}","const u8 gText_CantUseUntilNewBadge[] = _(""This can't be used until a new\nBADGE is obtained.{PAUSE_UNTIL_PRESS}"");","const u8 gText_CantUseUntilNewBadge[] = _(""{252}{25}{45}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{80}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}\n{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{231}{2}{0}{244}{6}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{76}{1}{0}{244}{7}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,revised_after_semantic_review
gText_EggCantBattle,387,An EGG can't battle!{PAUSE_UNTIL_PRESS},ไข่ต่อสู้ไม่ได้!{PAUSE_UNTIL_PRESS},"const u8 gText_EggCantBattle[] = _(""An EGG can't battle!{PAUSE_UNTIL_PRESS}"");","const u8 gText_EggCantBattle[] = _(""{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{56}{1}{0}{244}{6}{1}{252}{25}{66}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{142}{2}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}!{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_ItemThrownAway,430,"The {STR_VAR_1}
was thrown away.{PAUSE_UNTIL_PRESS}","ทิ้ง {STR_VAR_1}
ไปแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_ItemThrownAway[] = _(""The {STR_VAR_1}\nwas thrown away.{PAUSE_UNTIL_PRESS}"");","const u8 gText_ItemThrownAway[] = _(""{252}{25}{157}{2}{0}{244}{8}{1}{252}{25}{12}{0}{0}{244}{4}{1} {STR_VAR_1}\n{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_MailSentToPC,391,The MAIL was sent to your PC.{PAUSE_UNTIL_PRESS},ส่งจดหมายไปยัง PC แล้ว{PAUSE_UNTIL_PRESS},"const u8 gText_MailSentToPC[] = _(""The MAIL was sent to your PC.{PAUSE_UNTIL_PRESS}"");","const u8 gText_MailSentToPC[] = _(""{252}{25}{81}{1}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{45}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1} PC {252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_MailTakenFromPkmn,399,"MAIL was taken from the
POKéMON.{PAUSE_UNTIL_PRESS}","เอาจดหมายออกจาก
โปเกมอนแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_MailTakenFromPkmn[] = _(""MAIL was taken from the\nPOKéMON.{PAUSE_UNTIL_PRESS}"");","const u8 gText_MailTakenFromPkmn[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_MailTransferredFromMailbox,402,"MAIL was transferred from
the MAILBOX.{PAUSE_UNTIL_PRESS}","ย้ายจดหมายออกจาก
กล่องจดหมายแล้ว{PAUSE_UNTIL_PRESS}","const u8 gText_MailTransferredFromMailbox[] = _(""MAIL was transferred from\nthe MAILBOX.{PAUSE_UNTIL_PRESS}"");","const u8 gText_MailTransferredFromMailbox[] = _(""{252}{25}{104}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{79}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
gText_MoveNotLearned,408,"{STR_VAR_1} did not learn the
move {STR_VAR_2}.{PAUSE_UNTIL_PRESS}","{STR_VAR_1} ไม่ได้เรียนรู้
{STR_VAR_2}{PAUSE_UNTIL_PRESS}","const u8 gText_MoveNotLearned[] = _(""{STR_VAR_1} did not learn the\nmove {STR_VAR_2}.{PAUSE_UNTIL_PRESS}"");","const u8 gText_MoveNotLearned[] = _(""{STR_VAR_1} {252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{136}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{144}{2}{0}{244}{5}{1}\n{STR_VAR_2}{PAUSE_UNTIL_PRESS}"");",matched_and_replaced,approved_from_review_v1
