term,status,match_file_count,matched_files
gText_DepositItem,found,8,include/strings.h;src/player_pc.c;src/strings.c;src/strings.c.bak;src/strings.c.before_pixel_font;src/strings.c.before_precomposed;src/strings.c.before_start_game_test;src/strings.c.before_thai_combining_test
gText_WithdrawItem,found,8,include/strings.h;src/player_pc.c;src/strings.c;src/strings.c.bak;src/strings.c.before_pixel_font;src/strings.c.before_precomposed;src/strings.c.before_start_game_test;src/strings.c.before_thai_combining_test
gText_TossItem,found,8,include/strings.h;src/player_pc.c;src/strings.c;src/strings.c.bak;src/strings.c.before_pixel_font;src/strings.c.before_precomposed;src/strings.c.before_start_game_test;src/strings.c.before_thai_combining_test
sItemStorage_MenuActions,found,1,src/player_pc.c
sItemStorageMenuActions,missing,0,
PlayerPC_ItemStorage,found,1,src/player_pc.c
ItemStorage,found,10,data/maps/AbandonedShip_CaptainsOffice/map.json;data/scripts/item_ball_scripts.inc;include/strings.h;src/player_pc.c;src/strings.c;src/strings.c.bak;src/strings.c.before_pixel_font;src/strings.c.before_precomposed;src/strings.c.before_start_game_test;src/strings.c.before_thai_combining_test
GetMaxWidthInMenuTable,found,8,include/international_string_util.h;src/decoration.c;src/international_string_util.c;src/menu_specialized.c;src/player_pc.c;src/pokemon_storage_system.c;src/secret_base.c;src/shop.c
CreateWindowFromRect,found,4,include/script_menu.h;src/contest_util.c;src/mauville_old_man.c;src/script_menu.c
AddWindow,found,56,include/menu.h;include/menu_specialized.h;include/window.h;src/apprentice.c;src/battle_interface.c;src/battle_pyramid_bag.c;src/battle_records.c;src/berry_blender.c;src/berry_crush.c;src/berry_powder.c;src/cable_club.c;src/coins.c;src/contest_painting.c;src/contest_util.c;src/daycare.c;src/decoration.c;src/dodrio_berry_picking.c;src/easy_chat.c;src/field_specials.c;src/frontier_util.c;src/hall_of_fame.c;src/item_menu.c;src/list_menu.c;src/match_call.c;src/menu.c;src/menu_specialized.c;src/money.c;src/mystery_gift_menu.c;src/mystery_gift_view.c;src/naming_screen.c;src/party_menu.c;src/player_pc.c;src/pokemon_jump.c;src/pokemon_storage_system.c;src/pokemon_summary_screen.c;src/pokenav_conditions_gfx.c;src/pokenav_conditions_search_results.c;src/pokenav_list.c;src/pokenav_match_call_gfx.c;src/pokenav_menu_handler_gfx.c;src/pokenav_region_map.c;src/pokenav_ribbons_list.c;src/pokenav_ribbons_summary.c;src/reset_rtc_screen.c;src/save_failed_screen.c;src/scrcmd.c;src/script_menu.c;src/secret_base.c;src/shop.c;src/slot_machine.c;src/start_menu.c;src/starter_choose.c;src/trader.c;src/union_room.c;src/union_room_chat.c;src/window.c
AddTextPrinterParameterized,found,97,include/menu.h;include/text.h;include/text.h.before_direct_thai_state;include/text.h.before_precomposed;include/text.h.before_thai_anchor_engine;include/text.h.before_thai_combining;src/apprentice.c;src/battle_factory_screen.c;src/battle_interface.c;src/battle_pyramid_bag.c;src/battle_records.c;src/berry_blender.c;src/berry_crush.c;src/berry_fix_program.c;src/berry_powder.c;src/berry_tag_screen.c;src/cable_club.c;src/clear_save_data_screen.c;src/coins.c;src/contest_painting.c;src/contest_util.c;src/credits.c;src/decoration.c;src/diploma.c;src/dodrio_berry_picking.c;src/easy_chat.c;src/egg_hatch.c;src/field_player_avatar.c;src/field_region_map.c;src/field_specials.c;src/frontier_pass.c;src/frontier_util.c;src/hall_of_fame.c;src/item_menu.c;src/link.c;src/list_menu.c;src/mail.c;src/main_menu.c;src/map_name_popup.c;src/mauville_old_man.c;src/menu.c;src/menu_helpers.c;src/menu_specialized.c;src/money.c;src/move_relearner.c;src/mystery_event_menu.c;src/mystery_gift_menu.c;src/mystery_gift_view.c;src/naming_screen.c;src/option_menu.c;src/party_menu.c;src/player_pc.c;src/pokeblock.c;src/pokeblock_feed.c;src/pokedex.c;src/pokemon_jump.c;src/pokemon_storage_system.c;src/pokemon_summary_screen.c;src/pokenav_conditions_gfx.c;src/pokenav_conditions_search_results.c;src/pokenav_list.c;src/pokenav_main_menu.c;src/pokenav_match_call_gfx.c;src/pokenav_menu_handler_gfx.c;src/pokenav_region_map.c;src/pokenav_ribbons_list.c;src/pokenav_ribbons_summary.c;src/record_mixing.c;src/region_map.c;src/reset_rtc_screen.c;src/roulette.c;src/save_failed_screen.c;src/scrcmd.c;src/script_menu.c;src/shop.c;src/slot_machine.c;src/start_menu.c;src/starter_choose.c;src/text.c;src/text.c.before_direct_mo_ma_combining;src/text.c.before_direct_thai_state;src/text.c.before_precomposed;src/text.c.before_remove_font_guard;src/text.c.before_thai_anchor_engine;src/text.c.before_thai_combining;src/text.c.before_thai_mark_offsets;src/text.c.before_thai_position_probe;src/text.c.before_thai_runtime_probe;src/trade.c;src/trader.c;src/trainer_card.c;src/trainer_hill.c;src/union_room_battle.c;src/union_room_chat.c;src/use_pokeblock.c;src/wallclock.c;src/wireless_communication_status_screen.c
AddTextPrinterParameterized3,found,30,include/menu.h;src/battle_factory_screen.c;src/berry_crush.c;src/berry_fix_program.c;src/contest_util.c;src/dodrio_berry_picking.c;src/easy_chat.c;src/frontier_pass.c;src/hall_of_fame.c;src/link.c;src/mail.c;src/main_menu.c;src/menu.c;src/menu_specialized.c;src/mystery_gift_view.c;src/naming_screen.c;src/party_menu.c;src/pokemon_jump.c;src/pokemon_storage_system.c;src/pokenav_list.c;src/pokenav_main_menu.c;src/pokenav_menu_handler_gfx.c;src/pokenav_ribbons_summary.c;src/slot_machine.c;src/starter_choose.c;src/trade.c;src/trainer_card.c;src/trainer_hill.c;src/union_room_chat.c;src/use_pokeblock.c
