symbol,reference
gText_DexSearchColorBlack,"src/pokedex.c:1370:    [BODY_COLOR_BLACK + 1]  = {gText_DexEmptyString, gText_DexSearchColorBlack},"
gText_DexSearchColorBlue,"src/pokedex.c:1367:    [BODY_COLOR_BLUE + 1]   = {gText_DexEmptyString, gText_DexSearchColorBlue},"
gText_DexSearchColorBrown,"src/pokedex.c:1371:    [BODY_COLOR_BROWN + 1]  = {gText_DexEmptyString, gText_DexSearchColorBrown},"
gText_DexSearchColorGray,"src/pokedex.c:1373:    [BODY_COLOR_GRAY + 1]   = {gText_DexEmptyString, gText_DexSearchColorGray},"
gText_DexSearchColorGreen,"src/pokedex.c:1369:    [BODY_COLOR_GREEN + 1]  = {gText_DexEmptyString, gText_DexSearchColorGreen},"
gText_DexSearchColorPink,"src/pokedex.c:1375:    [BODY_COLOR_PINK + 1]   = {gText_DexEmptyString, gText_DexSearchColorPink},"
gText_DexSearchColorPurple,"src/pokedex.c:1372:    [BODY_COLOR_PURPLE + 1] = {gText_DexEmptyString, gText_DexSearchColorPurple},"
gText_DexSearchColorRed,"src/pokedex.c:1366:    [BODY_COLOR_RED + 1]    = {gText_DexEmptyString, gText_DexSearchColorRed},"
gText_DexSearchColorWhite,"src/pokedex.c:1374:    [BODY_COLOR_WHITE + 1]  = {gText_DexEmptyString, gText_DexSearchColorWhite},"
gText_DexSearchColorYellow,"src/pokedex.c:1368:    [BODY_COLOR_YELLOW + 1] = {gText_DexEmptyString, gText_DexSearchColorYellow},"
gText_DexSearchDontSpecify,"src/pokedex.c:1350:    {gText_DexEmptyString, gText_DexSearchDontSpecify},"
gText_DexSearchDontSpecify,"src/pokedex.c:1365:    {gText_DexEmptyString, gText_DexSearchDontSpecify},"
gText_DexSearchTypeNone,"src/pokedex.c:1381:    {gText_DexEmptyString, gText_DexSearchTypeNone},"
