symbol,visual_qa_status,note
gText_DexSearchColorBlack,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorBlue,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorBrown,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorGray,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorGreen,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorPink,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorPurple,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorRed,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorWhite,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchColorYellow,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchDontSpecify,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
gText_DexSearchTypeNone,proof_passed,"Batch 23 QA Gallery reviewed: 12/12 pages passed. All ten Pokédex color options, Don't Specify, and None were verified for Thai shaping, clipping, spacing, punctuation, and layout."
