symbol,reference
gText_DefaultNameAllie,"src/main_menu.c:488:    gText_DefaultNameAllie,"
gText_DefaultNameAubree,"src/main_menu.c:493:    gText_DefaultNameAubree,"
gText_DefaultNameBella,"src/main_menu.c:486:    gText_DefaultNameBella,"
gText_DefaultNameBrett,"src/main_menu.c:472:    gText_DefaultNameBrett,"
gText_DefaultNameCamila,"src/main_menu.c:492:    gText_DefaultNameCamila,"
gText_DefaultNameCasey,"src/main_menu.c:475:    gText_DefaultNameCasey,"
gText_DefaultNameCollin,"src/main_menu.c:478:    gText_DefaultNameCollin,"
gText_DefaultNameDarren,"src/main_menu.c:476:    gText_DefaultNameDarren,"
gText_DefaultNameEaston,"src/main_menu.c:468:    gText_DefaultNameEaston,"
gText_DefaultNameHalie,src/main_menu.c:503:    gText_DefaultNameHalie
gText_DefaultNameHazel,"src/main_menu.c:495:    gText_DefaultNameHazel,"
gText_DefaultNameJaxson,"src/main_menu.c:467:    gText_DefaultNameJaxson,"
gText_DefaultNameJayla,"src/main_menu.c:487:    gText_DefaultNameJayla,"
gText_DefaultNameJohnny,"src/main_menu.c:471:    gText_DefaultNameJohnny,"
gText_DefaultNameJude,"src/main_menu.c:466:    gText_DefaultNameJude,"
gText_DefaultNameKenny,"src/main_menu.c:464:    gText_DefaultNameKenny,"
gText_DefaultNameKimmy,"src/main_menu.c:484:    gText_DefaultNameKimmy,"
gText_DefaultNameLandon,"src/main_menu.c:477:    gText_DefaultNameLandon,"
gText_DefaultNameLianna,"src/main_menu.c:489:    gText_DefaultNameLianna,"
gText_DefaultNameLillie,"src/main_menu.c:500:    gText_DefaultNameLillie,"
