symbol,visual_qa_status,note
gText_Defense3,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_EggNickname,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_HP3,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_HP4,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_Info,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_None,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_SpAtk3,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_SpAtk4,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_SpDef3,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_SpDef4,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
gText_Speed2,proof_passed,"Batch 49 QA Gallery reviewed: 11/11 pages passed. The summary and party-menu labels were verified for correct Thai font rendering, terminology consistency, spacing, clipping, alignment, readability, and layout across all usage contexts."
