symbol,visual_qa_status,note
sText_PkmnsItemSnappedOut,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnsItemCuredProblem,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnsItemRestoredHealth,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnsItemRestoredPP,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnsItemRestoredStatus,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnsItemRestoredHPALittle,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_ItemAllowsOnlyYMove,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnHungOnWithX,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnsXPreventsBurns,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sText_PkmnsXBlocksY,proof_passed,"Batch 47 QA Gallery reviewed: 10/10 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
