rank,description_symbol,source_text,target_text_th,usage_count,max_width_font_normal_px,max_width_font_narrow_px,risk_score,risk_reasons
1,sDragonScaleDesc,"A strange scale
held by DRAGON-
type POKéMON.","เกล็ดประหลาดที่
โปเกมอนธาตุมังกร
บางตัวถือไว้",1,82,82,15,near_120px;mixed_thai_latin_or_number;proper_name_or_location;three_lines
2,sRoom1KeyDesc,"A key that opens a
door inside the
ABANDONED SHIP.","กุญแจเปิดประตู
ภายในเรือร้าง",1,69,69,14,near_120px;mixed_thai_latin_or_number;proper_name_or_location
3,sRoom2KeyDesc,"A key that opens a
door inside the
ABANDONED SHIP.","กุญแจเปิดประตู
ภายในเรือร้าง",1,69,69,14,near_120px;mixed_thai_latin_or_number;proper_name_or_location
4,sRoom4KeyDesc,"A key that opens a
door inside the
ABANDONED SHIP.","กุญแจเปิดประตู
ภายในเรือร้าง",1,69,69,14,near_120px;mixed_thai_latin_or_number;proper_name_or_location
5,sRoom6KeyDesc,"A key that opens a
door inside the
ABANDONED SHIP.","กุญแจเปิดประตู
ภายในเรือร้าง",1,69,69,14,near_120px;mixed_thai_latin_or_number;proper_name_or_location
6,sPowderJarDesc,"Stores BERRY
POWDER made using
a BERRY CRUSHER.","โถเก็บผงเบอร์รี
จากเครื่องบดเบอร์รี",1,85,85,14,near_120px;mixed_thai_latin_or_number;proper_name_or_location
7,sTM18Desc,"Raises the power of
WATER-type moves
for 5 turns.","เพิ่มพลังท่าน้ำ
นาน 5 เทิร์น",1,59,59,13,near_120px;mixed_thai_latin_or_number;numeric;tm_hm_description
8,sTeachyTVDesc,"A TV set tuned to
an advice program
for TRAINERS.","ทีวีที่มีรายการ
แนะนำเทรนเนอร์",1,78,78,13,near_120px;mixed_thai_latin_or_number;proper_name_or_location
9,sBlueScarfDesc,"A hold item that
raises BEAUTY in
CONTESTS.","ไอเทมถือที่เพิ่ม
ความงามในการประกวด",1,104,104,13,near_120px;mixed_thai_latin_or_number;proper_name_or_location
10,sLiftKeyDesc,"An elevator key
used in TEAM
ROCKET's HIDEOUT.","กุญแจลิฟต์ที่ใช้ใน
ฐานลับของทีมร็อกเก็ต",1,95,95,13,near_120px;mixed_thai_latin_or_number;proper_name_or_location
11,sBlackBeltDesc,"A hold item that
boosts FIGHTING-
type moves.","ไอเทมถือเพิ่มพลัง
ท่าประเภทต่อสู้",1,79,79,11,near_120px;mixed_thai_latin_or_number
12,sMagnetDesc,"A hold item that
boosts ELECTRIC-
type moves.","ไอเทมถือเพิ่มพลัง
ท่าประเภทไฟฟ้า",1,79,79,11,near_120px;mixed_thai_latin_or_number
13,sNetBallDesc,"A BALL that works
well on WATER- and
BUG-type POKéMON.","จับโปเกมอนน้ำและ
แมลงได้ง่ายขึ้น",1,85,85,10,wide_line;mixed_thai_latin_or_number;proper_name_or_location
14,sRazzBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow RAZZ.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RAZZ",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
15,sBlukBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow BLUK.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BLUK",1,85,85,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines
