move_id,move_name_en,source_text,target_text_th,description_status,line_1_width_px,line_2_width_px,max_width_px,width_margin_px,mixed_latin,abbreviations,risk_score,risk_reasons,visual_qa_recommended
MOVE_CURSE,CURSE,"A move that functions
differently for GHOSTS.","ทำงานต่างกันเมื่อผู้ใช้ท่า
เป็นโปเกมอนประเภท GHOST",translated_pending_qa,102,125,125,3,yes,,8,near_128px;mixed_latin_or_number,yes
MOVE_FAKE_TEARS,FAKE TEARS,"Feigns crying to sharply
lower the foe's SP. DEF.","แสร้งร้องไห้
ลดพลังป้องกันพิเศษอย่างมาก",translated_pending_qa,50,126,126,2,no,,7,near_128px;sharp_stat_change,yes
MOVE_METAL_SOUND,METAL SOUND,"Emits a horrible screech
that sharply lowers SP. DEF.","ปล่อยเสียงโลหะน่ากลัว
ลดพลังป้องกันพิเศษอย่างมาก",translated_pending_qa,98,126,126,2,no,,7,near_128px;sharp_stat_change,yes
MOVE_TAIL_GLOW,TAIL GLOW,"Flashes a light that sharply
raises SP. ATK.","เปล่งแสงจากหาง
เพิ่มพลังโจมตีพิเศษอย่างมาก",translated_pending_qa,69,126,126,2,no,,7,near_128px;sharp_stat_change,yes
MOVE_BOUNCE,BOUNCE,"Bounces up, then down the
next turn. May paralyze.","กระโดดขึ้นแล้วโจมตี
เทิร์นถัดไป อาจทำให้อัมพาต",translated_pending_qa,95,125,125,3,no,,7,near_128px;status_or_ko_text,yes
MOVE_HORN_DRILL,HORN DRILL,"A one-hit KO attack that
uses a horn like a drill.","ใช้เขาหมุนคล้ายสว่าน
ทำให้หมดสภาพในครั้งเดียว",translated_pending_qa,95,125,125,3,no,,7,near_128px;status_or_ko_text,yes
MOVE_OVERHEAT,OVERHEAT,"Allows a full-power attack,
but sharply lowers SP. ATK.","โจมตีด้วยพลังเต็มที่
ลดพลังโจมตีพิเศษอย่างมาก",translated_pending_qa,87,120,120,8,no,,7,near_128px;sharp_stat_change,yes
MOVE_PSYCHO_BOOST,PSYCHO BOOST,"Allows a full-power attack,
but sharply lowers SP. ATK.","โจมตีด้วยพลังเต็มที่
ลดพลังโจมตีพิเศษอย่างมาก",translated_pending_qa,87,120,120,8,no,,7,near_128px;sharp_stat_change,yes
MOVE_MUD_SPORT,MUD SPORT,"Covers the user in mud to
raise electrical resistance.","คลุมผู้ใช้ท่าด้วยโคลน
เพื่อเพิ่มความต้านทานไฟฟ้า",translated_pending_qa,94,125,125,3,no,,6,near_128px,yes
MOVE_TICKLE,TICKLE,"Makes the foe laugh to
lower ATTACK and DEFENSE.","ทำให้คู่ต่อสู้หัวเราะ
ลดพลังโจมตีและพลังป้องกัน",translated_pending_qa,81,123,123,5,no,,6,near_128px,yes
MOVE_SHARPEN,SHARPEN,"Reduces the polygon count
and raises ATTACK.","ลดจำนวนเหลี่ยมของร่างกาย
เพื่อเพิ่มพลังโจมตี",translated_pending_qa,120,80,120,8,no,,6,near_128px,yes
MOVE_BIDE,BIDE,"Endures attack for 2
turns to retaliate double.","อดทนรับการโจมตี 2 เทิร์น
แล้วโต้กลับด้วยพลังสองเท่า",translated_pending_qa,115,118,118,10,yes,,6,wide_line;mixed_latin_or_number;numeric,yes
MOVE_AROMATHERAPY,AROMATHERAPY,"Heals all status problems
with a soothing scent.","ใช้กลิ่นหอมผ่อนคลาย
รักษาสถานะผิดปกติทั้งหมด",translated_pending_qa,95,118,118,10,no,,4,wide_line;status_or_ko_text,yes
MOVE_HEAL_BELL,HEAL BELL,"Chimes soothingly to heal
all status abnormalities.","เสียงกระดิ่งผ่อนคลาย
รักษาสถานะผิดปกติทั้งหมด",translated_pending_qa,90,118,118,10,no,,4,wide_line;status_or_ko_text,yes
MOVE_REST,REST,"The user sleeps for 2 turns,
restoring HP and status.","หลับ 2 เทิร์นเพื่อฟื้นฟู HP
และรักษาสถานะผิดปกติ",translated_pending_qa,110,103,110,18,yes,HP,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
