id,global_order,chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,dialogue_order,speaker,script_label,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,chronology_confidence,scope_confidence,scope_evidence,notes
dlg_45b733a3659fa52c,188,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,33,mossdeep,Mossdeep,,33,MossdeepCity_Gym,mossdeep,MossdeepCity Gym,1,Tate,MossdeepCity_Gym_EventScript_TateAndLiza,data/maps/MossdeepCity_Gym/scripts.inc,591,MossdeepCity_Gym_Text_TateAndLizaPostBattle,"TATE: Looks like the bond between you\nand your POKéMON is far stronger than\lthe bond that we share as twins.\pLIZA: You will become even stronger!\nWe've battled you, so we know.$","TATE: Looks like the bond between you
and your POKéMON is far stronger than
the bond that we share as twins.
[PAGE]
LIZA: You will become even stronger!
We've battled you, so we know.",,untranslated,\na | \l | \p | \n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_16583cf9036a06e6,189,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,33,mossdeep,Mossdeep,,33,MossdeepCity_Gym,mossdeep,MossdeepCity Gym,2,,MossdeepCity_Gym_EventScript_TateAndLizaDefeated,data/maps/MossdeepCity_Gym/scripts.inc,567,MossdeepCity_Gym_Text_ReceivedMindBadge,{PLAYER} received the MIND BADGE\nfrom TATE and LIZA.$,"{PLAYER} received the MIND BADGE
from TATE and LIZA.",,untranslated,{PLAYER} | \nf,{PLAYER},high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_43359ec54091c550,190,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,33,mossdeep,Mossdeep,,33,MossdeepCity_Gym,mossdeep,MossdeepCity Gym,3,,MossdeepCity_Gym_EventScript_TateAndLizaDefeated,data/maps/MossdeepCity_Gym/scripts.inc,571,MossdeepCity_Gym_Text_ExplainMindBadgeTakeThis,"TATE: The MIND BADGE enhances the\nSP. ATK and SP. DEF of POKéMON.\pLIZA: It also lets you use the HM move\nDIVE outside of battle.\pTATE: You should also take this, too.$","TATE: The MIND BADGE enhances the
SP. ATK and SP. DEF of POKéMON.
[PAGE]
LIZA: It also lets you use the HM move
DIVE outside of battle.
[PAGE]
TATE: You should also take this, too.",,untranslated,\n | \p | \nD | \p,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_bf9f721d101df3f8,191,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,33,mossdeep,Mossdeep,,33,MossdeepCity_Gym,mossdeep,MossdeepCity Gym,4,,MossdeepCity_Gym_EventScript_GiveCalmMind2,data/maps/MossdeepCity_Gym/scripts.inc,578,MossdeepCity_Gym_Text_ExplainCalmMind,TATE: That TM04 contains…\nLIZA: CALM MIND!\pTATE: It raises SP. ATK and…\nLIZA: It raises SP. DEF!\pTATE: It's a move that's perfect…\nLIZA: For PSYCHIC POKéMON!\p… … … … … …$,"TATE: That TM04 contains…
LIZA: CALM MIND!
[PAGE]
TATE: It raises SP. ATK and…
LIZA: It raises SP. DEF!
[PAGE]
TATE: It's a move that's perfect…
LIZA: For PSYCHIC POKéMON!
[PAGE]
… … … … … …",,untranslated,\n | \p | \n | \p | \n | \p,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_10a0c4da3c01bfa0,192,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,34,space_center,Space Center,,34,MossdeepCity_SpaceCenter_1F,space_center,MossdeepCity SpaceCenter 1F,1,,MossdeepCity_SpaceCenter_1F_EventScript_SunStoneManMagma,data/maps/MossdeepCity_SpaceCenter_1F/scripts.inc,319,MossdeepCity_SpaceCenter_1F_Text_MagmaCantStealFuelTakeThis,"TEAM MAGMA can't be allowed to steal\nthe rocket fuel.\pOh, by the way, you can have this stone\nI found on the beach.$","TEAM MAGMA can't be allowed to steal
the rocket fuel.
[PAGE]
Oh, by the way, you can have this stone
I found on the beach.",,untranslated,\n | \p | \n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_79ce7f56167066ae,193,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,34,space_center,Space Center,,34,MossdeepCity_SpaceCenter_1F,space_center,MossdeepCity SpaceCenter 1F,2,Steven,MossdeepCity_SpaceCenter_1F_EventScript_Steven,data/maps/MossdeepCity_SpaceCenter_1F/scripts.inc,351,MossdeepCity_SpaceCenter_1F_Text_StevenMagmaCantBeAllowedToTakeFuel,"STEVEN: {PLAYER}{KUN}, have you read that\nproclamation already?\pTEAM MAGMA is coming after the rocket\nfuel on this island.\pI don't know what they'd need it for,\nbut they can't be allowed to take it.\pI'll keep an eye on things for\na while longer.\pIn the meantime, why don't you go\ncheck out the town?$","STEVEN: {PLAYER}{KUN}, have you read that
proclamation already?
[PAGE]
TEAM MAGMA is coming after the rocket
fuel on this island.
[PAGE]
I don't know what they'd need it for,
but they can't be allowed to take it.
[PAGE]
I'll keep an eye on things for
a while longer.
[PAGE]
In the meantime, why don't you go
check out the town?",,untranslated,{PLAYER} | {KUN} | \n | \p | \nf | \p | \nb | \p | \na | \p | \nc,{PLAYER},high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_70357e86f6ea09df,194,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,34,space_center,Space Center,,34,MossdeepCity_SpaceCenter_1F,space_center,MossdeepCity SpaceCenter 1F,3,,MossdeepCity_SpaceCenter_2F_EventScript_ThreeMagmaGrunts,data/maps/MossdeepCity_SpaceCenter_2F/scripts.inc,385,MossdeepCity_SpaceCenter_2F_Text_YoureOutnumberedTakeUsOn,"What's wrong with you?\pYou're outnumbered three to one,\nbut you still want to take us on?$","What's wrong with you?
[PAGE]
You're outnumbered three to one,
but you still want to take us on?",,untranslated,\p | \nb,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_0d1adf3d7c53be63,195,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,34,space_center,Space Center,,34,MossdeepCity_SpaceCenter_1F,space_center,MossdeepCity SpaceCenter 1F,4,,MossdeepCity_SpaceCenter_2F_EventScript_ThreeMagmaGrunts,data/maps/MossdeepCity_SpaceCenter_2F/scripts.inc,390,MossdeepCity_SpaceCenter_2F_Text_GoodAnswer,Good answer!\nThat's what a smart person'll do!$,"Good answer!
That's what a smart person'll do!",,untranslated,\n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_8199f6fe43038be0,196,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,34,space_center,Space Center,,34,MossdeepCity_SpaceCenter_1F,space_center,MossdeepCity SpaceCenter 1F,5,,MossdeepCity_SpaceCenter_2F_EventScript_BattleThreeMagmaGrunts,data/maps/MossdeepCity_SpaceCenter_2F/scripts.inc,394,MossdeepCity_SpaceCenter_2F_Text_Grunt5Intro,"A reckless go-getter, are you?\nOkay, I'll go first!$","A reckless go-getter, are you?
Okay, I'll go first!",,untranslated,\n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_abc5b37215d62d43,197,10,mossdeep,Mossdeep and Space Center,มอสส์ดีปและศูนย์อวกาศ,34,space_center,Space Center,,34,MossdeepCity_SpaceCenter_1F,space_center,MossdeepCity SpaceCenter 1F,6,,MossdeepCity_SpaceCenter_2F_EventScript_BattleThreeMagmaGrunts,data/maps/MossdeepCity_SpaceCenter_2F/scripts.inc,402,MossdeepCity_SpaceCenter_2F_Text_Grunt6Intro,It's too soon to be relieved!\nI'm up next!$,"It's too soon to be relieved!
I'm up next!",,untranslated,\n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
