id,global_order,chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,dialogue_order,speaker,script_label,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,chronology_confidence,scope_confidence,scope_evidence,notes
dlg_2d66888f162fdf06,236,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,40,final_gym,Final Gym,,40,SootopolisCity_Gym_1F,final_gym,SootopolisCity Gym 1F,1,Juan,SootopolisCity_Gym_1F_EventScript_Juan,data/maps/SootopolisCity_Gym_1F/scripts.inc,259,SootopolisCity_Gym_1F_Text_JuanPostBattle,"The TRAINERS who have gathered all\nthe GYM BADGES of HOENN should make\lway to the ultimate destination.\pThe POKéMON LEAGUE.\pTravel to the easternmost reaches\nof HOENN, to the island EVER GRANDE.\pThere, you shall find the POKéMON\nLEAGUE.$","The TRAINERS who have gathered all
the GYM BADGES of HOENN should make
way to the ultimate destination.
[PAGE]
The POKéMON LEAGUE.
[PAGE]
Travel to the easternmost reaches
of HOENN, to the island EVER GRANDE.
[PAGE]
There, you shall find the POKéMON
LEAGUE.",,untranslated,\n | \l | \p | \p | \n | \p | \n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_e4617a5d97c17e89,237,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,40,final_gym,Final Gym,,40,SootopolisCity_Gym_1F,final_gym,SootopolisCity Gym 1F,2,,SootopolisCity_Gym_1F_EventScript_JuanDefeated,data/maps/SootopolisCity_Gym_1F/scripts.inc,234,SootopolisCity_Gym_1F_Text_ReceivedRainBadge,{PLAYER} received the RAIN BADGE\nfrom JUAN.$,"{PLAYER} received the RAIN BADGE
from JUAN.",,untranslated,{PLAYER} | \n,{PLAYER},high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_04c38272168a6c08,238,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,40,final_gym,Final Gym,,40,SootopolisCity_Gym_1F,final_gym,SootopolisCity Gym 1F,3,,SootopolisCity_Gym_1F_EventScript_JuanDefeated,data/maps/SootopolisCity_Gym_1F/scripts.inc,238,SootopolisCity_Gym_1F_Text_ExplainRainBadgeTakeThis,"Having the RAIN BADGE shall assure you\nthe full obedience of all your POKéMON\lto your every command.\pThe RAIN BADGE also allows the use\nof the HM move WATERFALL to scale\lwalls of cascading water.\pAnd, so that you never forget the\nbattle we shared, take this…$","Having the RAIN BADGE shall assure you
the full obedience of all your POKéMON
to your every command.
[PAGE]
The RAIN BADGE also allows the use
of the HM move WATERFALL to scale
walls of cascading water.
[PAGE]
And, so that you never forget the
battle we shared, take this…",,untranslated,\n | \l | \p | \n | \l | \p | \n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_b78ca7c65ffc780f,239,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,40,final_gym,Final Gym,,40,SootopolisCity_Gym_1F,final_gym,SootopolisCity Gym 1F,4,,SootopolisCity_Gym_1F_EventScript_GiveWaterPulse,data/maps/SootopolisCity_Gym_1F/scripts.inc,248,SootopolisCity_Gym_1F_Text_ExplainWaterPulse,"The TECHNICAL MACHINE I handed you\ncontains WATER PULSE.\pIn use, it will occasionally confuse\nthe target with ultrasonic waves.\p… … … … … …$","The TECHNICAL MACHINE I handed you
contains WATER PULSE.
[PAGE]
In use, it will occasionally confuse
the target with ultrasonic waves.
[PAGE]
… … … … … …",,untranslated,\n | \p | \n | \p,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_dd46d9c50f26106a,240,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,40,final_gym,Final Gym,,40,SootopolisCity_Gym_1F,final_gym,SootopolisCity Gym 1F,5,,SootopolisCity_Gym_1F_EventScript_GoGetFortreeBadge,data/maps/SootopolisCity_Gym_1F/scripts.inc,269,SootopolisCity_Gym_1F_Text_GoGetFortreeBadge,"There remains but one BADGE to\nobtain in HOENN.\pIf you wish to challenge the POKéMON\nLEAGUE, you must obtain the last\lBADGE from the GYM in FORTREE.$","There remains but one BADGE to
obtain in HOENN.
[PAGE]
If you wish to challenge the POKéMON
LEAGUE, you must obtain the last
BADGE from the GYM in FORTREE.",,untranslated,\n | \p | \n | \l,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_ae26a5585d0e39c3,241,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,41,victory_road,Victory Road,,41,VictoryRoad_1F,victory_road,VictoryRoad 1F,1,Wally,VictoryRoad_1F_EventScript_WallyEntranceBattle,data/maps/VictoryRoad_1F/scripts.inc,120,VictoryRoad_1F_Text_WallyNotGoingToLoseAnymore,"WALLY: Hi! {PLAYER}!\pI bet you're surprised to see me here!\pI made it all the way here, and it's\nall thanks to you!\p{PLAYER}, losing to you that time\nmade me stronger!\pBut I'm not going to lose anymore!\pI'm going to win! For the POKéMON who\ngave me courage and strength!\pOkay… Here I come!$","WALLY: Hi! {PLAYER}!
[PAGE]
I bet you're surprised to see me here!
[PAGE]
I made it all the way here, and it's
all thanks to you!
[PAGE]
{PLAYER}, losing to you that time
made me stronger!
[PAGE]
But I'm not going to lose anymore!
[PAGE]
I'm going to win! For the POKéMON who
gave me courage and strength!
[PAGE]
Okay… Here I come!",,untranslated,{PLAYER} | \p | \p | \n | \p | {PLAYER} | \n | \p | \p | \n | \p,{PLAYER} | {PLAYER},high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_2c3eb5a86574bda7,242,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,41,victory_road,Victory Road,,41,VictoryRoad_1F,victory_road,VictoryRoad 1F,2,Wally,VictoryRoad_1F_EventScript_WallyEntranceBattle,data/maps/VictoryRoad_1F/scripts.inc,136,VictoryRoad_1F_Text_WallyPostEntranceBattle,"WALLY: I couldn't beat you today,\n{PLAYER}, but one of these days, I'll\lcatch up to you!$","WALLY: I couldn't beat you today,
{PLAYER}, but one of these days, I'll
catch up to you!",,untranslated,\n | {PLAYER} | \l,{PLAYER},high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_166dd7131ed8aba5,243,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,42,elite_four,Elite Four,,42,EverGrandeCity_DrakesRoom,elite_four,EverGrandeCity DrakesRoom,1,,EverGrandeCity_DrakesRoom_EventScript_Drake,data/maps/EverGrandeCity_DrakesRoom/scripts.inc,63,EverGrandeCity_DrakesRoom_Text_IntroSpeech,"I am the last of the POKéMON LEAGUE\nELITE FOUR, DRAKE the DRAGON master!\pIn their natural state, POKéMON are\nwild living things. They are free.\pAt times, they hinder us.\nAt times, they help us.\pFor us to battle with POKéMON as\npartners, do you know what it takes?\pDo you know what is needed?\pIf you don't, then you will never\nprevail over me!$","I am the last of the POKéMON LEAGUE
ELITE FOUR, DRAKE the DRAGON master!
[PAGE]
In their natural state, POKéMON are
wild living things. They are free.
[PAGE]
At times, they hinder us.
At times, they help us.
[PAGE]
For us to battle with POKéMON as
partners, do you know what it takes?
[PAGE]
Do you know what is needed?
[PAGE]
If you don't, then you will never
prevail over me!",,untranslated,\n | \p | \n | \p | \n | \p | \n | \p | \p | \n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_27801ee152f487cf,244,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,42,elite_four,Elite Four,,42,EverGrandeCity_DrakesRoom,elite_four,EverGrandeCity DrakesRoom,2,,EverGrandeCity_GlaciasRoom_EventScript_Glacia,data/maps/EverGrandeCity_GlaciasRoom/scripts.inc,60,EverGrandeCity_GlaciasRoom_Text_IntroSpeech,"Welcome, my name is GLACIA\nof the ELITE FOUR.\pI've traveled from afar to HOENN\nso that I may hone my ice skills.\pBut all I have seen are challenges by\nweak TRAINERS and their POKéMON.\pWhat about you?\pIt would please me to no end if I could\ngo all out against you!$","Welcome, my name is GLACIA
of the ELITE FOUR.
[PAGE]
I've traveled from afar to HOENN
so that I may hone my ice skills.
[PAGE]
But all I have seen are challenges by
weak TRAINERS and their POKéMON.
[PAGE]
What about you?
[PAGE]
It would please me to no end if I could
go all out against you!",,untranslated,\n | \p | \n | \p | \n | \p | \p | \n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
dlg_3e4d602d030fbda7,245,12,league,Final Badge and League,เข็มกลัดสุดท้ายและลีก,42,elite_four,Elite Four,,42,EverGrandeCity_DrakesRoom,elite_four,EverGrandeCity DrakesRoom,3,,EverGrandeCity_PhoebesRoom_EventScript_Phoebe,data/maps/EverGrandeCity_PhoebesRoom/scripts.inc,60,EverGrandeCity_PhoebesRoom_Text_IntroSpeech,"Ahahaha!\pI'm PHOEBE of the ELITE FOUR.\nI did my training on MT. PYRE.\pWhile I trained, I gained the ability\nto commune with GHOST-type POKéMON.\pYes, the bond I developed with POKéMON\nis extremely tight.\pSo, come on, just try and see if you can\neven inflict damage on my POKéMON!$","Ahahaha!
[PAGE]
I'm PHOEBE of the ELITE FOUR.
I did my training on MT. PYRE.
[PAGE]
While I trained, I gained the ability
to commune with GHOST-type POKéMON.
[PAGE]
Yes, the bond I developed with POKéMON
is extremely tight.
[PAGE]
So, come on, just try and see if you can
even inflict damage on my POKéMON!",,untranslated,\p | \n | \p | \n | \p | \n | \p | \n,,high,high,Resolved from a checklist event seed through direct or chained script references.,
