dialogue_id,source_label,source_file,candidate_category,final_category,mandatory,reason,script_references,flags,vars,branch_type,confidence,notes
dlg_45078e0714311319,AquaHideout_1F_Text_OurBossIsSnatchingSomething,data/maps/AquaHideout_1F/scripts.inc,optional_npc,optional_npc,no,Voluntary Aqua Hideout status NPC dialogue.,,,,excluded,high,
dlg_0c5afc938fc14ee3,AquaHideout_1F_Text_WhereMightMagmaHideoutBe,data/maps/AquaHideout_1F/scripts.inc,optional_npc,optional_npc,no,Voluntary Aqua Hideout status NPC dialogue.,,,,excluded,high,
dlg_98fb7c5acb6b5fb5,AquaHideout_1F_Text_BossWentToJackASubmarine,data/maps/AquaHideout_1F/scripts.inc,optional_npc,optional_npc,no,Voluntary Aqua Hideout status NPC dialogue.,,,,excluded,high,
dlg_4b9663e2a9e15008,AquaHideout_1F_Text_BossIsOnRoute122,data/maps/AquaHideout_1F/scripts.inc,optional_npc,optional_npc,no,Voluntary Aqua Hideout status NPC dialogue.,,,,excluded,high,
dlg_cf65dad55510cbb0,AquaHideout_1F_Text_TeamMagmaAtMtChimney,data/maps/AquaHideout_1F/scripts.inc,main_story,optional_npc,no,Voluntary Aqua Hideout status NPC dialogue.,,,,excluded,high,
dlg_97680cf25af4d7d3,AquaHideout_1F_Text_BossIsInSlateportCity,data/maps/AquaHideout_1F/scripts.inc,optional_npc,optional_npc,no,Voluntary Aqua Hideout status NPC dialogue.,,,,excluded,high,
dlg_071fd9fd0855f071,AquaHideout_1F_Text_Grunt1PostBattle,data/maps/AquaHideout_1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_ebc2e18b473a5976,AquaHideout_B1F_Text_Grunt2PostBattle,data/maps/AquaHideout_B1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_d86ee7fb78d04186,AquaHideout_B1F_Text_Grunt3PostBattle,data/maps/AquaHideout_B1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_af290f764e8fd63a,AquaHideout_B1F_Text_Grunt5PostBattle,data/maps/AquaHideout_B1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_75b1199d8b87b167,AquaHideout_B1F_Text_Grunt7PostBattle,data/maps/AquaHideout_B1F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
dlg_4df79a104565cdd7,AquaHideout_B2F_Text_OurBossGotThroughHisPreparations,data/maps/AquaHideout_B2F/scripts.inc,optional_npc,main_story,yes,Resolved source reference,AquaHideout_B2F_EventScript_SubmarineEscape,,,mandatory,high,
dlg_b13c4d9e2a1feba7,AquaHideout_B2F_Text_MattPostBattle,data/maps/AquaHideout_B2F/scripts.inc,battle,trainer,no,Optional trainer post-battle dialogue.,,,,excluded,high,
