chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,entry_script,trigger_type,required_flags,required_vars,sets_flags,sets_vars,warps_to,mandatory_reason,source_files,chronology_confidence,scope_confidence,notes
01,opening,Opening,บทนำ,1,birch_intro,Professor Birch introduction,,1,,opening,,,source_graph,,,,,,Required progression checklist sequence; dialogue selected only through source script references.,,high,high,
01,opening,Opening,บทนำ,2,player_setup,Player setup,,2,,opening,,,source_graph,,,,,,Required progression checklist sequence; dialogue selected only through source script references.,,high,high,
02,littleroot,Littleroot,ลิตเติลรูต,3,littleroot_arrival,Littleroot arrival,,3,LittlerootTown_BrendansHouse_1F,arrival,LittlerootTown BrendansHouse 1F,LittlerootTown_BrendansHouse_1F_EventScript_EnterHouseMovingIn | LittlerootTown_MaysHouse_1F_EventScript_EnterHouseMovingIn,source_graph,,,,VAR_0x8004=LOCALID_PLAYERS_HOUSE_1F_MOM | VAR_0x8005=FEMALE | VAR_0x8005=MALE,,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc | data/maps/LittlerootTown_MaysHouse_1F/scripts.inc,high,high,
02,littleroot,Littleroot,ลิตเติลรูต,4,rival_intro,Rival introduction,,4,LittlerootTown_BrendansHouse_1F,rival_intro,LittlerootTown BrendansHouse 1F,LittlerootTown_BrendansHouse_1F_EventScript_MeetRival0 | LittlerootTown_BrendansHouse_1F_EventScript_MeetRival1 | LittlerootTown_BrendansHouse_1F_EventScript_MeetRival2 | LittlerootTown_BrendansHouse_1F_EventScript_MeetRival | LittlerootTown_MaysHouse_1F_EventScript_MeetRival0 | LittlerootTown_MaysHouse_1F_EventScript_MeetRival1 | LittlerootTown_MaysHouse_1F_EventScript_MeetRival2 | LittlerootTown_MaysHouse_1F_EventScript_MeetRival,source_graph,,,FLAG_HIDE_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F_POKE_BALL | FLAG_HIDE_LITTLEROOT_TOWN_BRENDANS_HOUSE_BRENDAN | FLAG_HIDE_LITTLEROOT_TOWN_MAYS_HOUSE_2F_POKE_BALL | FLAG_HIDE_LITTLEROOT_TOWN_MAYS_HOUSE_MAY,VAR_0x8008=0 | VAR_0x8008=1 | VAR_0x8008=2 | VAR_LITTLEROOT_RIVAL_STATE=3 | VAR_LITTLEROOT_TOWN_STATE=1,,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc | data/maps/LittlerootTown_MaysHouse_1F/scripts.inc,high,high,
02,littleroot,Littleroot,ลิตเติลรูต,5,birch_rescue,Birch rescue,,5,Route101,birch_rescue,Route101,Route101_EventScript_StartBirchRescue | Route101_EventScript_BirchsBag,source_graph,,,FLAG_HIDE_ROUTE_101_BIRCH_STARTERS_BAG | FLAG_HIDE_ROUTE_101_BIRCH_ZIGZAGOON_BATTLE | FLAG_RESCUED_BIRCH | FLAG_SYS_POKEMON_GET,VAR_BIRCH_LAB_STATE=2 | VAR_ROUTE101_STATE=2 | VAR_ROUTE101_STATE=3,MAP_LITTLEROOT_TOWN_PROFESSOR_BIRCHS_LAB,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/Route101/scripts.inc,high,high,
02,littleroot,Littleroot,ลิตเติลรูต,6,starter,Starter selection,,6,LittlerootTown_ProfessorBirchsLab,starter,LittlerootTown ProfessorBirchsLab,LittlerootTown_ProfessorBirchsLab_EventScript_CheckReadyForJohtoStarter | LittlerootTown_ProfessorBirchsLab_EventScript_SetReadyForJohtoStarter | LittlerootTown_ProfessorBirchsLab_EventScript_SetJohtoStarterLayout | LittlerootTown_ProfessorBirchsLab_EventScript_SetAfterJohtoStarterLayout | LittlerootTown_ProfessorBirchsLab_EventScript_SetPlayerPosForReceiveStarter | LittlerootTown_ProfessorBirchsLab_EventScript_SetObjectPosForJohtoStarters | LittlerootTown_ProfessorBirchsLab_EventScript_GiveStarterEvent | LittlerootTown_ProfessorBirchsLab_EventScript_NicknameStarter | LittlerootTown_ProfessorBirchsLab_EventScript_ChooseJohtoStarter | LittlerootTown_ProfessorBirchsLab_EventScript_AideReceivedStarter | LittlerootTown_ProfessorBirchsLab_EventScript_AlreadyChoseJohtoStarter | LittlerootTown_ProfessorBirchsLab_EventScript_ReceivedJohtoStarter,source_graph,,,,VAR_0x8004=0 | VAR_DEX_UPGRADE_JOHTO_STARTER_STATE=4 | VAR_DEX_UPGRADE_JOHTO_STARTER_STATE=5,,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,high,high,
03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,7,rival_1,First rival battle,,7,Route103,rival_battle,Route103,Route103_EventScript_Rival | Route103_EventScript_RivalMay | Route103_EventScript_RivalBrendan | Route103_EventScript_StartMayBattleTreecko | Route103_EventScript_StartMayBattleTorchic | Route103_EventScript_StartMayBattleMudkip | Route103_EventScript_StartBrendanBattleTreecko | Route103_EventScript_StartBrendanBattleTorchic | Route103_EventScript_StartBrendanBattleMudkip | Route103_EventScript_AfterMayBattle | Route103_EventScript_AfterBrendanBattle | Route103_EventScript_RivalExit | Route103_EventScript_RivalExitFacingNorth | Route103_EventScript_RivalExitFacingEastOrWest | Route103_EventScript_RivalExitFacingSouth | Route103_EventScript_RivalEnd,source_graph,,,FLAG_DEFEATED_RIVAL_ROUTE103,VAR_BIRCH_LAB_STATE=4 | VAR_OLDALE_RIVAL_STATE=1,,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/Route103/scripts.inc,high,high,
03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,8,pokedex,Pokédex handoff,,8,LittlerootTown_ProfessorBirchsLab,pokedex,LittlerootTown ProfessorBirchsLab,LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedexEvent | LittlerootTown_ProfessorBirchsLab_EventScript_TryRatePokedexOrRegister | LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedex | LittlerootTown_ProfessorBirchsLab_EventScript_ReceivePokedex,source_graph,,,FLAG_ADVENTURE_STARTED | FLAG_RECEIVED_POKEDEX_FROM_BIRCH | FLAG_SYS_POKEDEX_GET,VAR_BIRCH_LAB_STATE=5 | VAR_CABLE_CLUB_TUTORIAL_STATE=1 | VAR_LITTLEROOT_RIVAL_STATE=4 | VAR_LITTLEROOT_TOWN_STATE=3 | VAR_OLDALE_TOWN_STATE=1,,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,high,high,
03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,9,pokeballs,Poké Ball handoff,,9,LittlerootTown,pokeballs,LittlerootTown,LittlerootTown_EventScript_MoveMomToMaysDoor | LittlerootTown_EventScript_SetMomStandingInFrontOfDoorPos | LittlerootTown_EventScript_SetMomInFrontOfDoorMale | LittlerootTown_EventScript_SetMomInFrontOfDoorFemale | LittlerootTown_EventScript_GoInsideWithMom | LittlerootTown_EventScript_MomNoticePlayerMale | LittlerootTown_EventScript_MomNoticePlayerFemale | LittlerootTown_EventScript_MomApproachPlayerMale | LittlerootTown_EventScript_MomApproachPlayerFemale | LittlerootTown_EventScript_MomApproachPlayer0 | LittlerootTown_EventScript_MomApproachPlayer1 | LittlerootTown_EventScript_MomApproachPlayerMale2 | LittlerootTown_EventScript_MomApproachPlayerMale3 | LittlerootTown_EventScript_MomApproachPlayerMale4 | LittlerootTown_EventScript_MomApproachPlayerMale5 | LittlerootTown_EventScript_MomApproachPlayerFemale2 | LittlerootTown_EventScript_MomApproachPlayerFemale3 | LittlerootTown_EventScript_MomApproachPlayerFemale4 | LittlerootTown_EventScript_MomApproachPlayerFemale5 | LittlerootTown_EventScript_MomReturnHomeMale | LittlerootTown_EventScript_MomReturnHomeFemale | LittlerootTown_EventScript_MomReturnHome0 | LittlerootTown_EventScript_MomReturnHome1 | LittlerootTown_EventScript_MomReturnHomeMale2 | LittlerootTown_EventScript_MomReturnHomeMale3 | LittlerootTown_EventScript_MomReturnHomeMale4 | LittlerootTown_EventScript_MomReturnHomeMale5 | LittlerootTown_EventScript_MomReturnHomeFemale2 | LittlerootTown_EventScript_MomReturnHomeFemale3 | LittlerootTown_EventScript_MomReturnHomeFemale4 | LittlerootTown_EventScript_MomReturnHomeFemale5 | LittlerootTown_EventScript_Mom,source_graph,,,FLAG_HIDE_LITTLEROOT_TOWN_MOM_OUTSIDE,VAR_LITTLEROOT_INTRO_STATE=3,,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/LittlerootTown/scripts.inc,high,high,
04,petalburg,Petalburg and Rustboro,เพทัลเบิร์กและรัสต์โบโร,10,petalburg_norman,Petalburg and Norman,,10,PetalburgCity_Gym,norman,PetalburgCity Gym,PetalburgCity_Gym_EventScript_MoveNormanToEntrance | PetalburgCity_Gym_EventScript_DontMoveNormanToFront | PetalburgCity_Gym_EventScript_Norman | PetalburgCity_Gym_EventScript_NormanAddressPlayerSouth | PetalburgCity_Gym_EventScript_NormanAddressPlayerNorth | PetalburgCity_Gym_EventScript_NormanAddressPlayerWest | PetalburgCity_Gym_EventScript_NormanAddressPlayerEast | PetalburgCity_Gym_EventScript_NormanAddressWallySouth | PetalburgCity_Gym_EventScript_NormanAddressWallyNorth | PetalburgCity_Gym_EventScript_NormanAddressWallyWest | PetalburgCity_Gym_EventScript_NormanAddressWallyEast | PetalburgCity_Gym_EventScript_NormanNoBadges | PetalburgCity_Gym_EventScript_NormanOneBadge | PetalburgCity_Gym_EventScript_NormanTwoBadges | PetalburgCity_Gym_EventScript_NormanThreeBadges | PetalburgCity_Gym_EventScript_NormanFaceDoorSouth | PetalburgCity_Gym_EventScript_NormanFaceDoorNorth | PetalburgCity_Gym_EventScript_NormanFaceDoorWest | PetalburgCity_Gym_EventScript_NormanFaceDoorEast | PetalburgCity_Gym_EventScript_NormanPostBattle | PetalburgCity_Gym_EventScript_NormanBattle | PetalburgCity_Gym_EventScript_WallysDadArrivesNorth | PetalburgCity_Gym_EventScript_WallysDadArrivesEast | PetalburgCity_Gym_EventScript_WallysDadArrivesWest | PetalburgCity_Gym_EventScript_WallysDadArrives | PetalburgCity_Gym_EventScript_WallysDadFaceNormanNorth | PetalburgCity_Gym_EventScript_WallysDadFaceNormanEast | PetalburgCity_Gym_EventScript_WallysDadFaceNormanWest | PetalburgCity_Gym_EventScript_WallysDadApproachPlayerNorth | PetalburgCity_Gym_EventScript_WallysDadApproachPlayerEast | PetalburgCity_Gym_EventScript_WallysDadApproachPlayerWest | PetalburgCity_Gym_EventScript_ExitGymWithWallysDadNorth | PetalburgCity_Gym_EventScript_ExitGymWithWallysDadEast | PetalburgCity_Gym_EventScript_ExitGymWithWallysDadWest,source_graph,,,FLAG_BADGE05_GET | FLAG_DEFEATED_PETALBURG_GYM | FLAG_DONT_TRANSITION_MUSIC | FLAG_HIDE_MAUVILLE_GYM_WATTSON,VAR_0x8008=1 | VAR_0x8008=2 | VAR_0x8008=3 | VAR_0x8008=5 | VAR_PETALBURG_CITY_STATE=4 | VAR_PETALBURG_GYM_STATE=7 | VAR_PETALBURG_GYM_STATE=8,MAP_PETALBURG_CITY,Required progression checklist sequence; dialogue selected only through source script references.,data/maps/PetalburgCity_Gym/scripts.inc,high,high,
